Pathway,Count
22RV1,2395
293F,2395
A172,2395
A375,2395
A431,2395
A549,2395
A673,2395
ASPC1,2395
BEAS2B,2395
BEWO,2395
BJ CELL,2395
BJAB,2395
BT20,2395
BT474,2395
BT549,2395
BXPC3,2395
CAKI1,2395
CAKI2,2395
CAPAN1,2395
CAPAN2,2395
CEM,2395
CFPAC1,2395
COLO 205,2395
COLO 320,2395
DAOY,2395
DKMG,2395
DOHH2,2395
DU145,2395
ES2,2395
FADU,2395
G401,2395
G402,2395
H1299,2395
HACAT,2395
HCC1419,2395
HCC1599,2395
HCC1954,2395
HCC364,2395
HCC4006,2395
HCC827,2395
HCT 116,2395
HCT116,2395
HEK293,2395
HEL CELL,2395
HELA,2395
HEP3B,2395
HEPG2,2395
HL60,2395
HN,2395
HNSCC,2395
HPBALL,2395
HT1080,2395
HT29,2395
HUH7,2395
HUVEC,2395
IMR90,2395
JEG3,2395
JJN3,2395
JURKAT,2395
K562,2395
KASUMI1,2395
KB CELL,2395
KG1,2395
KMS18,2395
KNS42,2395
KU812,2395
KYSE510,2395
KYSE70,2395
LNCAP,2395
M21,2395
MCF10,2395
MCF7,2395
MDAMB231,2395
MDAMB468,2395
MEWO,2395
MG63,2395
MRC5,2395
MT4,2395
MV411,2395
NALM6,2395
NB1,2395
NB4,2395
NHBE,2395
NHDF,2395
NTERA2,2395
ONS76,2395
OVCAR3,2395
OVCAR8,2395
PANC1,2395
PC3,2395
PC3 CELL,2395
PFEIFFER,2395
PL45,2395
PLB985,2395
RAJI,2395
REC1,2395
REH,2395
RH18,2395
RH30,2395
RKO,2395
RPMI8226,2395
RT4,2395
SHSY5Y,2395
SIHA,2395
SJSA1,2395
SKBR3,2395
SKMEL1,2395
SKNMC,2395
SKOV3,2395
SUDHL4,2395
SUDHL5,2395
SUDHL6,2395
SUIT2,2395
SUPT1,2395
SW480,2395
T24,2395
T47D,2395
T84,2395
T98G,2395
THP1,2395
U266,2395
U87,2395
U937,2395
VCAP,2395
WSUDLCL2,2395
