Pathway,Count
PRKAG1 IDG kinase ARCHS4 coexpression,299
PRKAB1 IDG kinase ARCHS4 coexpression,299
ADCK2 IDG kinase ARCHS4 coexpression,299
ADCK5 IDG kinase ARCHS4 coexpression,299
ALPK3 IDG kinase ARCHS4 coexpression,299
ADCK4 IDG kinase ARCHS4 coexpression,299
ALPK2 IDG kinase ARCHS4 coexpression,299
BCKDK IDG kinase ARCHS4 coexpression,299
CAMKV IDG kinase ARCHS4 coexpression,299
CDKL3 IDG kinase ARCHS4 coexpression,299
CDKL4 IDG kinase ARCHS4 coexpression,299
CDKL1 IDG kinase ARCHS4 coexpression,299
CDKL2 IDG kinase ARCHS4 coexpression,299
CDK15 IDG kinase ARCHS4 coexpression,299
CDK17 IDG kinase ARCHS4 coexpression,299
CDK11B IDG kinase ARCHS4 coexpression,299
CDK14 IDG kinase ARCHS4 coexpression,299
CDK18 IDG kinase ARCHS4 coexpression,299
CLK4 IDG kinase ARCHS4 coexpression,299
CDK10 IDG kinase ARCHS4 coexpression,299
CLK3 IDG kinase ARCHS4 coexpression,299
CSNK2A2 IDG kinase ARCHS4 coexpression,299
DGKH IDG kinase ARCHS4 coexpression,299
DYRK3 IDG kinase ARCHS4 coexpression,299
DYRK1B IDG kinase ARCHS4 coexpression,299
DYRK4 IDG kinase ARCHS4 coexpression,299
EEF2K IDG kinase ARCHS4 coexpression,299
DYRK2 IDG kinase ARCHS4 coexpression,299
ERN2 IDG kinase ARCHS4 coexpression,299
FASTK IDG kinase ARCHS4 coexpression,299
HIPK4 IDG kinase ARCHS4 coexpression,299
ITPKA IDG kinase ARCHS4 coexpression,299
CSNK1G3 IDG kinase ARCHS4 coexpression,299
CSNK1G2 IDG kinase ARCHS4 coexpression,299
CSNK1G1 IDG kinase ARCHS4 coexpression,299
ITPK1 IDG kinase ARCHS4 coexpression,299
PSKH2 IDG kinase ARCHS4 coexpression,299
CAMK1D IDG kinase ARCHS4 coexpression,299
TK2 IDG kinase ARCHS4 coexpression,299
PRKACB IDG kinase ARCHS4 coexpression,299
PNCK IDG kinase ARCHS4 coexpression,299
CAMK1G IDG kinase ARCHS4 coexpression,299
CAMKK1 IDG kinase ARCHS4 coexpression,299
PSKH1 IDG kinase ARCHS4 coexpression,299
PHKA1 IDG kinase ARCHS4 coexpression,299
RPS6KC1 IDG kinase ARCHS4 coexpression,299
PRKCQ IDG kinase ARCHS4 coexpression,299
LMTK3 IDG kinase ARCHS4 coexpression,299
MARK4 IDG kinase ARCHS4 coexpression,299
MAST3 IDG kinase ARCHS4 coexpression,299
LRRK1 IDG kinase ARCHS4 coexpression,299
MAP3K14 IDG kinase ARCHS4 coexpression,299
LTK IDG kinase ARCHS4 coexpression,299
MAP3K10 IDG kinase ARCHS4 coexpression,299
MAST4 IDG kinase ARCHS4 coexpression,299
MAST2 IDG kinase ARCHS4 coexpression,299
MAPK15 IDG kinase ARCHS4 coexpression,299
MAPK4 IDG kinase ARCHS4 coexpression,299
MKNK2 IDG kinase ARCHS4 coexpression,299
CDC42BPG IDG kinase ARCHS4 coexpression,299
CDC42BPB IDG kinase ARCHS4 coexpression,299
NEK11 IDG kinase ARCHS4 coexpression,299
NEK5 IDG kinase ARCHS4 coexpression,299
NEK10 IDG kinase ARCHS4 coexpression,299
NIM1K IDG kinase ARCHS4 coexpression,299
NEK4 IDG kinase ARCHS4 coexpression,299
NEK6 IDG kinase ARCHS4 coexpression,299
NRK IDG kinase ARCHS4 coexpression,299
NEK7 IDG kinase ARCHS4 coexpression,299
SCYL1 IDG kinase ARCHS4 coexpression,299
NRBP2 IDG kinase ARCHS4 coexpression,299
PIK3C2G IDG kinase ARCHS4 coexpression,299
PANK3 IDG kinase ARCHS4 coexpression,299
PIK3C2B IDG kinase ARCHS4 coexpression,299
PAK3 IDG kinase ARCHS4 coexpression,299
PAK6 IDG kinase ARCHS4 coexpression,299
SCYL3 IDG kinase ARCHS4 coexpression,299
PDIK1L IDG kinase ARCHS4 coexpression,299
