Pathway,Count
ADIPOSE (BULK TISSUE),2316
ADRENAL GLAND,2316
ALPHA CELL,2316
ALVEOLAR CELL TYPE II,2316
ALVEOLAR MACROPHAGE,2316
AMNIOTIC FLUID,2316
ASTROCYTE,2316
ATRIUM,2316
BASAL CELL,2316
BETA CELL,2316
BLASTOCYST,2316
BLOOD DENDRITIC CELLS,2316
BLOOD PBMC,2316
BLYMPHOCYTE,2316
BONE MARROW (BULK TISSUE),2316
BRAIN (BULK),2316
BREAST (BULK TISSUE),2316
CARDIAC MUSCLE FIBER,2316
CD19+ B CELLS,2316
CD34+ CELL,2316
CD4+ T CELL,2316
CEREBELLUM,2316
CEREBRAL CORTEX,2316
CHONDROCYTE,2316
CINGULATE GYRUS,2316
COLON (BULK TISSUE),2316
COLONIC MUCOSA,2316
CORD BLOOD,2316
DENDRITIC CELL,2316
DENTATE GRANULE CELL,2316
DORSAL STRIATUM,2316
ENDOMETRIUM (BULK),2316
ERYTHROBLAST,2316
ESOPHAGUS (BULK TISSUE),2316
FETAL BRAIN,2316
FETAL BRAIN CORTEX,2316
FETAL LUNG,2316
FIBROBLAST,2316
FORESKIN FIBROBLAST,2316
GASTRIC EPITHELIAL CELL,2316
GASTRIC TISSUE (BULK),2316
GRANULOCYTE,2316
GRANULOSA CELL,2316
HAIR FOLLICLE,2316
HEART (BULK TISSUE),2316
HEPATIC STELLATE CELL,2316
HEPATOCYTE,2316
HUMAN EMBRYO,2316
HUMAN ZYGOTE,2316
ILEUM (BULK),2316
INTESTINAL EPITHELIAL CELL,2316
KERATINOCYTE,2316
KIDNEY (BULK TISSUE),2316
KUPFFER CELL,2316
LIVER (BULK TISSUE),2316
LUNG (BULK TISSUE),2316
LUNG EPITHELIAL CELL,2316
MACROPHAGE,2316
MAMMARY GLAND,2316
MELANOCYTE,2316
MIDBRAIN,2316
MORULA,2316
MOTOR NEURON,2316
MYOBLAST,2316
MYOFIBROBLAST,2316
NATURAL KILLER CELLS,2316
NEURONAL EPITHELIUM,2316
NEURONAL PROGENITOR CELLS,2316
NEUTROPHIL,2316
OLIGODENDROCYTE,2316
OMENTUM,2316
OOCYTE,2316
OSTEOBLAST,2316
OVARY (BULK TISSUE),2316
PANCREATIC ISLET,2316
PERICARDIUM,2316
PERIPHERAL BLOOD,2316
PLACENTA (BULK),2316
PLASMA CELL,2316
PLASMACYTOID DENDRITIC CELL,2316
PODOCYTE,2316
PREADIPOCYTE,2316
PREFRONTAL CORTEX,2316
REGULATORY T CELLS,2316
RENAL CORTEX,2316
RESPIRATORY SMOOTH MUSCLE,2316
RETINA,2316
SENSORY NEURON,2316
SKELETAL MUSCLE (BULK TISSUE),2316
SKELETAL MUSCLE SATELLITE CELL,2316
SKIN (BULK TISSUE),2316
SMALL INTESTINE (BULK TISSUE),2316
SPERM,2316
SPINAL CORD,2316
SPINAL CORD (BULK),2316
SPLEEN (BULK TISSUE),2316
STROMAL CELL,2316
SUBCUTANEOUS ADIPOSE TISSUE,2316
SUPERIOR FRONTAL GYRUS,2316
TESTIS (BULK TISSUE),2316
THYMUS (BULK TISSUE),2316
THYROID (BULK TISSUE),2316
TLYMPHOCYTE,2316
TRACHEA (BULK TISSUE),2316
VALVE,2316
VASCULAR SMOOTH MUSCLE,2316
VENTRICLE,2316
WHARTONS JELLY,2316
