Pathway,Count
22RV1-prostate,30
697-haematopoietic and lymphoid tissue,65
786O-kidney,95
A1207-central nervous system,183
A172-central nervous system,74
A204-soft tissue,120
A2058-skin,61
A549-lung,91
A673-bone,58
ACHN-kidney,113
AGS-stomach,200
AM38-central nervous system,126
AML193-haematopoietic and lymphoid tissue,111
ASPC1-pancreas,71
BT20-breast,79
BT474-breast,153
BXPC3-pancreas,62
C2BBE1-large intestine,99
C32-skin,149
CADOES1-bone,78
CAL120-breast,119
CAL51-breast,84
CALU1-lung,186
CAOV3-ovary,86
CAOV4-ovary,179
CAS1-central nervous system,224
CFPAC1-pancreas,165
CH157MN-central nervous system,101
COLO205-large intestine,117
COLO704-ovary,78
COLO741-skin,30
COLO783-skin,178
CORL23-lung,111
COV362-ovary,186
COV434-ovary,64
COV504-ovary,123
COV644-ovary,54
DBTRG05MG-central nervous system,80
DKMG-central nervous system,86
DLD1-large intestine,172
EFE184-endometrium,68
EFM19-breast,187
EFO21-ovary,255
EFO27-ovary,38
EW8-bone,97
EWS502-bone,246
F36P-haematopoietic and lymphoid tissue,112
GB1-central nervous system,59
GP2D-large intestine,152
HCC1187-breast,197
HCC1395-breast,78
HCC1954-breast,199
HCC2218-breast,139
HCC2814-lung,129
HCC364-lung,141
HCC44-lung,130
HCC70-breast,116
HCC827-lung,98
HCC827GR5-lung,64
HCT116-large intestine,141
HEC1A-endometrium,36
HEYA8-ovary,69
HL60-haematopoietic and lymphoid tissue,295
HLF-liver,32
HNT34-haematopoietic and lymphoid tissue,130
HPAC-pancreas,78
HPAFII-pancreas,115
HS683-central nervous system,159
HS766T-pancreas,47
HS944T-skin,109
HT1197-urinary tract,84
HT29-large intestine,86
HT55-large intestine,220
HUG1N-stomach,152
HUTU80-small intestine,94
IGR39-skin,306
IGROV1-ovary,153
IOMMLEE-central nervous system,52
JHESOAD1-oesophagus,110
JHOC5-ovary,57
JHOM1-ovary,248
JJN3-haematopoietic and lymphoid tissue,95
K562-haematopoietic and lymphoid tissue,139
KALS1-central nervous system,162
KASUMI1-haematopoietic and lymphoid tissue,417
KM12-large intestine,75
KMS12BM-haematopoietic and lymphoid tissue,134
KNS60-central nervous system,133
KNS81-central nervous system,221
KP1NL-pancreas,31
KP2-pancreas,311
KP4-pancreas,51
KURAMOCHI-ovary,166
KYSE150-oesophagus,40
KYSE30-oesophagus,66
KYSE450-oesophagus,43
KYSE510-oesophagus,27
L33-pancreas,121
L363-haematopoietic and lymphoid tissue,85
LAMA84-haematopoietic and lymphoid tissue,225
LK2-lung,78
LN215-central nervous system,124
LN229-central nervous system,26
LN235-central nervous system,258
LN319-central nervous system,297
LN340-central nervous system,73
LN382-central nervous system,206
LN428-central nervous system,99
