Pathway,Count
Human Astro L1 FGFR3 SERPINI2 down,976
Human Astro L1 FGFR3 SERPINI2 up,101
Human Astro L1-6 FGFR3 AQP1 down,707
Human Astro L1-6 FGFR3 AQP1 up,45
Human Astro L1-6 FGFR3 PLCG1 down,880
Human Astro L1-6 FGFR3 PLCG1 up,64
Human Endo L2-5 NOSTRIN SRGN down,703
Human Endo L2-5 NOSTRIN SRGN up,43
Human Exc L2 LAMP5 KCNG3 down,49
Human Exc L2 LAMP5 KCNG3 up,66
Human Exc L2 LINC00507 ATP7B down,30
Human Exc L2 LINC00507 ATP7B up,64
Human Exc L2 LINC00507 GLRA3 down,13
Human Exc L2 LINC00507 GLRA3 up,25
Human Exc L2-3 LINC00507 DSG3 down,13
Human Exc L2-3 LINC00507 DSG3 up,184
Human Exc L2-3 RORB CCDC68 down,16
Human Exc L2-3 RORB CCDC68 up,100
Human Exc L3 LAMP5 CARM1P1 down,10
Human Exc L3 LAMP5 CARM1P1 up,180
Human Exc L3 RORB OTOGL down,38
Human Exc L3 RORB OTOGL up,16
Human Exc L3 THEMIS ENPEP down,6
Human Exc L3 THEMIS ENPEP up,30
Human Exc L3-5 FEZF2 ASGR2 down,18
Human Exc L3-5 FEZF2 ASGR2 up,759
Human Exc L3-5 FEZF2 LINC01107 down,21
Human Exc L3-5 FEZF2 LINC01107 up,1687
Human Exc L3-5 RORB LAMA4 down,12
Human Exc L3-5 RORB LAMA4 up,40
Human Exc L3-5 RORB LINC01202 down,29
Human Exc L3-5 RORB LINC01202 up,9
Human Exc L3-5 RORB LNX2 down,8
Human Exc L3-5 RORB LNX2 up,33
Human Exc L3-5 RORB RPRM down,12
Human Exc L3-5 RORB RPRM up,327
Human Exc L3-5 RORB TNNT2 down,6
Human Exc L3-5 RORB TNNT2 up,69
Human Exc L5 FEZF2 CSN1S1 down,9
Human Exc L5 FEZF2 CSN1S1 up,1834
Human Exc L5 FEZF2 NREP-AS1 down,20
Human Exc L5 FEZF2 NREP-AS1 up,292
