Pathway,Count
A4 noradrenergic cell group,300
"AOB, glomerular layer",300
"AOB, granular layer",300
"AOB, internal plexiform layer",300
"AOB, mitral cell layer",300
"AOB, outer plexiform layer",300
Abducens nucleus,300
Accessory facial motor nucleus,300
Accessory olfactory bulb,387
"Accessory olfactory bulb, glomerular layer",300
"Accessory olfactory bulb, granular layer",300
"Accessory olfactory bulb, mitral layer",300
Agranular insular area,300
"Agranular insular area, dorsal part",300
"Agranular insular area, dorsal part, layer 1",300
"Agranular insular area, dorsal part, layer 2/3",300
"Agranular insular area, dorsal part, layer 5",300
"Agranular insular area, dorsal part, layer 6a",300
"Agranular insular area, posterior part",300
"Agranular insular area, posterior part, layer 6a",300
"Agranular insular area, ventral part",300
"Agranular insular area, ventral part, layer 1",300
"Agranular insular area, ventral part, layer 2/3",300
"Agranular insular area, ventral part, layer 5",300
"Agranular insular area, ventral part, layer 6a",300
Ammon's horn,300
Ansiform lobule,300
Anterior amygdalar area,300
Anterior cingulate area,300
"Anterior cingulate area, dorsal part",300
"Anterior cingulate area, dorsal part, layer 1",300
"Anterior cingulate area, dorsal part, layer 2/3",300
"Anterior cingulate area, dorsal part, layer 5",300
"Anterior cingulate area, dorsal part, layer 6a",300
"Anterior cingulate area, dorsal part, layer 6b",300
"Anterior cingulate area, ventral part",300
"Anterior cingulate area, ventral part, 6a",300
"Anterior cingulate area, ventral part, 6b",300
"Anterior cingulate area, ventral part, layer 1",300
"Anterior cingulate area, ventral part, layer 2/3",300
"Anterior cingulate area, ventral part, layer 5",300
Anterior group of the dorsal thalamus,300
Anterior hypothalamic nucleus,511
"Anterior hypothalamic nucleus, anterior part",300
"Anterior hypothalamic nucleus, central part",300
"Anterior hypothalamic nucleus, posterior part",300
Anterior olfactory nucleus,300
"Anterior olfactory nucleus, dorsal part",300
"Anterior olfactory nucleus, external part",300
"Anterior olfactory nucleus, lateral part",300
"Anterior olfactory nucleus, layer 1",300
"Anterior olfactory nucleus, medial part",300
"Anterior olfactory nucleus, posteroventral part",300
Anterior pretectal nucleus,300
Anterior tegmental nucleus,568
Anterodorsal nucleus,391
Anterodorsal preoptic nucleus,300
Anterolateral visual area,300
"Anterolateral visual area, layer 2/3",300
"Anterolateral visual area, layer 5",300
"Anterolateral visual area, layer 6a",300
"Anterolateral visual area, layer 6b",300
Anteromedial nucleus,422
"Anteromedial nucleus, dorsal part",300
"Anteromedial nucleus, ventral part",300
Anteromedial visual area,300
"Anteromedial visual area, layer 1",300
"Anteromedial visual area, layer 2/3",300
"Anteromedial visual area, layer 4",300
"Anteromedial visual area, layer 5",300
"Anteromedial visual area, layer 6a",300
"Anteromedial visual area, layer 6b",300
Anteroventral nucleus of thalamus,300
Anteroventral periventricular nucleus,300
Anteroventral preoptic nucleus,300
Arcuate hypothalamic nucleus,300
Auditory areas,300
Barrington's nucleus,300
Basic cell groups and regions,300
Basolateral amygdalar nucleus,300
"Basolateral amygdalar nucleus, anterior part",300
"Basolateral amygdalar nucleus, posterior part",300
"Basolateral amygdalar nucleus, ventral part",300
Basomedial amygdalar nucleus,300
"Basomedial amygdalar nucleus, anterior part",300
"Basomedial amygdalar nucleus, posterior part",300
Bed nuclei of the stria terminalis,300
"Bed nuclei of the stria terminalis, anterior division",300
"Bed nuclei of the stria terminalis, anterior division, anterolateral area",300
"Bed nuclei of the stria terminalis, anterior division, anteromedial area",300
"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",300
"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",300
"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",300
"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",300
"Bed nuclei of the stria terminalis, anterior division, oval nucleus",300
"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",300
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",300
"Bed nuclei of the stria terminalis, posterior division",300
"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",300
"Bed nuclei of the stria terminalis, posterior division, principal nucleus",300
"Bed nuclei of the stria terminalis, posterior division, strial extension",300
"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",300
Bed nucleus of the accessory olfactory tract,300
Bed nucleus of the anterior commissure,434
Brain stem,300
Caudoputamen,300
Central amygdalar nucleus,300
"Central amygdalar nucleus, capsular part",462
"Central amygdalar nucleus, lateral part",388
"Central amygdalar nucleus, medial part",300
Central lateral nucleus of the thalamus,300
Central linear nucleus raphe,300
Central lobule,300
Central medial nucleus of the thalamus,300
Cerebellar cortex,300
Cerebellar nuclei,300
Cerebellum,300
Cerebral cortex,300
Cerebral nuclei,300
Cerebrum,300
Claustrum,427
CoPV part of the periaqueductal gray,300
Cochlear nuclei,300
"Cochlear nucleus, subpedunclular granular region",300
Copula pyramidis,300
"Copula pyramidis, granular layer",300
"Copula pyramidis, molecular layer",300
Cortical amygdalar area,300
"Cortical amygdalar area, anterior part",300
"Cortical amygdalar area, anterior part, layer 1",300
"Cortical amygdalar area, anterior part, layer 2",300
"Cortical amygdalar area, posterior part",300
