Pathway,Count
A4 noradrenergic cell group,301
"AOB, glomerular layer",301
"AOB, granular layer",301
"AOB, internal plexiform layer",301
"AOB, mitral cell layer",301
"AOB, outer plexiform layer",301
Abducens nucleus,301
Accessory facial motor nucleus,301
Accessory olfactory bulb,379
"Accessory olfactory bulb, glomerular layer",301
"Accessory olfactory bulb, granular layer",301
"Accessory olfactory bulb, mitral layer",301
Agranular insular area,301
"Agranular insular area, dorsal part",301
"Agranular insular area, dorsal part, layer 1",301
"Agranular insular area, dorsal part, layer 2/3",301
"Agranular insular area, dorsal part, layer 5",301
"Agranular insular area, dorsal part, layer 6a",301
"Agranular insular area, posterior part",301
"Agranular insular area, posterior part, layer 6a",301
"Agranular insular area, ventral part",301
"Agranular insular area, ventral part, layer 1",301
"Agranular insular area, ventral part, layer 2/3",301
"Agranular insular area, ventral part, layer 5",301
"Agranular insular area, ventral part, layer 6a",301
Ammon's horn,301
Ansiform lobule,301
Anterior amygdalar area,301
Anterior cingulate area,301
"Anterior cingulate area, dorsal part",301
"Anterior cingulate area, dorsal part, layer 1",301
"Anterior cingulate area, dorsal part, layer 2/3",301
"Anterior cingulate area, dorsal part, layer 5",301
"Anterior cingulate area, dorsal part, layer 6a",301
"Anterior cingulate area, dorsal part, layer 6b",301
"Anterior cingulate area, ventral part",301
"Anterior cingulate area, ventral part, 6a",301
"Anterior cingulate area, ventral part, 6b",301
"Anterior cingulate area, ventral part, layer 1",301
"Anterior cingulate area, ventral part, layer 2/3",301
"Anterior cingulate area, ventral part, layer 5",301
Anterior group of the dorsal thalamus,301
Anterior hypothalamic nucleus,492
"Anterior hypothalamic nucleus, anterior part",301
"Anterior hypothalamic nucleus, central part",301
"Anterior hypothalamic nucleus, posterior part",301
Anterior olfactory nucleus,301
"Anterior olfactory nucleus, dorsal part",301
"Anterior olfactory nucleus, external part",301
"Anterior olfactory nucleus, lateral part",301
"Anterior olfactory nucleus, layer 1",301
"Anterior olfactory nucleus, medial part",301
"Anterior olfactory nucleus, posteroventral part",301
Anterior pretectal nucleus,301
Anterior tegmental nucleus,552
Anterodorsal nucleus,354
Anterodorsal preoptic nucleus,301
Anterolateral visual area,301
"Anterolateral visual area, layer 2/3",301
"Anterolateral visual area, layer 5",301
"Anterolateral visual area, layer 6a",301
"Anterolateral visual area, layer 6b",301
Anteromedial nucleus,357
"Anteromedial nucleus, dorsal part",301
"Anteromedial nucleus, ventral part",301
Anteromedial visual area,301
"Anteromedial visual area, layer 1",301
"Anteromedial visual area, layer 2/3",301
"Anteromedial visual area, layer 4",301
"Anteromedial visual area, layer 5",301
"Anteromedial visual area, layer 6a",301
"Anteromedial visual area, layer 6b",301
Anteroventral nucleus of thalamus,301
Anteroventral periventricular nucleus,301
Anteroventral preoptic nucleus,301
Arcuate hypothalamic nucleus,301
Auditory areas,301
Barrington's nucleus,301
Basic cell groups and regions,301
Basolateral amygdalar nucleus,301
"Basolateral amygdalar nucleus, anterior part",301
"Basolateral amygdalar nucleus, posterior part",301
"Basolateral amygdalar nucleus, ventral part",301
Basomedial amygdalar nucleus,301
"Basomedial amygdalar nucleus, anterior part",301
"Basomedial amygdalar nucleus, posterior part",301
Bed nuclei of the stria terminalis,301
"Bed nuclei of the stria terminalis, anterior division",301
"Bed nuclei of the stria terminalis, anterior division, anterolateral area",301
"Bed nuclei of the stria terminalis, anterior division, anteromedial area",301
"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",301
"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",301
"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",301
"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",301
"Bed nuclei of the stria terminalis, anterior division, oval nucleus",301
"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",301
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",301
"Bed nuclei of the stria terminalis, posterior division",301
"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",301
"Bed nuclei of the stria terminalis, posterior division, principal nucleus",301
"Bed nuclei of the stria terminalis, posterior division, strial extension",301
"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",301
Bed nucleus of the accessory olfactory tract,301
Bed nucleus of the anterior commissure,450
Brain stem,301
Caudoputamen,301
Central amygdalar nucleus,301
"Central amygdalar nucleus, capsular part",433
"Central amygdalar nucleus, lateral part",401
"Central amygdalar nucleus, medial part",301
Central lateral nucleus of the thalamus,301
Central linear nucleus raphe,301
Central lobule,301
Central medial nucleus of the thalamus,301
Cerebellar cortex,301
Cerebellar nuclei,301
Cerebellum,301
Cerebral cortex,301
Cerebral nuclei,301
Cerebrum,301
Claustrum,386
CoPV part of the periaqueductal gray,301
Cochlear nuclei,301
"Cochlear nucleus, subpedunclular granular region",301
Copula pyramidis,301
"Copula pyramidis, granular layer",301
"Copula pyramidis, molecular layer",301
Cortical amygdalar area,301
"Cortical amygdalar area, anterior part",301
"Cortical amygdalar area, anterior part, layer 1",301
"Cortical amygdalar area, anterior part, layer 2",301
"Cortical amygdalar area, posterior part",301
"Cortical amygdalar area, posterior part, lateral zone",301
"Cortical amygdalar area, posterior part, lateral zone, layer 1",301
"Cortical amygdalar area, posterior part, lateral zone, layer 2",301
"Cortical amygdalar area, posterior part, lateral zone, layer 3",301
"Cortical amygdalar area, posterior part, medial zone",301
"Cortical amygdalar area, posterior part, medial zone, layer 1",301
"Cortical amygdalar area, posterior part, medial zone, layer 2",301
"Cortical amygdalar area, posterior part, medial zone, layer 3",301
Cortical plate,301
Cortical subplate,301
Crus 1,301
"Crus 1, granular layer",301
"Crus 1, molecular layer",301
Crus 2,301
"Crus 2, granular layer",301
"Crus 2, molecular layer",301
Culmen,301
Cuneate nucleus,301
Cuneiform nucleus,530
Declive (VI),301
"Declive (VI), granular layer",301
"Declive (VI), molecular layer",301
Dentate gyrus,320
"Dentate gyrus, granule cell layer",301
"Dentate gyrus, molecular layer",301
"Dentate gyrus, polymorph layer",301
Dentate nucleus,301
Diagonal band nucleus,301
Dopaminergic A13 group,301
Dorsal cochlear nucleus,301
Dorsal column nuclei,301
Dorsal motor nucleus of the vagus nerve,301
Dorsal nucleus raphe,301
Dorsal part of the lateral geniculate complex,301
Dorsal peduncular area,301
"Dorsal peduncular area, layer 1",301
"Dorsal peduncular area, layer 2/3",301
"Dorsal peduncular area, layer 5",301
"Dorsal peduncular area, layer 6a",301
Dorsal premammillary nucleus,482
Dorsal tegmental nucleus,396
Dorsomedial nucleus of the hypothalamus,301
"Dorsomedial nucleus of the hypothalamus, anterior part",301
"Dorsomedial nucleus of the hypothalamus, posterior part",301
"Dorsomedial nucleus of the hypothalamus, ventral part",301
Ectorhinal area,301
Ectorhinal area/Layer 5,301
Ectorhinal area/Layer 6a,301
Endopiriform nucleus,301
"Endopiriform nucleus, dorsal part",301
"Endopiriform nucleus, ventral part",301
