Pathway,Count
2-LTR circle formation,5
4-1BB-dependent immune response,20
ABC transporters,47
ABCA transporters in lipid homeostasis,17
ACE inhibitor pathway,17
ADP signalling through P2Y purinoceptor 1,6
ADP signalling through P2Y purinoceptor 12,27
ADP-ribosylation factor,29
AKAP95 role in mitosis and chromosome dynamics,15
AKT phosphorylation of cytosolic targets,14
AKT phosphorylation of nuclear targets,9
AKT signaling pathway,22
ALK in cardiac myocytes,37
ALK1 pathway,26
ALK2 pathway,11
AMPK inhibition of chREBP transcriptional activation activity,5
AMPK signaling,68
AP-1 transcription factor network,70
APC/C activator regulation between G1/S and early anaphase,21
APC/C- and Cdc20-mediated degradation of Nek2A,25
APC/C-mediated degradation of cell cycle proteins,82
APOBEC3G-mediated resistance to HIV-1 infection,5
ATF2 transcription factor network,59
ATM pathway,48
ATM-dependent DNA damage response,82
ATM-mediated phosphorylation of repair proteins,5
ATR activation in response to replication stress,15
Abacavir metabolism,5
Abacavir transmembrane transport,5
Abacavir transport and metabolism,10
Abl role in Robo-Slit signaling,9
Acetylation and deacetylation of RelA in the nucleus,16
Acetylcholine binding and downstream events,14
Acetylcholine biosynthesis,7
Acetylcholine neurotransmitter release cycle,11
Actin cytoskeleton regulation,226
Actions of nitric oxide in the heart,47
Activated AMPK stimulation of fatty-acid oxidation in muscle,18
Activated NOTCH1 signaling in the nucleus,31
Activation of BH3-only proteins,17
Activation of C3 and C5,6
Activation of DNA fragmentation factor,13
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,15
Activation of NF-kappaB in B cells,68
Activation of NMDA receptor upon glutamate binding and postsynaptic events,37
Activation of NOXA and translocation to mitochondria,5
Activation of PKC through G-protein coupled receptors,7
Activation of RAS in B cells,5
Activation of Rac,14
Activation of Src by protein tyrosine phosphatase alpha,10
Activation of TRKA receptors,6
Activation of calcium-permeable kainate receptor,10
Activation of chaperones by ATF6 alpha,12
Activation of chaperones by IRE1 alpha,48
Activation of kainate receptors upon glutamate binding,30
"Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",57
Activation of matrix metalloproteinases,30
Activation of pro-caspase 8,9
Activation of the AP-1 family of transcription factors,10
Activation of the pre-replicative complex,30
Acute myeloid leukemia,57
Acute myocardial infarction,20
Acyl chain remodeling of cardiolipin,6
Acyl chain remodeling of diacylglycerol and triacylglycerol,5
Acyl chain remodelling of phosphatidylcholine,26
Acyl chain remodelling of phosphatidylglycerol,17
Acyl chain remodelling of phosphatidylinositol,16
Acyl chain remodelling of phosphatidylserine,17
Adaptive immune system,606
Adenylate cyclase inhibitory pathway,13
Adherens junction actin cytoskeletal organization,29
Adherens junction cell adhesion,74
Adhesion and diapedesis of granulocytes,15
Adhesion and diapedesis of lymphocytes,14
Adipocytokine signaling pathway,67
Adipogenesis,133
Adrenergic pathway,137
Adrenoceptors,9
Advanced glycosylation endproduct receptor signaling,13
Aflatoxin B1 metabolism,8
Agrin in postsynaptic differentiation,47
Alanine and aspartate metabolism,12
"Alanine, aspartate and glutamate metabolism",32
Aldosterone-regulated sodium reabsorption,42
Allograft rejection,37
Alpha defensins,9
Alpha-4 beta-7 integrin signaling,9
Alpha-6 beta-1 and alpha-6 beta-4 integrin signaling,46
Alpha-6 beta-4 integrin signaling pathway,31
Alpha-9 beta-1 integrin pathway,25
Alpha-M beta-2 integrin signaling,41
Alpha-V beta-3 integrin/OPN pathway,31
Alpha-hemoglobin stabilizing enzyme (AHSP) pathway,13
Alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,11
Alpha-linolenic acid metabolism,19
Alpha-synuclein signaling,32
Alternative NF-kappaB pathway,6
Alternative complement pathway,11
Alzheimer's disease,169
Amine compound SLC transporters,29
Amine ligand-binding G-protein coupled receptors,42
Amine-derived hormones,16
Amino acid and oligopeptide SLC transporters,49
Amino acid biosynthesis and interconversion (transamination),16
Amino acid metabolism,195
Amino acid transport across the plasma membrane,31
Amino sugar and nucleotide sugar metabolism,45
Amoebiasis,105
Amyloids,51
Amyotrophic lateral sclerosis (ALS),53
Anandamide metabolism,7
Androgen biosynthesis,10
Androgen receptor proteolysis and transcription regulation,61
Androgen receptor regulation of biosynthesis and transcription,53
"Androgen receptor signaling, proteolysis, and transcription regulation",88
Angiogenesis,23
Angiopoietin receptor Tie2-mediated signaling,49
Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling,39
Angiotensin II-stimulated signaling through G-proteins and beta-arrestin,64
Angiotensin-converting enzyme 2 regulation of heart function,13
"Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins",255
Antigen processing and presentation,81
Antigen processing: cross presentation,79
Antigen-activated B-cell receptor generation of second messengers,211
Antiviral mechanism by interferon-stimulated genes,70
Apoptosis,242
Apoptosis intrinsic pathway,30
Apoptosis modulation and signaling,80
Apoptosis modulation by HSP70,19
Apoptosis regulation,78
Apoptotic DNA fragmentation and tissue homeostasis,10
Apoptotic cleavage of cell adhesion  proteins,11
Apoptotic cleavage of cellular proteins,17
Apoptotic execution  phase,52
Apoptotic factor-mediated response,7
Apoptotic signaling in response to DNA damage,20
Aquaporin-mediated transport,50
Arachidonate epoxygenase/epoxide hydrolase pathway,7
Arachidonic acid metabolism,58
Arf6 integrin-mediated signaling pathway,49
Arf6 signal transduction regulation,35
Arf6 vesicle-mediated transport,15
Arginine and proline metabolism,54
Arrhythmogenic right ventricular cardiomyopathy (ARVC),75
Arylamine metabolism,7
Arylsulfatase activation,13
Ascorbate and aldarate metabolism,26
Asparagine N-linked glycosylation,85
Assembly of HIV virion,12
Assembly of the ORC complex at the origin of replication,6
Association of TriC/CCT with target proteins during biosynthesis,29
Association of licensing factors with the pre-replicative complex,15
Asthma,30
Attachment of GPI anchor to uPAR,7
Attenuation of GPCR signaling,11
Atypical NF-kappaB pathway,17
Aurora B signaling,39
Autodegradation of Cdh1 by Cdh1-APC/C,58
Autoimmune thyroid disease,52
Autophagy regulation,35
Axon guidance,325
Axonal growth stimulation,5
Axonogenesis regulation by p75 neurotrophin receptor,9
B cell survival pathway,16
B lymphocyte cell surface molecules,11
BAD activation and translocation to mitochondria,7
BAD phosphorylation mediated by IGF1R signaling,23
BAD phosphorylation regulation,27
BARD1 signaling events,29
