Pathway,Count
ATXN2,19
ARSA,13
MED20,13
TCEAL1,29
PRPF19,37
MYF6,11
SEMG2,20
KLHL10,32
C5orf34,13
CCDC67,13
CCT2,78
PDK3,18
VAMP4,35
KCNK16,11
SCN2B,58
CCT8,10
PTPN14,10
MME,20
GPR183,29
SEPT6,16
STX10,12
MRPL3,15
HERC3,13
PIP5K1A,27
FUT1,16
HDAC7,12
POLR1C,25
PPP3CA,14
PRKCZ,11
SUSD1,10
TK1,10
ARL4C,19
RFPL2,11
C12orf49,14
ITPRIP,18
TAF12,11
ZNF669,25
CRY1,10
C17orf39,22
MRPS33,17
TMBIM6,21
LTF,17
RAB2B,23
ILF2,34
ATP6V0E1,10
ZNF146,10
LEPRE1,14
LAMP2,41
KIF1B,15
TRAPPC10,18
KIR3DL2,19
SEMG1,20
MAPK6,22
TMED2,16
RPL18,91
LNPEP,20
C5orf25,10
CST2,14
PTPRD,30
PAPD5,11
TMEM200A,10
NOP56,13
ZNF414,33
TSPAN5,42
RBBP4,15
APOD,26
LMO2,57
TUBA3C,39
C17orf80,21
SNX24,17
ITGA6,17
ARHGAP36,13
FBXO11,31
COPS5,27
LIMD1,19
PTPRS,27
LRRC46,20
SLC45A2,11
TRIM35,19
SGK196,42
LOC100507680,40
MRPS2,20
QRICH1,11
FBXL4,32
SLAMF7,10
TCF3,10
BTRC,78
NDUFB6,10
UCHL5,41
NSUN4,16
RAB8B,20
EXTL3,15
ND4,14
MOSPD2,15
NIPSNAP3A,13
B4GALT5,17
LIMS1,12
HIST1H1A,72
FLYWCH2,20
CENPF,14
CGB2,14
TMED4,12
PRDM10,11
CCT4,42
LRP6,21
C16orf87,18
COPS2,32
NGRN,24
OCLN,22
CHST8,25
U2AF2,38
RBFA,12
MAPK8IP3,11
NUP50,28
SDF4,27
TTC30A,20
RPL10A,35
TNFSF13B,33
AKAP7,10
GRAP2,17
ANTXR1,33
UTP15,12
PWP2,12
TROAP,14
GGT7,19
RNF19B,39
EXOSC7,18
TRO,14
NDUFB8,17
IFFO1,13
F9,32
SEPT1,13
GAS2L1,18
TMOD3,36
CPNE2,34
BLOC1S2,14
DCTN1,19
SLC13A2,10
GRN,37
ZNF574,29
HSPBP1,38
HMOX2,16
FLNC,17
SNAP29,32
WDYHV1,46
MCCC1,12
ZNF771,14
MRPL11,10
CPA6,11
RNMTL1,24
UBE2E3,18
HBM,20
CEP250,10
SRCAP,10
TMEM63B,16
GFAP,23
RBM28,33
MRPS23,15
CLK3,46
SKP2,56
