Pathway,Count
100 gene most correlated to LDLRAD4 based on ARCHS4 co-expression,80
152 Down Genes from GEN3VA Mouse Lung; Accession: GSE19137 Platform: GPL1261 Entry 6,148
178 positive hits from CRISPR screen of Heaton et al. in A549-ACE2 cells,170
184 proteins up-regualated at 0h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,182
192 negative hits from CRISPR screen of Heaton et al. in A549-ACE2 cells,180
197 proteins down-regualated at 4h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,196
21 Positive hits from CRISPR screen from Hoffmann et al. (PMID 32935098) in Huh-7.5 cells at 37 deg C,20
235 proteins up-regualated in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,233
238 proteins down-regualated  in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,236
26 Negative hits from CRISPR screen from Hoffmann et al. (PMID 32935098) in Huh-7.5 cells at 33 deg C,25
262 proteins up-regualated at 4h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,259
27 Positive hits from CRISPR screen from Hoffmann et al. (PMID 32935098) in Huh-7.5 cells at 33 deg C,27
277 proteins down-regualated at 0h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,271
28 Negative hits from CRISPR screen from Hoffmann et al. (PMID 32935098) in Huh-7.5 cells at 37 deg C,28
30 host factors of SARS-CoV-2 in HEK293T-hACE2 cells with MOI 0.01 from CRISPR screen of Grodzki et al.,28
300 proteins up-regualated at 8h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,295
31 host factors of SARS-CoV-2 in HEK293T-hACE2 cells with MOI 0.3 from CRISPR screen of Grodzki et al.,28
318 proteins up-regualated at 2h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,313
332 proteins enriched in  AP-MS using various SARS-CoV-2 proteins as bait from Gordon et al. (2020),331
347 proteins down-regualated at 8h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,343
355 proteins up-regualated at 12h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,352
392 genes up-regulated by SARS-CoV-2 in ferret nasal wash from GSE147507,371
40 SARS-CoV-2 host factor genes from genome-wide CRISPR screen in Huh7 cells from Baggen et al.,37
404 proteins down-regualated at 12h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,401
405 proteins down-regualated at 24h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,401
419 proteins down-regualated at 2h in SARS-CoV-2 infected cells from Bouhaddou et al. 2020,415
420 genes down-regulated by SARS-CoV-2 in ferret nasal wash from GSE147507,411
434 genes down-regulated by SARS-CoV-2 in ferret trachea from GSE147507,430
436 genes up-regulated by SARS-CoV-2 in ferret trachea from GSE147507,425
447 genes down-regulated by SARS-CoV-2 infection in Vero E6 cells from GSE153940,444
455 genes downregulated by IAV-infection in mouse spleen,379
464 genes up-regulated by SARS-CoV-2 infection in Vero E6 cells from GSE153940,412
498 genes down-regulated by SARS-CoV-1 in Calu-3 cells from GSE148729,409
499 genes down-regulated by SARS-CoV-1 in Calu-3 cells from GSE148729,468
499 genes down-regulated by SARS-CoV-2 in Calu-3 cells from GSE148729,437
499 genes up-regulated by SARS-CoV-2 in Calu-3 cells from GSE148729,395
50 genes involved in SARS-CoV-2 entry from genome-wide CRISPR screen of Zhu et al.,49
500 down regulated genes in A549 cells infected with COVID-19 extracted from GSE147507,456
500 genes down regulated by MERS infection of Calu3 cells,475
500 genes down regulated by SARS-COV-2 infection of Calu3 cells,479
500 genes down-regulated by MERS-CoV in Calu-3 cells from GSE122876,480
500 genes down-regulated by MERS-CoV in Calu-3 cells from GSE139516 6h,472
500 genes down-regulated by MERS-CoV in Calu-3 cells from GSE139516 24h,476
500 genes down-regulated by MHV-A59 in murine liver cells from GSE146074 3d,410
500 genes down-regulated by MHV-A59 in murine liver cells from GSE146074 5d,409
500 genes down-regulated by MHV-A59 in murine spleen cells from GSE146074 5d,448
500 genes down-regulated by MHV-A59 in murine spleen cells from GSE146074 3d,437
500 genes down-regulated by SARS-CoV-1 in human intestinal organoids from GSE149312 60h,463
500 genes down-regulated by SARS-CoV-1 in human intestinal organoids from GSE149312 24h,456
500 genes down-regulated by SARS-CoV-2 (0.2 MOI) in human A549 cells from GSE147507,456
500 genes down-regulated by SARS-CoV-2 (0.2 MOI) in human A549 cells transduced with ACE2 vector from GSE147507,494
500 genes down-regulated by SARS-CoV-2 (2 MOI) in human A549 cells from GSE147507,489
500 genes down-regulated by SARS-CoV-2 (2 MOI) in human A549 cells transduced with ACE2 vector from GSE147507,492
500 genes down-regulated by SARS-CoV-2 (2 MOI) in human Calu-3 cells from GSE147507,479
500 genes down-regulated by SARS-CoV-2 382-deletion mutant in human Nasal Epithelial Cells cells at 24 hpi from GSE162131,449
500 genes down-regulated by SARS-CoV-2 in A549-ACE2 cells from GSE154613 amlodipine,470
500 genes down-regulated by SARS-CoV-2 in A549-ACE2 cells from GSE154613 berbamine,455
500 genes down-regulated by SARS-CoV-2 in A549-ACE2 cells from GSE154613 loperamide,467
500 genes down-regulated by SARS-CoV-2 in A549-ACE2 cells from GSE154613 RS504393,462
500 genes down-regulated by SARS-CoV-2 in A549-ACE2 cells from GSE154613 terfenadine,448
500 genes down-regulated by SARS-CoV-2 in A549-ACE2 cells from GSE154613 trifluoperazine,458
500 genes down-regulated by SARS-CoV-2 in Calu-3 cells from GSE148729,483
500 genes down-regulated by SARS-CoV-2 in human A549 cells from GSE147507 Series2,497
500 genes down-regulated by SARS-CoV-2 in human A549 cells from GSE147507 Series5,494
500 genes down-regulated by SARS-CoV-2 in human A549 cells from GSE154613,417
500 genes down-regulated by SARS-CoV-2 in human Caco2 cells at 24h from GSE148729,490
500 genes down-regulated by SARS-CoV-2 in human Caco2 cells at 4h from GSE148729 mock,484
500 genes down-regulated by SARS-CoV-2 in human Caco2 cells at 4h from GSE148729 untreated,491
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells at 12h from GSE148729,495
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells at 24h from GSE148729 totalRNA,495
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells at 24h from GSE148729 polyA,498
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells at 4h from GSE148729 mock totalRNA,486
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells at 4h from GSE148729 mock s1 polyA,497
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells at 4h from GSE148729 mock polyA,489
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells at 4h from GSE148729 untreated totalRNA,489
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells at 4h from GSE148729 untreated s1 polyA,497
500 genes down-regulated by SARS-CoV-2 in human Calu3 cells from GSE147507,491
500 genes down-regulated by SARS-CoV-2 in human cardiomyocytes from GSE150392,410
500 genes down-regulated by SARS-CoV-2 in human H1299 cells at 36h from GSE148729,488
500 genes down-regulated by SARS-CoV-2 in human H1299 cells at 4h from GSE148729 mock,474
500 genes down-regulated by SARS-CoV-2 in human H1299 cells at 4h from GSE148729 untreated,482
500 genes down-regulated by SARS-CoV-2 in human hiPSC-CMs cells at 24h from GSE150392,488
500 genes down-regulated by SARS-CoV-2 in human intestinal organoids from GSE149312 differentiation 60h,456
500 genes down-regulated by SARS-CoV-2 in human intestinal organoids from GSE149312 differentiation 24h,459
500 genes down-regulated by SARS-CoV-2 in human intestinal organoids from GSE149312 expansion 60h,462
500 genes down-regulated by SARS-CoV-2 in human intestinal organoids from GSE149312 expansion 24h,467
500 genes down-regulated by SARS-CoV-2 in human liver organoids from GSE151803,418
500 genes down-regulated by SARS-CoV-2 in human lung cells from GSE147507,496
500 genes down-regulated by SARS-CoV-2 in human lung tissue cells from GSE147507,487
500 genes down-regulated by SARS-CoV-2 in human Nasal Epithelial Cells cells at 24 hpi from GSE162131,440
500 genes down-regulated by SARS-CoV-2 in human NHBE cells from GSE147507,470
500 genes down-regulated by SARS-CoV-2 in human Organoids cells from GSE154613,432
500 genes down-regulated by SARS-CoV-2 in human pancreatic organoids from GSE151803,441
500 genes down-regulated by SARS-CoV-2 in mouse Heart cells at 7 dpi from GSE162113,444
500 genes down-regulated by SARS-CoV-2 in mouse Kidney cells at 7 dpi from GSE162113,439
500 genes down-regulated by SARS-CoV-2 in mouse Liver cells at 3 dpi from GSE162113,412
500 genes down-regulated by SARS-CoV-2 in mouse Lung cells at 3 dpi from GSE162113,382
500 genes down-regulated by SARS-CoV-2 in mouse Lung cells at 7 dpi from GSE162113,432
500 genes down-regulated by SARS-CoV-2 in mouse lung tissue from GSE150847,358
500 genes up regulated by MERS infection of Calu3 cells,477
500 genes up regulated by SARS-COV-2 infection of Calu3 cells,476
500 genes up-regulated by MERS-CoV in Calu-3 cells from GSE122876,485
500 genes up-regulated by MERS-CoV in Calu-3 cells from GSE139516 6h,465
500 genes up-regulated by MERS-CoV in Calu-3 cells from GSE139516 24h,466
500 genes up-regulated by MHV-A59 in murine liver cells from GSE146074 3d,418
500 genes up-regulated by MHV-A59 in murine liver cells from GSE146074 5d,394
500 genes up-regulated by MHV-A59 in murine spleen cells from GSE146074 5d,381
500 genes up-regulated by MHV-A59 in murine spleen cells from GSE146074 3d,421
500 genes up-regulated by SARS-CoV-1 in Calu-3 cells from GSE148729 24h,438
500 genes up-regulated by SARS-CoV-1 in Calu-3 cells from GSE148729 4h,395
500 genes up-regulated by SARS-CoV-1 in human intestinal organoids from GSE149312 60h,457
500 genes up-regulated by SARS-CoV-1 in human intestinal organoids from GSE149312 24h,459
500 genes up-regulated by SARS-CoV-2 (0.2 MOI) in human A549 cells from GSE147507,480
500 genes up-regulated by SARS-CoV-2 (0.2 MOI) in human A549 cells transduced with ACE2 vector from GSE147507,460
500 genes up-regulated by SARS-CoV-2 (2 MOI) in human A549 cells from GSE147507,470
