Pathway,Count
COVID19-E protein host PPI from Krogan,6
COVID19-M protein host PPI from Krogan,30
COVID19-N protein host PPI from Krogan,15
COVID19-Nsp1 protein host PPI from Krogan,6
COVID19-Nsp10 protein host PPI from Krogan,14
COVID19-Nsp12 protein host PPI from Krogan,20
COVID19-Nsp13 protein host PPI from Krogan,40
COVID19-Nsp2 protein host PPI from Krogan,7
COVID19-Nsp4 protein host PPI from Krogan,8
COVID19-Nsp7 protein host PPI from Krogan,32
COVID19-Nsp8 protein host PPI from Krogan,24
COVID19-Nsp9 protein host PPI from Krogan,16
COVID19-Orf3a protein host PPI from Krogan,8
COVID19-Orf8 protein host PPI from Krogan,47
COVID19-Orf9b protein host PPI from Krogan,11
COVID19-Orf9c protein host PPI from Krogan,26
COVID19-All 332 protein host PPI from Krogan,332
ACE2 Co-expressed genes from ARCHS4,100
ACE2 top 50 Geneshot AutoRIF,50
ACE2 top 200 Geneshot AutoRIF ARCHS4 predictions,200
ACE2 top 200 Geneshot AutoRIF Enrichr co-occurrence predictions,200
SARS top 50 Geneshot AutoRIF,50
TMPRSS2 top 50 Geneshot AutoRIF,50
SARS 133 Literature-Associated Genes from Geneshot GeneRIF,133
ACE2 Pathway from BioCarta 2013,12
ACE2 PPI from the NCBI Gene database,10
SARS coronavirus protease from BioPlanet 2019,7
SARS coronavirus endoRNAse from Virus-Host PPI P-HIPSTer 2020,6
SARS coronavirus protein E from Virus-Host PPI P-HIPSTer 2020,15
SARS coronavirus hypothetical protein sars7a from Virus-Host PPI P-HIPSTer 2020,38
SARS coronavirus hypothetical protein sars9b from Virus-Host PPI P-HIPSTer 2020,17
SARS coronavirus orf1ab from Virus-Host PPI P-HIPSTer 2020,194
SARS coronavirus 2-O-ribose methyltransferase from Virus-Host PPI P-HIPSTer 2020,11
SARS coronavirus leader protein from Virus-Host PPI P-HIPSTer 2020,20
SARS coronavirus formerly known as growth-factor-like protein from Virus-Host PPI P-HIPSTer 2020,17
SARS coronavirus nsp7-pp1a from Virus-Host PPI P-HIPSTer 2020,36
SARS coronavirus nsp9-pp1a from Virus-Host PPI P-HIPSTer 2020,13
