Pathway,Count
PAX6-23342162-BETA-FORBRAIN-LENS-MOUSE,1001
SRY-25088423-EMBRYONIC GONADS-MOUSE,3083
HOXB4-20404135-EML-MOUSE,1824
GATA1-19941827-MEL-mouse,1834
SOX2-19030024-MESC-mouse,863
ELF1-17652178-JURKAT-HUMAN,133
NFIB-24661679-E16.5 LUNG-MOUSE,573
E2F4-17652178-JURKAT-HUMAN,1002
BMI1-19503595-MEFC-mouse,661
GATA2-21666600-HMVEC-HUMAN,837
CTCF-18555785-MESC-mouse,1568
WT1-19549856-Wilms tumor-derived CCG99?11-human,199
EZH2-18974828-MESC-MOUSE,1298
STAT3-1855785-MESC-mouse,572
TP53-16413492-HCT116-human,449
ELK1-22589737-MCF10A-HUMAN,928
ESRRB-18555785-MESC-mouse,1434
RNF2-18974828-MESC-MOUSE,1298
ZNF652-21678463-ZR75-1-HUMAN,112
SRF-21415370-HL-1-MOUSE,1634
MYC-19915707-AK7-human,2979
POU3F2-20337985-501MEL-HUMAN,1702
TCFAP2C-20176728-TROPHOBLAST STEM CELLS-MOUSE,2667
LYL1-20887958-HPC-7-MOUSE,752
TRIM28-19339689-MESC-mouse,3072
ZFP281-18358816-MESC-mouse,578
EGR1-20690147-ERYTHROLEUKEMIA-HUMAN,6207
CHD7-19251738-MESC-mouse,141
ERG-20517297-VCAP-HUMAN,1062
TP53-22127205-IMR90-HUMAN,975
TFAP2C-20629094-MCF7-HUMAN,1203
CIITA-18437201-Raji B cells and iDC-human,59
SOX2-18555785-MESC-mouse,497
NANOG-16153702-HESC-human,1686
NR1I2-20693526-LIVER-MOUSE,939
POU5F1-18555785-MESC-mouse,555
STAT3-18555785-MESC-MOUSE,1997
MEIS1-20887958-HPC-7-MOUSE,1452
SCL-19346495-HPC-7-human,252
FOXO3-23340844-DLD1-HUMAN,695
ZNF263-19887448-K562-human,71
FOXP2-23625967-PFSK-1 AND SK-N-MC-HUMAN,863
SUZ12-18974828-CHIP-SEQ-MESC,2
KLF4-18264089-MESC-mouse,102
POU5F1-18358816-MESC-mouse,753
TTF2-22483619-CHIP-SEQ-HELA,2
NFE2L2-22581777-LYMPHOBLASTOID-HUMAN,527
GATA1-21571218-MEGAKARYOCYTES-HUMAN,2601
EZH2-18974828-CHIP-SEQ-MESC,2
SPI1-23127762-K562-HUMAN,1389
ESR1-17901129-mouse liver-mouse,444
STAT5-23275557-MAMMARY-EPITHELIUM-MOUSE,1197
HOXC9-25013753-NEUROBLASTOMA BE2-C-HUMAN,2014
EBNA2-21746931-IB4-LCL-HUMAN,1492
CREB1-15753290-HEK293T-human,957
FLI1-21571218-MEGAKARYOCYTES-HUMAN,5834
TBX3-20139965-MESC-MOUSE,1068
NANOG-18692474-MESC-mouse,3052
TCF4-23295773-U87-HUMAN,3812
EZH2-22144423-EOC-HUMAN,40
CTNNB1-24651522-LGR5+ INTESTINAL STEM CELL-HUMAN,162
EKLF-21900194-ERYTHROCYTE-MOUSE,1239
ZFX-18555785-MESC-mouse,3249
DNAJC2-21179169-NT2-HUMAN,899
OLIG2-23332759-OLIGODENDROCYTES-MOUSE,2040
RUNX1-21571218-MEGAKARYOCYTES-HUMAN,5071
YY1-22570637-MALME-3M-HUMAN,1049
HIF1A-21447827-MCF7-HUMAN,321
CTNNB1-20460455-HCT116-HUMAN,988
SPI1-22096565-GC-B-MOUSE,1676
GATA2-20887958-HPC-7-MOUSE,1708
POU5F1-18700969-MESC-mouse,567
PBX1-22567123-OVCAR3-HUMAN,2299
NR0B1-18358816-MESC-mouse,1691
NACC1-18358816-MESC-mouse,769
NR3C1-23031785-PC12-MOUSE,918
VDR-23401126-LCL-AND-THP1-HUMAN,239
PRDM5-23873026-MEF-MOUSE,1029
YY1-23942234-MYOBLASTS AND MYOTUBES-MOUSE,1466
GATA1-22025678-K562-HUMAN,38
FOXO1-23066095-LIVER-MOUSE,347
MYC-20876797-MEDULLOBLASTOMA-HUMAN,1406
VDR-20736230-LYMPHOBLASTOID-HUMAN,230
TAL1-20566737-PRIMARY FETAL LIVER ERYTHROID CELLS-MOUSE,1875
AR-21909140-LNCAP PROSTATE CANCER CELL LINES-HUMAN,298
ASH2L-23239880-MESC-MOUSE,3336
SALL4-18804426-XEN-mouse,1006
JARID2-20064375-MESC-MOUSE,1117
KLF1-20508144-FETAL-LIVER-ERYTHROID-MOUSE,1144
TP53-22573176-HFKS-HUMAN,1348
JARID1A-20064375-MESC-MOUSE,2171
SOX2-18358816-MESC-mouse,785
TP63-23658742-EP156T-HUMAN,3652
FOXP1-22492998-STRATIUM-MOUSE,26
DACH1-20351289-CHIP-SEQ-HUMAN,1698
RELA-24523406-FIBROSARCOMA-HUMAN,1182
SMAD3-21741376-HESC-HUMAN,1460
RUNX1-17652178-JURKAT-HUMAN,1003
PAX3-FKHR-20663909-RHABDOMYOSARCOMA-HUMAN,1063
HSF1-23293686-STHDH STRIATAL-MOUSE,1156
POU5F1-16153702-HESC-human,622
KLF4-18555785-MESC-mouse,2444
SALL4-18804426 ESC-MESC-mouse,1065
ELF1-20517297-JURKAT-HUMAN,1020
HNF4A-19822575-HepG2-human,6083
VDR-23849224-CD4+-HUMAN,2231
IKZF1-21737484-HCT116-HUMAN,155
ZFP322A-24550733-MESC-MOUSE,90
ESR1-21235772-MCF-7-HUMAN,228
MYBL1-21750041-SPERMATOCYTES-MOUSE,161
SIN3A-21632747-MESC-MOUSE,1186
EST1-17652178-JURKAT-HUMAN,1001
TAL1-20887958-HPC-7-MOUSE,2067
MITF-21258399-MELANOMA-HUMAN,5578
CUX1-19635798-MULTIPLE HUMAN CANCER CELL TYPES-HUMAN,3052
YY1-21170310-MESC-MOUSE,464
SOX9-24532713-HFSC-MOUSE,1384
ESR2-21235772-MCF-7-HUMAN,424
SMAD1-18555785-MESC-mouse,610
TFEB-21752829-HELA-HUMAN,808
PHC1-16625203-MESC-mouse,922
CEBPD-23245923-MEF-MOUSE,504
TP63-17297297-HaCaT-human,40
PPARG-20176806-THIOMACROPHAGE-MOUSE,837
RNF2-16625203-MESC-mouse,1219
POU5F1-18692474-MESC-mouse,4233
SMAD2-18955504-HaCaT-human,1936
EP300-20729851-FORBRAIN MIDBRAIN LIMB HEART-MOUSE,2093
TFAP2A-17053090-MCF7-human,1904
MYC-19030024-MESC-mouse,3868
ASXL1-24218140-BMDM-MOUSE,807
GABP-19822575-HepG2-human,2639
CREM-20920259-GC1-SPG-MOUSE,5776
BCL11B-21912641-STHDH STRIATAL CELLS-MOUSE,43
MYC-22102868-BL-HUMAN,797
STAT6-20620947-CD4 POS T-HUMAN,508
TRIM28-21343339-HEK293-HUMAN,90
TCF7-22412390-EML-MOUSE,1529
SOX2-20726797-SW620-HUMAN,2564
ELF5-23300383-T47D-HUMAN,1087
E2F1-17053090-MCF7-human,1726
TCF4-18268006-LS174T-HUMAN,470
PRDM14-21183938-MESC-MOUSE,1944
IRF1-21803131-MONOCYTES-HUMAN,345
GATA4-21415370-HL-1-MOUSE,2039
E2F4-21247883-LYMPHOBLASTOID-HUMAN,2998
TP53-18474530-U2OS-human,827
DCP1A-22483619-CHIP-SEQ-HELA,1
POU5F1-18347094-MESC-mouse,2109
MYBL2-22936984-MESC-MOUSE,2250
LMO2-20887958-HPC-7-MOUSE,1741
GBX2-23144817-PC3-HUMAN,286
TP63-19390658-HaCaT-human,179
ETS2-20176728-TROPHOBLAST STEM CELLS-MOUSE,215
MYCN-18555785-MESC-mouse,2261
MYCN-21190229-SHEP-21N-HUMAN,373
SMARCA4-20176728-TROPHOBLAST STEM CELLS-MOUSE,1118
NANOG-18700969-MESC-mouse,344
DCP1A-22483619-HELA-HUMAN,757
CEBPA-23403033-LIVER-MOUSE,589
SREBP1-19666523-LIVER-FROM-C57BL-MICE-MOUSE,738
SFPI1-20887958-HPC-7-MOUSE,2369
NR4A2-19515692-MN9D-mouse,207
ZNF274-21170338-K562 HELA HEPG2 GM12878-HUMAN,327
STAT3-20064451-CD4+T-MOUSE,2202
NKX2-5-21415370-HL-1-MOUSE,1507
SOX17-20123909-XEN-MOUSE,1947
TAF7L-23326641-C3H10T1-2-MOUSE,912
HNF4A-19761587-HUMAN INTESTINAL CELL LINE CACO-2-human,1126
BACH1-22875853-HELA-AND-SCP4-HUMAN,1352
MTF2-20144788-MESC-MOUSE,2981
PDX1-19855005-MIN6-MOUSE,669
EGR1-23403033-LIVER-MOUSE,944
ERG-20887958-HPC-7-MOUSE,1969
XRN2-22483619-HELA-HUMAN,1529
SUZ12-18974828-MESC-MOUSE,1930
GABP-17652178-JURKAT-HUMAN,1001
ESR1-15608294-MCF7-human,98
NFE2L2-20460467-MEF-MOUSE,1055
SREBP2-21459322-LIVER-MOUSE,1095
SPI1-20517297-HL60-HUMAN,1249
KDM5B-21448134-MESC-MOUSE,3724
CHD1-19587682-MESC-mouse,843
CDKN2AIP-20523734-CORTICAL NEURONS-MOUSE,123
DMRT1-21621532-FETAL OVARY-MOUSE,132
AR-19668381-PC3-HUMAN,3519
MYC-18358816-MESC-mouse,3413
ZNF217-24962896-MCF7-HUMAN,1522
IRF8-21731497-J774-MOUSE,319
TCF3-18467660-MESC-MOUSE,1388
SOX2-16153702-HESC-human,1278
HOXD13-18407260-invivo in developing limbs-mouse,196
FOXM1-23109430-U2OS-HUMAN,267
CNOT3-19339689-MESC-mouse,1547
RUNX1-20887958-HPC-7-MOUSE,1120
SOX11-23321250-Z138-A519-JVM2-HUMAN,1134
PPARG-20887899-3T3-L1 PREADIPOCYTE CELLS-MOUSE,3565
SMAD3-18955504-HaCaT-human,1936
SPI1-20176806-THIOMACROPHAGE-MOUSE,1654
SPI1-22790984-ERYTHROLEUKEMIA-MOUSE,1962
ARNT-22903824-MCF7-HUMAN,1029
E2F1-18555785-MESC-mouse,4172
REST-19997604-NEURONS-MOUSE,2118
SCL-21571218-MEGAKARYOCYTES-HUMAN,1784
NANOG-16518401-MESC-mouse,3520
RUNX1-22412390-EML-MOUSE,1770
FOXP2-21765815-NEURO2A-MOUSE,1164
IRF8-22096565-GC-B-MOUSE,772
NANOG-21062744-HESC-HUMAN,840
DROSHA-22980978-HELA-HUMAN,456
AHR-22903824-MCF7-HUMAN,690
SALL1-21062744-HESC-HUMAN,105
CTNNB1-20615089-FETAL BRAIN-HUMAN,637
ATF3-23680149-GBM1-GSC-HUMAN,2189
JUN-21703547-K562-HUMAN,1585
REST-18959480-MESC-mouse,2868
GATA1-19941826-K562-human,967
TCF3-18692474-MESC-mouse,1351
KDM6A-18722178-U937 AND SAOS2-HUMAN,479
NR1H3-23393188-ATHEROSCLEROTIC-FOAM-HUMAN,599
WT1-20215353-NEPHRON PROGENITOR-MOUSE,1663
STAT1-20625510-HELA-HUMAN,656
STAT4-19710469-TH1 cell mouse-mouse,1939
CDX2-19796622-MESC-mouse,334
SMAD4-19686287-HaCaT-human,405
TCF7L2-21901280-H4IIE-RAT,645
RCOR3-21632747-MESC-MOUSE,2851
PRDM16-22522345-PALATE MESENCHYMAL-MOUSE,122
EGR1-19374776-THP-1-human,68
REST-21632747-MESC-MOUSE,2339
EED-16625203-MESC-mouse,830
ZFP281-18757296-E14-MOUSE,2004
HOXA2-22223247-E11.5 EMBRYO-MOUSE,38
IRF8-22096565-A-GC-B-HUMAN,203
EP300-21415370-HL-1-MOUSE,1014
CREB1-20920259-GC1-SPG-MOUSE,3057
BCL3-23251550-MUSCLE-MOUSE,858
MYC-19079543-MESC-mouse,1458
SMAD4-21741376-HESC-HUMAN,2738
RAD21-21589869-MESC-MOUSE,2036
PPARG-23326641-C3H10T1-2-MOUSE,838
TRIM28-17542650-NTERA2-HUMAN,3568
SUZ12-18555785-MESC-mouse,1058
CEBPB-20176806-THIOMACROPHAGE-MOUSE,1588
