Pathway,Count
4p partial monosomy syndrome,6
achromatopsia,5
acute lymphoid leukemia,7
acute myeloid leukemia,20
adult junctional epidermolysis bullosa,5
age-related macular degeneration,13
aicardi goutieres syndrome,5
alpha-dystroglycan related dystrophy,6
alzheimer's disease,10
amyotrophic lateral sclerosis,17
anophthalmia-microphthalmia syndrome,21
aplastic anemia,5
arrhythmogenic right ventricular cardiomyopathy,8
ashkenazi jewish disorders,11
"asthma, susceptibility to",10
atrial fibrillation,6
atrial septal defect,5
atypical hemolytic uremic syndrome,9
autism spectrum disorder,8
autoimmune lymphoproliferative syndrome,6
autosomal dominant non-syndromic sensorineural deafness type dfna,25
bardet-biedl syndrome,18
beckwith-wiedemann syndrome,6
brugada syndrome,8
carcinoma of colon,30
cardiomyopathy,48
charcot-marie-tooth disease,44
charcot-marie-tooth disease type 4,13
"charcot-marie-tooth disease, type 2",19
"charcot-marie-tooth disease, type i",5
chronic granulomatous disease,5
combined oxidative phosphorylation deficiency,37
common variable immunodeficiency 2,5
congenital adrenal hyperplasia,5
congenital central hypoventilation,5
congenital disorder of glycosylation,37
congenital hypothyroidism,6
congenital ichthyosis of skin,11
congenital muscular dystrophy,14
congenital myasthenic syndrome,10
congenital myopathy with fiber type disproportion,6
craniosynostosis syndrome,7
cutaneous melanoma,6
"cutis laxa, autosomal recessive",5
de lange syndrome,5
diabetes mellitus type 2,28
diamond-blackfan anemia,19
disorder of amino acid metabolism,8
disorder of endocrine system,5
disorder of fatty acid metabolism,11
disorder of organic acid metabolism,18
disorder of the urea cycle metabolism,6
disorders of intracellular cobalamin metabolism,10
distal arthrogryposis,7
distal hereditary motor neuronopathy,7
dyskeratosis congenita,8
"epidermolysis bullosa, junctional",5
essential hypertension,11
familial adenomatous polyposis 1,5
familial cancer of breast,27
familial colorectal cancer,17
familial dilated cardiomyopathy,30
familial erythrocytosis,6
familial hypercholesterolemia,5
familial hypercholesterolemias,8
familial hyperinsulinism,8
familial partial lipodystrophy,5
fanconi anemia,14
galloway-mowat syndrome,5
glaucoma,5
glioma,7
glycogen storage disease,17
hemolytic-uremic syndrome,9
"hepatic failure, early-onset, and neurologic disorder due to cytochrome c oxidase deficiency",12
hepatocellular carcinoma,9
hereditary cutaneous melanoma,6
hereditary hearing loss and deafness,170
hereditary hemochromatosis,7
hereditary nephrotic syndrome,6
hereditary pancreatitis,5
hereditary paraganglioma-pheochromocytoma syndromes,6
hereditary spherocytosis,5
hermansky-pudlak syndrome,10
hirschsprung disease,6
holoprosencephaly sequence,10
"human immunodeficiency virus type 1, susceptibility to",14
hyperekplexia,5
hyperlipoproteinemia,8
hyperphosphatasia-intellectual disability syndrome,6
hypogonadism with anosmia,6
hypogonadotropic hypogonadism 7 with or without anosmia,14
idiopathic generalized epilepsy,7
intervertebral disc disorder,5
ischemic stroke,5
jarcho-levin syndrome,5
joubert syndrome,20
"juvenile myopathy, encephalopathy, lactic acidosis and stroke",16
leber congenital amaurosis,16
leber's optic atrophy,9
leigh syndrome,13
leukoencephalopathy with vanishing white matter,5
"limb-girdle muscular dystrophies, autosomal dominant",9
limb-girdle muscular dystrophy,25
"limb-girdle muscular dystrophy, autosomal recessive",14
lissencephaly,6
lung cancer,14
lynch syndrome,8
malformation of cortical development,6
malignant melanoma of skin,6
malignant tumor of esophagus,5
malignant tumor of prostate,9
meckel-gruber syndrome,10
"meningioma, familial",6
methylmalonic acidemia,5
microvascular complications of diabetes,7
mitochondrial diseases,60
mitochondrial dna deletion syndromes,8
mitochondrial dna-associated leigh syndrome and narp,14
"multiple epiphyseal dysplasia, dominant",5
"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 1",5
"mycobacterium tuberculosis, susceptibility to",10
myocardial infarction 1,13
myoclonus with epilepsy with ragged red fibers,5
myofibrillar myopathy,6
nemaline myopathy,8
neonatal diabetes mellitus,7
neoplasm of lung,14
neoplasm of ovary,6
neoplasm of stomach,8
neoplasm of the breast,27
neoplasm of the genitourinary tract,23
nephroblastoma,7
nephronophthisis,9
neural tube defect,5
neurodegeneration with brain iron accumulation,9
neuronal ceroid lipofuscinosis,9
non-hodgkin lymphoma,5
nonsyndromic hearing loss and deafness,72
"nonsyndromic hearing loss and deafness, autosomal recessive",51
noonan syndrome,8
obesity,11
oculocutaneous albinism,6
orofacial cleft,5
osteogenesis imperfecta,10
parkinson disease,22
"parkinson disease, late-onset",9
permanent neonatal diabetes mellitus,5
peroxisome biogenesis disorders,16
"peroxisome biogenesis disorders, zellweger syndrome spectrum",14
perrault syndrome,6
pheochromocytoma,8
"pituitary hormone deficiency, combined",5
pontocerebellar hypoplasia type 2,6
pontoneocerebellar hypoplasia,16
postmenopausal osteoporosis,6
prader-willi syndrome,12
premature ovarian failure,7
primary autosomal recessive microcephaly,15
primary ciliary dyskinesia,36
primary dilated cardiomyopathy,34
primary familial hypertrophic cardiomyopathy,22
"pure gonadal dysgenesis 46,xy",6
pyruvate dehydrogenase complex deficiency,5
rasopathy,14
"renal cell carcinoma, nonpapillary",7
renal dysplasia and retinal aplasia,7
retinitis pigmentosa,75
rheumatoid arthritis,7
romano-ward syndrome,11
schizophrenia,19
severe congenital neutropenia,7
shprintzen syndrome,5
"spermatogenic failure, y-linked 2",16
stickler syndrome,5
susceptibility to malaria,16
systemic lupus erythematosus,11
tetralogy of fallot,6
thoracic aortic aneurysm and aortic dissection,10
"usher syndrome, type 1",5
venous thrombosis,8
wilms tumor 1,6
xeroderma pigmentosum,9
