Pathway,Count
22Rv1,187
23132/87,373
42-MG-BA,282
769-P,461
8-MG-BA,762
A-172,299
A-253,223
A-375,317
A-549,228
A2058,635
A2780,527
A2780ADR,728
A2780cis,281
AGS,620
AM-38,476
ARH-77,474
AU565,253
AsPC-1,263
BB30-HNC,361
BHY,349
BICR 10,451
BICR 22,191
BICR 78,214
Becker,508
BxPC-3,164
C2BBe1,304
CAL-27,662
CAL-33,340
CAL-51,592
CAL-72,235
CAS-1,169
CHP-212,292
CL1-1,344
COLO 320HSR,512
COLO 678,36
COLO 680N,346
COLO 684,517
COLO 824,143
COLO205,284
COR-L23,411
Ca9-22,590
Caov-4,263
Capan-1,443
D-423MG,777
D-502MG,144
D-542MG,325
DAN-G,359
DBTRG-05MG,217
DK-MG,419
DOK,242
DOV13,502
DU145,464
Detroit 562,451
DiFi,367
EBC-1,250
EC-GI-10,465
EFO-21,390
EFO-27,314
EGI-1,199
EPLC-272H,264
ES2,766
ES4,129
ES5,537
ES8,245
ESO-26,643
ESO-51,336
ESS-1,572
EW-1,502
EW-16,498
EW-22,332
EW-7,639
Evsa-T,433
FLO-1,419
FaDu,513
GB-1,310
GI-1,750
GP5d,182
GaMG,728
HARA,511
HCC1143,325
HCC1187,320
HCC1395,223
HCC15,27
HCC1806,438
HCC1937,259
HCC1954,178
HCC2998,289
HCC38,394
HCC70,127
HCC78,209
HCE-4,303
HCT 116,267
HCT 15,594
HEC-1,361
HEY,398
HGC-27,776
HO-1-u-1,408
HOP-62,126
HPAF-II,296
HSC-3,440
HSC-39,552
HSC-4,263
HT-29v1.0,637
HT-29v1.1,730
HT-55,157
Hs 578T,212
Hs 683,364
HuP-T3,214
HuP-T4,194
IGROV-1,337
IM-9,374
IM95,102
IST-MEL1,249
JHOS-2,402
JHOS-4,319
JHU-011,295
JHU-022,303
JHU-029,589
JIMT-1,277
KATO III,159
KINGS-1,425
KLE,229
KM12,188
KMS-11,457
KNS-42,409
KNS-62,398
KON,584
KP-1N,526
KP-3,259
KP-4,510
KP-N-YN,445
KP-N-YS,469
KTCTL-26A,334
KYAE-1,153
KYSE-140,361
KYSE-150,351
KYSE-220,669
KYSE-270,159
KYSE-410,578
KYSE-450,351
KYSE-510,603
KYSE-520,235
KYSE-70,338
Kuramochi,348
L-363,380
LB1047-RCC,404
LB771-HNC,498
LC-1/sq,202
LCLC-97TM1,150
LK2,416
LN-229,420
LNCaP clone FGC,187
LNZTA3WT4,524
LOU-NH91,385
LP-1,454
LS1034,199
LS123,89
LS180,208
LS411N,282
LS513,206
LXF 289,533
LoVo,403
Lu-65,202
Lu-99A,563
MCAS,50
MCF-7,184
MDA-MB-231,337
MDA-MB-361,507
MDA-MB-415,242
MDA-MB-436,393
MDA-MB-453,268
MDA-MB-468,416
MDST8,206
MFE-280,170
MFE-296,447
MFM-223,681
MHH-ES-1,509
MIA PaCa-2,419
MKN28,531
MOG-G-UVW,482
NB69,480
NCI-H1155,431
NCI-H1299,310
NCI-H1355,331
NCI-H1568,363
NCI-H1650,276
NCI-H1755,547
NCI-H1869,447
NCI-H1915,242
NCI-H1944,371
NCI-H1975,652
NCI-H1993,493
NCI-H2023,447
NCI-H2087,443
NCI-H2170,414
NCI-H226,167
NCI-H23,679
NCI-H3118,498
NCI-H3122,371
NCI-H322M,248
NCI-H358,86
NCI-H520,740
NCI-H650,185
NCI-N87,411
NH-12,334
NMC-G1,78
NUGC-3,532
OACM5.1 C,340
OAW42,389
OC 314,522
OCI-AML2,492
OCI-AML3,528
OCI-Ly19,180
OCUB-M,351
OE21,654
OE33,267
OPM-2,423
OSC-19,276
OSC-20,373
OV-90,416
OVCA420,291
OVCAR-3,328
OVCAR-5,618
OVCAR-8,807
OVISE,531
OVK18,424
OVMIU,474
Onda 10,354
Onda 11,324
PC-14,447
PCI-04B,350
PCI-06A,230
PCI-15A,404
PCI-30,526
PCI-38,669
PE/CA-PJ15,587
PEO1,562
PEO4,283
PL4,409
PSN1,450
PaTu 8902,226
PaTu 8988t,476
Panc 02.03,373
Panc 03.27,350
Panc 04.03,522
Panc 08.13,258
Panc 10.05,174
RCM-1 [Human ESC],343
RERF-GC-1B,370
RERF-LC-Sq1,409
RKN,405
RKO,794
RL95-2,432
RMG-I,455
ROS-50,188
RPMI-8226,260
SAS,436
SCC-4,370
SCC-9,350
SCH,228
SF126,501
SF295,804
SF539,414
SJNB-10,125
SJNB-13,645
SJNB-17,374
SJNB-5,438
SJNB-6,435
SJNB-7,995
SJSA-1,717
SK-GT-4,334
SK-MEL-2,431
SK-MES-1,378
SK-MG-1,509
SK-N-AS,690
SK-N-BE(2)-M17,430
SK-N-DZ,305
SK-N-FI,605
SK-N-MC-IXC,924
SK-N-SH,182
SK-PN-DW,290
SKN-3,115
SNB-75,164
SNG-M,493
SNU-1,298
SNU-16,403
SNU-61,357
SNU-81,373
SNU-C1,283
SNU-C5,338
SU-DHL-10,459
SU-DHL-5,810
SU-DHL-8,605
SU.86.86,178
SUIT-2,422
SW1088,708
SW1573,331
SW1990,362
SW48,372
SW620,218
SW626,514
SW837,264
T-47D,239
T84,88
T98G,340
TC71,725
TE-10,320
TE-5,326
TE-9,272
TE4,387
TE8,635
TGW,534
TMK-1,376
TOV-112D,638
TOV-21G,205
TT,113
TYK-nu,595
U-251MG,374
U-87MG ATCC,268
UACC-893,323
UPCI-SCC-090,164
UWB1.289,357
VMRC-LCD,500
YH-13,31
hTERT-RPE1,332
