Pathway,Count
Acinar cells in Pancreas,91
Adrenocortical cells in Adrenal,12
AFP ALB positive cells in Placenta,251
AFP ALB positive cells in Spleen,251
Amacrine cells in Eye,9
Antigen presenting cells in Thymus,209
Astrocytes in Cerebellum,149
Astrocytes in Cerebrum,190
Astrocytes in Eye,85
Bipolar cells in Eye,23
Bronchiolar and alveolar epithelial cells in Lung,62
Cardiomyocytes in Heart,16
CCL19 CCL21 positive cells in Pancreas,99
Chromaffin cells in Adrenal,105
Chromaffin cells in Intestine,129
Ciliated epithelial cells in Lung,490
Ciliated epithelial cells in Stomach,321
CLC IL5RA positive cells in Heart,53
Corneal and conjunctival epithelial cells in Eye,325
CSH1 CSH2 positive cells in Adrenal,272
CSH1 CSH2 positive cells in Lung,247
Ductal cells in Pancreas,120
ELF3 AGBL2 positive cells in Heart,84
Endocardial cells in Heart,33
ENS glia in Intestine,56
ENS glia in Pancreas,87
ENS glia in Stomach,66
ENS neurons in Intestine,157
ENS neurons in Pancreas,188
ENS neurons in Stomach,118
Epicardial fat cells in Heart,109
Erythroblasts in Adrenal,106
Erythroblasts in Heart,331
Erythroblasts in Intestine,185
Erythroblasts in Kidney,200
Erythroblasts in Liver,74
Erythroblasts in Muscle,191
Erythroblasts in Pancreas,140
Erythroblasts in Spleen,69
Erythroblasts in Stomach,115
Excitatory neurons in Cerebrum,21
Extravillous trophoblasts in Placenta,70
Ganglion cells in Eye,51
Goblet cells in Stomach,16
Granule neurons in Cerebellum,41
Hematopoietic stem cells in Liver,33
Hepatoblasts in Liver,469
Horizontal cells in Eye,20
IGFBP1 DKK1 positive cells in Placenta,123
Inhibitory interneurons in Cerebellum,33
Inhibitory neurons in Cerebrum,43
Intestinal epithelial cells in Intestine,274
Islet endocrine cells in Pancreas,158
Lens fibre cells in Eye,111
Limbic system neurons in Cerebrum,25
Lymphatic endothelial cells in Heart,42
Lymphatic endothelial cells in Intestine,57
Lymphatic endothelial cells in Lung,63
Lymphatic endothelial cells in Muscle,122
Lymphatic endothelial cells in Pancreas,107
Lymphatic endothelial cells in Stomach,42
Lymphoid cells in Adrenal,177
Lymphoid cells in Heart,110
Lymphoid cells in Intestine,156
Lymphoid cells in Kidney,260
Lymphoid cells in Liver,124
Lymphoid cells in Lung,150
Lymphoid cells in Muscle,193
Lymphoid cells in Pancreas,152
