Pathway,Count
GSE151030 S273A Mm WAT Dn,125
GSE151030 S273A Mm WAT Up,85
GSE106295 DKO Mm Heart Up,174
GSE162037 Mrp4- Mm WAT Dn,163
GSE162037 Mrp4- Mm WAT Up,156
GSE149662 IRMOE Mm Muscle Dn,202
GSE101537 CBP-KO Mm Islet Dn,191
GSE149662 IRMOE Mm Muscle Up,180
GSE101537 CBP-KO Mm Islet Up,194
GSE101537 p300-KO Mm Islet Dn,197
GSE101537 p300-KO Mm Islet Up,165
GSE39752 STZ Mm Chip Liver Up,182
GSE106295 Mertk-KO Mm Heart Dn,145
GSE135391 Cold Young Mm BAT Up,208
GSE106295 Mertk-KO Mm Heart Up,182
GSE59141 PRLR Mm Chip Islet Dn,184
GSE151588 SRI-37330 Hs Islet Up,148
GSE152576 C2CD4B-KO Mm Islet Dn,128
GSE109285 PDX1 Mm 2CellTypes Up,171
GSE152576 C2CD4B-KO Mm Islet Up,163
GSE101537 Triallelic Mm Islet Dn,133
GSE137678 Stat5-Adipoq Mm BAT Dn,189
GSE84759 Ldb1-KO Mm BetaCells Dn,213
GSE84759 Isl1-KO Mm BetaCells Dn,202
GSE101537 Triallelic Mm Islet Up,191
GSE137678 Stat5-Adipoq Mm BAT Up,192
GSE84759 Ldb1-KO Mm BetaCells Up,214
GSE84759 Isl1-KO Mm BetaCells Up,188
GSE47504 Pdx-1 Mm Chip Islets Up,209
GSE86611 GFP-vs-ASF1B Hs Islet Dn,191
GSE86611 GFP-vs-ASF1B Hs Islet Up,157
GSE131320 IL-1OE 24Hr Hs Islet Up,211
GSE129369 adSMRT - Mm Adipose Dn,147
GSE106295 LxROE-OE-DKO Mm Heart Dn,169
GSE112213 LdlrKO Mm Macrophage Up,184
GSE129369 adSMRT- - Mm Adipose Up,152
GSE149468 Fasting-8Hrs Mm Liver Dn,182
GSE149468 Fasting-8Hrs Mm Brain Dn,169
GSE153222 FatDiet 4Wks Mm Islet Dn,130
GSE153222 FatDiet 8Wks Mm Liver Dn,179
GSE86949 mutGCK(Y214C) Mm Islet Dn,166
GSE153222 FatDiet 4Wks Mm Liver Dn,176
GSE149468 Fasting-2Hrs Mm Brain Dn,162
GSE149468 Fasting-2Hrs Mm Liver Dn,186
GSE140678 NPRA- - Mm Myocardium Dn,190
GSE153222 FatDiet 8Wks Mm Islet Dn,139
GSE138782 PGAM5-Knockout Mm BAT Dn,206
GSE149468 Fasting-8Hrs Mm Liver Up,181
GSE149468 Fasting-8Hrs Mm Brain Up,235
GSE153222 FatDiet 4Wks Mm Islet Up,159
GSE153222 FatDiet 8Wks Mm Liver Up,161
GSE86949 mutGCK(Y214C) Mm Islet Up,164
GSE153222 FatDiet 4Wks Mm Liver Up,170
GSE149468 Fasting-2Hrs Mm Brain Up,169
GSE149468 Fasting-2Hrs Mm Liver Up,194
GSE140678 NPRA- - Mm Myocardium Up,187
GSE153222 FatDiet 8Wks Mm Islet Up,191
GSE148997 PBS-vs-FGF19 Mm Liver Up,135
GSE138782 PGAM5-Knockout Mm BAT Up,170
GSE26978 RIP-Cre Mm Chip Islets Dn,122
GSE40439 PGC-1Tg Mm Chip Muscle Dn,220
GSE40439 Wt-Ctrl Mm Chip Muscle Dn,178
GSE26978 RIP-Cre Mm Chip Islets Up,123
GSE80780 Beta1-vs-Beta2 Hs Islet Dn,200
GSE157585 Young-vs-Old Hs Muscle Dn,186
GSE80780 Beta1-vs-Beta3 Hs Islet Dn,185
GSE80780 Beta2-vs-Beta3 Hs Islet Dn,195
GSE80780 Beta1-vs-Beta4 Hs Islet Dn,197
GSE80780 Beta3-vs-Beta4 Hs Islet Dn,196
GSE80780 Beta2-vs-Beta4 Hs Islet Dn,187
GSE80780 Beta1-vs-Beta2 Hs Islet Up,176
GSE157585 Young-vs-Old Hs Muscle Up,198
GSE80780 Beta1-vs-Beta3 Hs Islet Up,183
GSE106148 Type1Diabetes Hs Islet Up,177
GSE80780 Beta2-vs-Beta3 Hs Islet Up,208
GSE80780 Beta1-vs-Beta4 Hs Islet Up,186
GSE80780 Beta3-vs-Beta4 Hs Islet Up,199
GSE80780 Beta2-vs-Beta4 Hs Islet Up,188
GSE153222 FatDiet 24Wks Mm Liver Dn,189
GSE149468 Fasting-12Hrs Mm Liver Dn,214
GSE153222 FatDiet 12Wks Mm Liver Dn,193
GSE149468 Fasting-12Hrs Mm Brain Dn,169
GSE87354 Rpl13a-snoless Mm Islet Dn,146
GSE67991 Ffar3-Ffar3-KO Mm Islet Dn,125
GSE149468 Fasting-22Hrs Mm Liver Dn,175
GSE153222 FatDiet 16Wks Mm Islet Dn,156
GSE149468 Fasting-22Hrs Mm Brain Dn,152
GSE153222 FatDiet 20Wks Mm Islet Dn,142
GSE149468 Fasting-18Hrs Mm Brain Dn,174
GSE134846 mTUGUBX-Cter Mm Muscle Dn,183
GSE149468 Fasting-18Hrs Mm Liver Dn,191
GSE153222 FatDiet 12Wks Mm Islet Dn,130
GSE153222 FatDiet 24Wks Mm Islet Dn,151
GSE74113 Cre-T-vs-Cre+T Mm Islet Dn,193
GSE153222 FatDiet 20Wks Mm Liver Dn,189
GSE153222 FatDiet 16Wks Mm Liver Dn,191
GSE106295 cTMs-Depleted Mm Heart Dn,164
GSE101657 KetogenicDiet Mm Liver Dn,200
GSE153222 FatDiet 24Wks Mm Liver Up,154
GSE149468 Fasting-12Hrs Mm Liver Up,162
GSE153222 FatDiet 12Wks Mm Liver Up,189
GSE149468 Fasting-12Hrs Mm Brain Up,186
GSE87354 Rpl13a-snoless Mm Islet Up,180
GSE67991 Ffar3-Ffar3-KO Mm Islet Up,194
GSE149468 Fasting-22Hrs Mm Liver Up,167
GSE153222 FatDiet 16Wks Mm Islet Up,194
GSE149468 Fasting-22Hrs Mm Brain Up,176
GSE153222 FatDiet 20Wks Mm Islet Up,191
GSE149468 Fasting-18Hrs Mm Brain Up,217
GSE134846 mTUGUBX-Cter Mm Muscle Up,152
GSE149468 Fasting-18Hrs Mm Liver Up,161
GSE153222 FatDiet 12Wks Mm Islet Up,200
GSE153222 FatDiet 24Wks Mm Islet Up,202
GSE74113 Cre-T-vs-Cre+T Mm Islet Up,188
GSE153222 FatDiet 20Wks Mm Liver Up,151
GSE155064 LowBCAA-Diet Mm Muscle Up,142
GSE153222 FatDiet 16Wks Mm Liver Up,182
GSE106295 cTMs-Depleted Mm Heart Up,180
GSE101657 KetogenicDiet Mm Liver Up,157
GSE59143 Pregnant Mm Chip Islets Dn,202
GSE59143 Pregnant Mm Chip Islets Up,184
GSE110935 CysticFibrosis Hs Islet Dn,206
GSE138252 AtrialFib Hs LeftAtrium Dn,126
GSE137631 Lean-vs-Obese Hs Muscle Dn,222
GSE137631 Lean-vs-Obese Hs Muscle Up,206
GSE148997 PBS-vs-FGF19WT Mm Liver Dn,209
GSE149468 Fasting-2Hrs Mm Stomach Dn,175
GSE149468 Fasting-8Hrs Mm Stomach Dn,162
GSE148997 PBS-vs-FGF19WT Mm Liver Up,162
GSE149468 Fasting-2Hrs Mm Stomach Up,151
GSE101657 KetogenicDiet Mm Kidney Up,154
GSE149468 Fasting-8Hrs Mm Stomach Up,158
GSE40439 NCoR1-MKO Mm Chip Muscle Dn,176
GSE40439 NCoR1-MKO Mm Chip Muscle Up,179
GSE120290 Young-Old Mm Chip Liver Up,163
GSE149294 DOXY Hs GlutealAdipocytes Dn,147
