Pathway,Count
(+)-Pulegone-200 mg/kg in CMC-Rat-Kidney-1d-dn,317
(+)-Pulegone-200 mg/kg in CMC-Rat-Kidney-1d-up,283
(+)-Pulegone-200 mg/kg in CMC-Rat-Kidney-3d-dn,312
(+)-Pulegone-200 mg/kg in CMC-Rat-Kidney-3d-up,288
(+)-Pulegone-200 mg/kg in CMC-Rat-Kidney-5d-dn,314
(+)-Pulegone-200 mg/kg in CMC-Rat-Kidney-5d-up,286
(R)-Bicalutamide-1400 mg/kg in CMC-Rat-Kidney-1d-dn,276
(R)-Bicalutamide-1400 mg/kg in CMC-Rat-Kidney-1d-up,324
(R)-Bicalutamide-1400 mg/kg in CMC-Rat-Kidney-3d-dn,277
(R)-Bicalutamide-1400 mg/kg in CMC-Rat-Kidney-3d-up,323
(R)-Bicalutamide-1400 mg/kg in CMC-Rat-Kidney-5d-dn,249
(R)-Bicalutamide-1400 mg/kg in CMC-Rat-Kidney-5d-up,351
1-Naphthyl Isothiocyanate-15 mg/kg in Corn Oil-Rat-Liver-1d-dn,284
1-Naphthyl Isothiocyanate-15 mg/kg in Corn Oil-Rat-Liver-1d-up,316
1-Naphthyl Isothiocyanate-15 mg/kg in Corn Oil-Rat-Liver-5d-dn,289
1-Naphthyl Isothiocyanate-15 mg/kg in Corn Oil-Rat-Liver-5d-up,311
1-Naphthyl Isothiocyanate-166.67 uM in DMSO-Rat-Primary rat hepatocytes-0.67d-dn,304
1-Naphthyl Isothiocyanate-166.67 uM in DMSO-Rat-Primary rat hepatocytes-0.67d-up,296
1-Naphthyl Isothiocyanate-166.67 uM in DMSO-Rat-Primary rat hepatocytes-1d-dn,229
1-Naphthyl Isothiocyanate-166.67 uM in DMSO-Rat-Primary rat hepatocytes-1d-up,371
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-dn,302
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-0.25d-up,298
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn,294
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-1d-up,306
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn,293
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-3d-up,307
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Kidney-0.25d-dn,251
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Kidney-0.25d-up,349
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Kidney-1d-dn,288
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Kidney-1d-up,312
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Kidney-3d-dn,295
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Kidney-3d-up,305
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Liver-0.25d-dn,311
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Liver-0.25d-up,289
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Liver-1d-dn,317
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Liver-1d-up,283
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Liver-3d-dn,264
1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Liver-3d-up,336
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Bone marrow-1d-dn,272
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Bone marrow-1d-up,328
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Bone marrow-3d-dn,294
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Bone marrow-3d-up,306
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Kidney-1d-dn,268
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Kidney-1d-up,332
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Kidney-3d-dn,300
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Kidney-3d-up,300
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Liver-0.25d-dn,287
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Liver-0.25d-up,313
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Liver-1d-dn,327
1-Naphthyl Isothiocyanate-60 mg/kg in Corn Oil-Rat-Liver-1d-up,273
