Pathway,Count
tretinoin DB00755 mouse GSE31280 sample 2829,384
morphine 5288826 mouse GSE7762 sample 3489,213
"cytarabine, 2xEC50, 3 d 6253 human GSE6930 sample 3423",282
estradiol 5757 mouse GSE2889 sample 3608,169
curcumin 969516 human GSE10896 sample 3408,215
"cytarabine, EC50, 5 d 6253 human GSE6930 sample 3375",132
neocarzinostatin 5282473 human GSE1676 sample 3113,299
Etanercept DB00005 human GSE36177 sample 2596,377
Retinoic acid 444795 human GSE32161 sample 3237,359
celecoxib DB00482 human GSE11237 sample 3296,221
Bisphenol A 6623 human GSE17624 sample 2654,319
methamphetamine 10836 mouse GSE30305 sample 2619,244
vemurafenib DB08881 human GSE37441 sample 2564,242
angiotensin II 172198 mouse GSE29145 sample 3216,262
mepenzolate bromide CID 6461 mouse GSE50836 sample 2502,374
heroin 5462328 mouse GSE30305 sample 2613,157
SODIUM ARSENITE 443495 mouse GSE11056 sample 3356,315
CADMIUM 23973 human GSE9951 sample 3402,206
lubiprostone DB01046 mouse GSE18327 sample 2778,253
Ascorbyl-2-phosphate 54679073 human GSE11919 sample 3191,304
rosiglitazone 77999 mouse GSE11343 sample 2672,273
lung cancer DB00928 human GSE29077 sample 2534,256
formaldehyde 712 rat GSE7002 sample 3541,367
cisplatin DB00515 human GSE47856 sample 3153,289
Lipopolysaccharide 11970143 human GSE5504 sample 3484,418
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3520,286
genistein 5280961 mouse GSE2889 sample 3606,353
CADMIUM 23973 human GSE6907 sample 3530,205
methylprednisolone 6741 rat GSE490 sample 3670,270
resveratrol DB02709 human GSE25412 sample 3501,194
quercetin DB04216 mouse GSE38136 sample 3436,297
PRISTANE 15979 mouse GSE17297 sample 3228,261
formaldehyde 712 rat GSE7002 sample 3539,224
imatinib DB00619 human GSE1922 sample 2513,280
quercetin DB04216 mouse GSE4262 sample 3431,252
DETA NONOate 24890998 mouse GSE22087 sample 3212,600
cisplatin DB00515 human GSE47856 sample 3147,397
"Dmnq   (2,3-Dimethoxy-1,4-naphthoquinone) 3136 human GSE6907 sample 3527",321
vemurafenib DB08881 human GSE37441 sample 2562,253
Retinoic acid 444795 mouse GSE1588 sample 3631,253
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3384,287
vemurafenib DB08881 human GSE37441 sample 2563,237
Heregulin 56310950 human GSE22288 sample 3215,300
cisplatin DB00515 human GSE47856 sample 3150,431
EPZ004777 56962336 human GSE29828 sample 2650,224
Phosgene 6371 mouse GSE2565 sample 3614,364
Bisphenol A 6623 human GSE17624 sample 2656,212
ubiquinol 9962735 mouse GSE15129 sample 3461,251
Androstanolone 10635 human GSE7868 sample 3411,332
estradiol DB00783 human GSE4668 sample 2727,350
"2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3112",308
PLX4032 DB05238 human GSE24862 sample 2570,207
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3310,338
ARC (NSC 188491) 302576 human GSE13477 sample 2503,271
vitamin c DB00126 mouse GSE32994 sample 3508,356
MK-886 CID 3651377 human GSE3202 sample 3193,368
methylphenidate DB00422 human GSE52889 sample 3307,303
adenosine triphosphate 5957 human GSE30903 sample 3220,246
cisplatin DB00515 human GSE47856 sample 3155,312
phenytoin DB00252 rat GSE2880 sample 3291,207
coenzyme Q10 5281915 mouse GSE15129 sample 3464,302
SODIUM ARSENITE 443495 mouse GSE11056 sample 3361,280
imatinib DB00619 human GSE28698 sample 2524,225
quercetin DB04216 mouse GSE4262 sample 3432,254
hydrocortisone DB00741 human GSE7890 sample 2751,305
carboplatin DB00958 human GSE49577 sample 3176,279
1-[3-(Trifluoromethyl)phenyl]piperazine 4296 rat GSE68785 sample 3688,225
resveratrol DB02709 human GSE25412 sample 3500,250
Cigarette Smoke 57288536 human GSE8823 sample 2478,291
resveratrol DB02709 mouse GSE62194 sample 3467,182
