Pathway,Count
GM12878 H3K36me3,187
HEE H3K4me3,925
K562 H3K4me3,3460
SKNSHRA H3K27me3,504
HEPG2 H3K27me3,150
HCF H3K4me3,925
PANC1 H3K27ac,1999
NHDFNEO H3K4me3,823
HMEC H3K27me3,90
NT2D1 H3K9ac,1999
HELAS3 H3K36me3,70
HCT116 H3K4me3,676
AG04450 H3K4me3,925
K562 H3K27me3,1606
HUVEC H3K4me3,823
GM12878 H3K4me3,1447
K562B H3K27me3,1599
HL60 H3K4me3,686
HEPG2 H3K4me3,662
NHEK H3K4me3,724
NT2D1 H3K9me3,205
MCF7 H3K27me3,114
H7ES H3K36me3,510
HEK293 H3K4me3,1018
SKNSHRA H3K36me3,101
HRE H3K4me3,845
H7ES H3K4me3,2560
PBMC H3K9me3,20
H7ES H3K27me3,2752
K562B H3K9ac,1999
AG04450 H3K9me3,850
HFF H3K4me3,1999
HRE H3K27me3,927
HEPG2 H3K36me3,142
GM12866 H3K4me3,1618
BE2C H3K4me3,859
SKNSHRA H3K4me3,831
SAEC H3K4me3,856
GM06990 H3K36me3,207
NHEK H3K36me3,174
PBMC H3K4me1,1999
HMEC H3K4me3,1032
AG04450 H3K27me3,256
NT2D1 H3K36me3,730
HELAS3 H3K27me3,5
HMF H3K4me3,874
HUVEC H3K36me3,231
WI38 H3K4me3,1496
CACO2 H3K4me3,808
AG04449 H3K4me3,968
HFFMYC H3K4me3,843
MONOCD14RO1746 H3K27me3,735
HRE H3K36me3,43
SKMC H3K4me3,1030
AG09309 H3K4me3,1034
BJ H3K36me3,199
HELAS3 H3K4me3,587
NT2D1 H3K4me3,1999
HPAF H3K4me3,861
GM12864 H3K4me3,470
NB4 H3K4me3,972
AG09319 H3K4me3,963
PANC1 H3K4me1,833
MCF7 H3K36me3,292
GM06990 H3K27me3,205
GM12878 H3K27me3,398
MCF7 H3K9me3,35
LNCAP H3K4me3,920
PANC1 H3K4me3,2690
GM06990 H3K4me3,585
MONOCD14RO1746 H3K4me1,1999
GM12875 H3K4me3,1734
AOAF H3K4me3,827
HAC H3K4me3,922
U2OS H3K9me3,123
HPF H3K4me3,851
U2OS H3K36me3,635
HCT116 H3K4me1,341
HRPE H3K4me3,1017
NHEK H3K27me3,181
HVMF H3K4me3,838
NT2D1 H3K27me3,1847
K562 H3K4me1,1999
SAEC H3K36me3,205
JURKAT H3K4me3,678
HASP H3K4me3,875
K562B H3K4me1,1999
NHLF H3K4me3,953
HUVEC H3K27me3,587
RPTEC H3K4me3,958
MCF7 H3K27ac,1999
BJ H3K27me3,355
SAEC H3K27me3,407
HBMEC H3K4me3,1176
CACO2 H3K27me3,43
HCPE H3K4me3,1096
K562 H3K36me3,118
HCFAA H3K4me3,1576
HCM H3K4me3,1097
A549 H3K4me3,870
AG04450 H3K27ac,1410
SKNMC H3K4me3,769
CACO2 H3K36me3,65
BJ H3K4me3,818
PBMC H3K27me3,1659
WERIRB1 H3K4me3,880
CD20RO01778 H3K4me3,977
GM12865 H3K4me3,519
AG10803 H3K4me3,999
