Pathway,Count
POLR2AphosphoS2 MEL cell line mm9,2000
STAT1 HeLa-S3 hg19,945
MAX HepG2 hg19,3158
CREB1 HepG2 hg19,1423
CTCF fibroblast of upper leg skin hg19,1665
TRIM28 U2OS hg19,2000
JUND MEL cell line mm9,257
EZH2 keratinocyte hg19,2000
MYOD1 C2C12 mm9,1026
CEBPB HeLa-S3 hg19,2000
CREB1 H1-hESC hg19,1863
GABPA K562 hg19,1494
CREB1 A549 hg19,1103
POLR2A GM18505 hg19,2000
SRF MCF-7 hg19,1640
KDM5A H1-hESC hg19,2000
SIX5 GM12878 hg19,1334
MYOG C2C12 mm9,302
BHLHE40 HepG2 hg19,2249
GATA1 G1E-ER4 mm9,3942
TAF7 K562 hg19,793
GATA2 G1E mm9,424
RFX5 IMR-90 hg19,478
RFX5 GM12878 hg19,2000
CTCF keratinocyte hg19,3361
FLI1 megakaryocyte mm9,2119
HDAC6 H1-hESC hg19,2000
MAX H1-hESC hg19,3145
E2F6 K562 hg19,2645
POLR2AphosphoS5 SK-N-MC hg19,1154
TAL1 G1E-ER4 mm9,810
eGFP-NR4A1 K562 hg19,1199
FOXA1 HepG2 hg19,2272
STAT1 K562 hg19,345
POLR2AphosphoS5 Panc1 hg19,1656
ELF1 SK-N-SH hg19,2030
CTCF astrocyte hg19,2000
CTCF T47D hg19,1219
RELA GM12892 hg19,1302
IRF3 GM12878 hg19,2000
POLR2AphosphoS2 GM12878 hg19,2000
SUZ12 H1-hESC hg19,2827
BRCA1 HeLa-S3 hg19,2000
TCF7L2 HCT116 hg19,2000
GABPA MCF-7 hg19,2048
STAT2 K562 hg19,271
JUN K562 hg19,4156
YY1 ECC-1 hg19,1791
MAZ GM12878 hg19,2000
POLR2AphosphoS5 G1E-ER4 mm9,1944
ZEB1 GM12878 hg19,864
MYC MEL cell line mm9,2000
ATF1 K562 hg19,2000
NRF1 K562 hg19,2000
EP300 heart mm9,2000
CTCF foreskin fibroblast hg19,2745
HDAC2 H1-hESC hg19,2723
RFX5 K562 hg19,2000
RCOR1 K562 hg19,3501
REST HCT116 hg19,410
USF2 MEL cell line mm9,2106
STAT3 HeLa-S3 hg19,1974
CREB1 ECC-1 hg19,1739
EBF1 GM12878 hg19,2924
REST U-87 MG hg19,458
CREB1 K562 hg19,1865
YY1 HCT116 hg19,1076
SMC3 MEL cell line mm9,2000
CTCF GM12867 hg19,1619
CTCF HepG2 hg19,3081
ZBTB33 SK-N-SH hg19,1234
UBTF K562 hg19,3293
CTCF A549 hg19,5283
TCF12 H1-hESC hg19,1158
RAD21 SK-N-SH hg19,3228
CTCF fibroblast of lung hg19,3799
NFATC1 GM12878 hg19,1532
GATA2 SH-SY5Y hg19,2000
POLR2AphosphoS2 A549 hg19,2000
POU2F2 GM12891 hg19,1684
CHD1 H1-hESC hg19,3635
TAL1 erythroblast mm9,885
JUND HeLa-S3 hg19,1492
FOSL1 HCT116 hg19,360
TAF1 A549 hg19,512
MYBL2 HepG2 hg19,1595
POLR2A GM19193 hg19,2000
POLR2A MCF-7 hg19,4137
EP300 ECC-1 hg19,635
CTCF myotube hg19,2000
GATA3 MCF-7 hg19,2095
RUNX3 GM12878 hg19,1674
MYC K562 hg19,6800
ATF3 A549 hg19,1991
NFYB GM12878 hg19,2000
FOSL1 C2C12 mm9,293
POLR2A cortical plate mm9,2000
MYC endothelial cell of umbilical vein hg19,2000
MXI1 MEL cell line mm9,2000
MAFK HepG2 hg19,3120
ARID3A K562 hg19,2000
CTCF GM12873 hg19,2055
ETS1 MEL cell line mm9,1902
SUZ12 NT2-D1 hg19,563
ELK4 HEK293 hg19,2000
MYC H1-hESC hg19,2971
MYC MCF-7 hg19,5003
CTCF kidney hg19,2000
EZH2 astrocyte hg19,2000
TAL1 MEL cell line mm9,2290
ELK1 GM12878 hg19,2000
NR3C1 HepG2 hg19,211
MAFK H1-hESC hg19,2000
REST Panc1 hg19,688
WHSC1 K562 hg19,2000
HSF1 HepG2 hg19,249
CTCF BE2C hg19,2174
POLR2A small intestine mm9,2000
TEAD4 H1-hESC hg19,1752
EZH2 mammary epithelial cell hg19,2000
CBX3 K562 hg19,2682
CTCF lung hg19,2000
REST K562 hg19,2834
FOS endothelial cell of umbilical vein hg19,2000
CTCF GM12801 hg19,2000
PBX3 GM12878 hg19,1334
CBX3 HCT116 hg19,209
NFYA HeLa-S3 hg19,2000
POLR2AphosphoS2 HepG2 hg19,2000
TRIM28 HEK293 hg19,2000
EZH2 myotube hg19,2000
EP300 osteoblast hg19,2000
REST HL-60 hg19,118
MXI1 CH12.LX mm9,2000
RAD21 HeLa-S3 hg19,2000
POLR2A GM12878 hg19,5311
TEAD4 MCF-7 hg19,150
ATF3 GM12878 hg19,1394
SP2 HepG2 hg19,1507
