Pathway,Count
"+E2, CtS +E2, si10 -E2, si10",21
+ly regulated SILAC Cradiomyoctes,45
05 miR-TF genage,84
06 miR-TF agemap,86
1.5-FC Up,590
10 percent of the longest transcripts of the human genome,1812
100 genes for Ex 11,100
100 upregulated genes in Trophectoderm (GSE66507),100
1000 murine c10,874
100positive,100
11 GEO datasets were analyzed using geo2r to arrive at the list of genes downregulated during tuberculosis,112
11Q Del,60
123123,235
172 wspólne dla obu czasów,172
190830-JDY,36
1v4 super overlap set,1541
2 day liver damage,940
"20 genes associated with hereditary insensitivity to pain, from Table 1 of Lotsch et al. (2017)",20
20 insertions non-ref,20
200 downregulated genes in chorionic villus compared with Decidua (ERX3472341),200
200 downregulated genes in TE compaared with EPI (GSE66507),200
200 most highly expressed genes in HTR8/SVneo (GSE85995),200
200 upregulated genes in chorionic villus (ERX3472341),200
200 upregulated genes in trophoblast (GSE73017),200
"2016 zhang, dataset: 37rpe",151
21345678,300
22rv down,96
24hr-all genes,132
24sustained,2209
26 Nodes from 205 Hit gens,25
"282+/282-, dataset: 70uej",2566
"282+/282-, dataset: 70v5q",1810
2M-SAreWA DGE,151
3 CPG Filter 0.05 threshold,531
34 genes associated with Chronic Pain from Table 3 of Ultsch et al. (2016),34
361 genes associated with Pain from the Human Pain Genes Database (current 4/12/2020),361
410 genes associated with Pain from Table 3 of Lotsch et al. (2013),410
42pos UP,29
430 genes associated with Pain from the Pain Genes Database (current 4/12/2020),430
431 pain-related genes from the Pain Genes Database (current 4/15/2020),431
48 genes are selected from gene expression experiment in developing mouse brain,48
4cell Nsun7,1500
5 vs 4 up,716
500 most highly expressed genes in HTR8/SVneo (GSE85995),500
535 genes associated with Pain from Table 1 of Ultsch et al. (2016),535
54DNs 1 YapTaz,51
"557gene litte list, dataset: 4be28fe7f13d0701f879d5ede900e06b",29
"557gene litte list, dataset: c31f4fef2910f4f501a50c2946dd22d9",11
5FAD m6A sequecing,168
5FAD TG mice,34
5XFAD,181
61 Novel Snps,317
61 Seed genes related to Rabies data integration project,61
75 genes in CML,75
756hb,11
77 related gene to TDO2,77
8A-WAvsWW upChart-3,380
922 genes in UP Ccl4,908
>2SD up or down untreated vs palbo treated MCF7 and T47D,439
a list of alternative splice,66
A list of genes with exon usage changes in the nacc,45
a list of network drovn with MiMI,1673
"A2B, filtermutation",164
A431 GEN higher compared to A431,31
abl dawn,358
about DCM,215
abundance ratio ctrl 1-8 vs pat 9-13,26
AC220vssh86,251
acai dawn,305
Achilles Genes with negative correlation (< -0.3) between CRISPR data and self-mRNA,135
Achilles Genes with positive correlation (> 0.3) between CRISPR data and self-mRNA,111
Acinar control comparison analysis RNA-seq data,200
acute intermittent porphyria homozygous dominant,41
AD candidates,21
AD genes NHGRI-EBI GWAS Catalog,277
ADAD vs control exitarory cells upregulater,32
"ADAD vs Controls in excitatory clusters, downregulation",94
adb 77down,77
ADHD genelist,1373
Adiponectin receptor,20
Adit primary mscs padj001 lfc3,744
admsc genes,12
Adrenal,165
Adsomaticgene,460
AF.CN.AML vs BAALCKO,592
Ag 24hrs post,156
Agr2 data,55
ahoy dawn,225
AI-10-49-DOWN SARS-COV-2-S4-3-DOWN,71
AIS analysis,54
Aldh1A3,186
"aldh1a3 data, dataset: 2841315ac72b5c017e8d6d9c9890d34a",121
"aldh1a3 data, dataset: 88872891fd9e7189eae6a2b1887d2fc7",16
"aldh1a3 data, dataset: 9865f9bcefa4b33388afd2746dbfbde3",171
all <2fold gene keratinocyte,150
all down regulated gap probes,1358
All Down Regulated Genes In Patients With Immunopathological Pocess VS Samples Without Immunopathological Pocess Including Healthy Controls,105
All Gap probes upregulated,1014
all pkd sig.,1514
All Up Regulated Genes In Patients With Immunopathological Pocess VS Samples Without Immunopathological Pocess Including Healthy Controls,246
ALL-310 genes,301
allSilvsdia-diacommononly,209
allSilvsDia-sil only,236
Als Gene,1000
ALS GR100 genes,3091
Als- /Normal Astrocyte,187
ALX1 target genes,28
alzhimer genes,92
Am Not Sure Ture Or Not,27
Amiodarone-Down Sars-Cov-2-S2-1-Up,50
Amiodarone-Down Sars-Cov-2-S4-2-Up,35
Amiodarone-Down Sars-Cov-2-S4-6-Up,66
AMIODARONE-DOWN SARS-COV-2-UP-Cluster-2,21
AML list,271
AML unique,1159
AML versus CD34+ BLAST GENES,457
An ko mice,170
Analyse of Taniania Sickle cell patients,26
Analysis DE lncrna in thymoma,1324
analysis of hub proteins,20
Analysis of Sickle cell Anemia network,527
any people who have subdermal implants,85
AP ISG CIL,202
AP ISGHI CILSPECIFIC,101
ap overexpression vs gfp control,341
AP resistance 283 significant gene list,282
APC down,182
APILIMOD-UP SARS-COV-2-S3-5-UP,41
APILIMOD-UP SARS-COV-2-S3-6-UP,44
APILIMOD-UP SARS-COV-2-S6-1-UP,37
AR ERM LD,10
arch dawn,297
ARID2 KD WM1552c genes down,334
ARNT knockdown using shRNA in SW480 human colon cancer cells. Genelist for upregulated genes.,2160
ARP1 WT vs E6 UTX binding,3990
Asd 102 Satterstrom Cell,102
AsympNC,223
ATACseq melanoma cell line timepoints,125
ATP generation from glucose (hypoxic conditions) - glycolysis - iHsa,26
atulanand@live.in,100
AUD GWAS log abs val p<10-6 non-intergen SNPs,89
Auranofin +atorva log2fold more 0.5 differential expresses genes,959
autism confidence gene from SFARI,84
Autism spectrum disorder,31
autism spectura disorder,93
"AUTS2-binding genes (within 1kb), consensus taken from 2 ChIP-seq analyses.",440
Average Down,983
Average Upregulated in Dormancy,1146
avid dawn,292
az mlm p <.01+ WES,710
B affects D in blastocyst,265
b16 down,66
B16 shLMNA RNASeq,300
B1top2000genes,2000
B2top2000genes,2000
Background gene list of Psychosis differential expression study.,4194
Bacteria fraction,812
Bacteria Translocation,544
"Bacteria translocation, dataset: 4b799ecdbaaed2faed2af91e3d5ab721",1741
"Bacteria translocation, dataset: 93ebcbb1a8246645d5c787034c6858ff",1021
BALB/CJ mice were exposed to 1500ppm ammonia and lung transcripts measured after 6 h,100
BAP1 downregulated,410
Basal 2 control Vs COPD,50
basal 2 COPD Vs control,50
basal cells 1 control Vs COPD,50
basal cells 1 COPD Vs control,50
Baseline changes,254
BCsamples,246
be ring1 up,991
Biogrid human PPI interaction cluterized using MCODE algorithm plugin on Cytoscape -- Cluster 1,334
BIOID mass spec resuts of M4K4 interactors,44
