Pathway,Count
tRNA modification (GO:0006400),38
minus-end-directed organelle transport along microtubule (GO:0072385),8
termination of mitochondrial transcription (GO:0006393),15
purine nucleotide interconversion (GO:0015950),32
regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway (GO:1903381),16
retinal metabolic process (GO:0042574),63
protein-tetrapyrrole linkage (GO:0017006),84
negative regulation of type III interferon production (GO:0034345),7
regulation of translation in response to stress (GO:0043555),22
mRNA processing (GO:0006397),107
regulation of hemocyte proliferation (GO:0035206),121
heart rudiment development (GO:0003313),11
receptor-mediated endocytosis involved in cholesterol transport (GO:0090118),143
regulation of actin cytoskeleton reorganization (GO:2000249),49
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525),44
synaptic vesicle endocytosis (GO:0048488),32
action potential initiation (GO:0099610),11
"nucleotide-excision repair, DNA gap filling (GO:0006297)",71
nucleoside transmembrane transport (GO:1901642),143
negative regulation of SUMO transferase activity (GO:1903183),7
lung morphogenesis (GO:0060425),24
t-SNARE clustering (GO:1990656),11
positive regulation of epithelial to mesenchymal transition (GO:0010718),69
conversion of discoidal high-density lipoprotein particle to spherical high-density lipoprotein particle (GO:0034376),17
cell-cell adhesion involved in cerebral cortex tangential migration using cell-cell interactions (GO:0021832),8
regulation of dosage compensation by inactivation of X chromosome (GO:1900095),75
positive regulation of monocyte differentiation (GO:0045657),10
maintenance of imaginal histoblast diploidy (GO:0007489),14
platelet-derived growth factor receptor-alpha signaling pathway (GO:0035790),13
positive regulation of complement activation (GO:0045917),120
regulation of meiotic cell cycle (GO:0051445),64
regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter (GO:0035947),7
"phototransduction, UV (GO:0007604)",40
regulation of stem cell population maintenance (GO:2000036),6
negative regulation of mammary gland epithelial cell proliferation (GO:0033600),34
negative regulation of anterograde axonal transport of mitochondrion (GO:0061882),6
membrane depolarization during AV node cell action potential (GO:0086045),16
Schwann cell differentiation (GO:0014037),22
activation of cysteine-type endopeptidase activity (GO:0097202),21
positive regulation of heart rate by norepinephrine (GO:0003066),12
