Pathway,Count
'de novo' posttranslational protein folding (GO:0051084),31
2-oxoglutarate metabolic process (GO:0006103),14
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process (GO:0050428),6
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),25
3'-UTR-mediated mRNA destabilization (GO:0061158),16
3'-UTR-mediated mRNA stabilization (GO:0070935),18
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015),5
5-phosphoribose 1-diphosphate metabolic process (GO:0046391),5
5S class rRNA transcription by RNA polymerase III (GO:0042791),6
7-methylguanosine mRNA capping (GO:0006370),32
7-methylguanosine RNA capping (GO:0009452),32
acetyl-CoA biosynthetic process (GO:0006085),10
acetyl-CoA biosynthetic process from pyruvate (GO:0006086),6
acetyl-CoA metabolic process (GO:0006084),15
acetylcholine receptor signaling pathway (GO:0095500),21
acid secretion (GO:0046717),9
acidic amino acid transport (GO:0015800),18
actin crosslink formation (GO:0051764),12
actin cytoskeleton reorganization (GO:0031532),63
actin filament bundle assembly (GO:0051017),33
actin filament bundle organization (GO:0061572),33
actin filament capping (GO:0051693),19
actin filament depolymerization (GO:0030042),11
actin filament network formation (GO:0051639),11
actin filament organization (GO:0007015),152
actin filament polymerization (GO:0030041),29
actin filament reorganization (GO:0090527),8
actin filament-based transport (GO:0099515),21
actin nucleation (GO:0045010),21
actin polymerization or depolymerization (GO:0008154),50
actin-mediated cell contraction (GO:0070252),9
actin-myosin filament sliding (GO:0033275),38
action potential (GO:0001508),45
activation of adenylate cyclase activity (GO:0007190),36
activation of cysteine-type endopeptidase activity (GO:0097202),14
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919),81
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635),6
activation of GTPase activity (GO:0090630),105
activation of Janus kinase activity (GO:0042976),6
activation of NF-kappaB-inducing kinase activity (GO:0007250),16
activation of phospholipase C activity (GO:0007202),32
activation of protein kinase A activity (GO:0034199),17
activation of protein kinase activity (GO:0032147),114
activation of protein kinase B activity (GO:0032148),31
activation of protein kinase C activity (GO:1990051),5
activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171),6
activin receptor signaling pathway (GO:0032924),19
actomyosin structure organization (GO:0031032),76
acute inflammatory response (GO:0002526),27
acute-phase response (GO:0006953),15
acyl-CoA biosynthetic process (GO:0071616),17
acyl-CoA metabolic process (GO:0006637),37
acylglycerol acyl-chain remodeling (GO:0036155),7
acylglycerol biosynthetic process (GO:0046463),23
acylglycerol catabolic process (GO:0046464),35
acylglycerol homeostasis (GO:0055090),25
acylglycerol metabolic process (GO:0006639),41
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460),20
adenine nucleotide transport (GO:0051503),18
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process (GO:1901911),5
adenosine 5'-(hexahydrogen pentaphosphate) metabolic process (GO:1901910),5
adenosine metabolic process (GO:0046085),9
adenosine to inosine editing (GO:0006382),8
adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880),17
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191),7
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189),118
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197),8
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193),60
adenylate cyclase-inhibiting serotonin receptor signaling pathway (GO:0007198),7
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188),165
adherens junction assembly (GO:0034333),10
adherens junction maintenance (GO:0034334),6
adherens junction organization (GO:0034332),49
adiponectin-activated signaling pathway (GO:0033211),6
adipose tissue development (GO:0060612),12
ADP transport (GO:0015866),5
adrenal gland development (GO:0030325),10
adrenergic receptor signaling pathway (GO:0071875),20
adult heart development (GO:0007512),9
aerobic electron transport chain (GO:0019646),70
aerobic respiration (GO:0009060),21
aflatoxin metabolic process (GO:0046222),15
aggrephagy (GO:0035973),29
aggresome assembly (GO:0070842),5
alanine transport (GO:0032328),10
alcohol catabolic process (GO:0046164),11
aldehyde biosynthetic process (GO:0046184),7
aldehyde catabolic process (GO:0046185),7
alditol metabolic process (GO:0019400),6
alditol phosphate metabolic process (GO:0052646),5
alkaloid metabolic process (GO:0009820),5
alpha-amino acid biosynthetic process (GO:1901607),9
alpha-amino acid catabolic process (GO:1901606),30
alpha-amino acid metabolic process (GO:1901605),46
alpha-beta T cell activation (GO:0046631),8
alpha-beta T cell differentiation (GO:0046632),5
alpha-linolenic acid metabolic process (GO:0036109),13
"alternative mRNA splicing, via spliceosome (GO:0000380)",18
amacrine cell differentiation (GO:0035881),5
ameboidal-type cell migration (GO:0001667),52
amide biosynthetic process (GO:0043604),52
amide transport (GO:0042886),28
amine metabolic process (GO:0009308),8
amine transport (GO:0015837),5
amino acid import (GO:0043090),22
amino acid import across plasma membrane (GO:0089718),24
amino acid transmembrane transport (GO:0003333),45
amino acid transport (GO:0006865),50
amino sugar biosynthetic process (GO:0046349),12
amino sugar catabolic process (GO:0046348),7
