Pathway,Count
phospholipase A2 activity (GO:0004623),52
CCR9 chemokine receptor binding (GO:0031734),21
D-glucose transmembrane transporter activity (GO:0055056),14
8-oxo-GDP phosphatase activity (GO:0044716),8
methylene-fatty-acyl-phospholipid synthase activity (GO:0004481),13
voltage-gated proton channel activity (GO:0030171),6
MAP kinase activity involved in innate immune response (GO:0038075),11
"3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)",14
acyl-CoA hydrolase activity (GO:0047617),15
CCR1 chemokine receptor binding (GO:0031726),26
phospholipase D inhibitor activity (GO:0060961),6
chloride transmembrane transporter activity (GO:0015108),7
norepinephrine transmembrane transporter activity (GO:0005333),7
neutral L-amino acid secondary active transmembrane transporter activity (GO:0005294),13
glycoprotein 3-alpha-L-fucosyltransferase activity (GO:0018392),8
cGMP binding (GO:0030553),8
protein-N(PI)-phosphohistidine-sorbose phosphotransferase system transporter activity (GO:0022871),13
methyl-CpG binding (GO:0008327),212
C-X3-C chemokine receptor activity (GO:0016495),15
mevalonate transmembrane transporter activity (GO:0015130),10
ATP transmembrane transporter activity (GO:0005347),27
arylsulfate sulfotransferase activity (GO:0047686),22
5'-flap endonuclease activity (GO:0017108),7
"3,9-dihydroxypterocarpan 6a-monooxygenase activity (GO:0047082)",8
deoxyuridine 1'-dioxygenase activity (GO:0047079),14
toluene 4-monooxygenase activity (GO:0018638),8
mitochondrial light strand promoter sense binding (GO:0070363),205
"translation factor activity, RNA binding (GO:0008135)",1210
protease binding (GO:0002020),78
ferrous iron binding (GO:0008198),50
pantothenate transmembrane transporter activity (GO:0015233),10
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)",8
type I interferon receptor binding (GO:0005132),18
G-quadruplex DNA binding (GO:0051880),486
chlorophenol 4-monooxygenase activity (GO:0018642),8
interleukin-10 receptor binding (GO:0005141),11
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153),54
"beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity (GO:0008457)",12
PDZ domain binding (GO:0030165),62
estradiol 17-beta-dehydrogenase activity (GO:0004303),6
questin monooxygenase activity (GO:0050246),8
cholecystokinin receptor activity (GO:0004951),16
geraniol 10-hydroxylase activity (GO:0102811),8
protein phosphatase 2B binding (GO:0030346),56
theobromine:S-adenosyl-L-methionine 1-N-methyltransferase activity (GO:0102740),14
petromyzonol sulfotransferase activity (GO:0033873),22
phosphatidate-sterol O-acyltransferase activity (GO:0080096),6
"alpha-1,2-mannosyltransferase activity (GO:0000026)",15
"selenide, water dikinase activity (GO:0004756)",61
"sequence-specific DNA binding, bending (GO:0044374)",18
"exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)",6
tubulin-glutamic acid ligase activity (GO:0070740),7
2-hydroxyisoflavanone synthase activity (GO:0033770),8
voltage-gated potassium channel activity involved in Purkinje myocyte action potential repolarization (GO:0086088),7
acetyl-CoA:L-glutamate N-acetyltransferase activity (GO:0004042),7
clathrin-uncoating ATPase activity (GO:1990833),11
8-demethylnovobiocic acid C8-methyltransferase activity (GO:0102526),14
SUMO binding (GO:0032183),10
chondroitin sulfotransferase activity (GO:0034481),22
"all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity (GO:0052885)",18
MAP kinase tyrosine phosphatase activity (GO:0033550),55
tumor necrosis factor-activated receptor activity (GO:0005031),24
O-acetyltransferase activity (GO:0016413),16
beta-mannosylphosphodecaprenol-mannooligosaccharide 6-mannosyltransferase activity (GO:0047252),15
calcium-transporting ATPase activity (GO:0005388),17
nitric-oxide synthase binding (GO:0050998),7
carbon disulfide oxygenase activity (GO:0018643),8
U12 snRNA binding (GO:0030626),7
O-demethylpuromycin O-methyltransferase activity (GO:0030739),13
CXCR chemokine receptor binding (GO:0045236),16
interleukin-12 receptor binding (GO:0005143),15
sodium:inorganic phosphate symporter activity (GO:0015319),10
proline:sodium symporter activity (GO:0005298),8
costunolide 3beta-hydroxylase activity (GO:0102628),8
lysine-acetylated histone binding (GO:0070577),18
opioid receptor activity (GO:0004985),19
receptor signaling protein tyrosine kinase activator activity (GO:0030298),10
extracellular-glutamate-gated ion channel activity (GO:0005234),6
actin monomer binding (GO:0003785),141
histone-lysine N-methyltransferase activity (GO:0018024),52
histidine:histamine antiporter activity (GO:0070907),49
protein kinase binding (GO:0019901),352
disordered domain specific binding (GO:0097718),20
mismatched DNA binding (GO:0030983),66
complement component iC3b receptor activity (GO:0001858),8
interleukin-16 receptor activity (GO:0042012),15
protein-arginine omega-N asymmetric methyltransferase activity (GO:0035242),11
branched-chain dodecylbenzene sulfonate monooxygenase activity (GO:0034802),8
carbohydrate-transporting ATPase activity (GO:0043211),32
cadmium ion binding (GO:0046870),6
magnesium ion transmembrane transporter activity (GO:0015095),11
1-deoxy-11-oxopentalenate oxygenase activity (GO:0102285),8
columbamine O-methyltransferase activity (GO:0030778),13
motor activity (GO:0003774),25
fusarinine-C ornithinesterase activity (GO:0047908),17
7-deoxyloganin 7-hydroxylase activity (GO:0050595),8
tyrosyl-RNA phosphodiesterase activity (GO:0036317),6
palmitoyltransferase activity (GO:0016409),18
beta-tubulin binding (GO:0048487),63
riboflavin phosphotransferase activity (GO:0050257),62
"1,8-cineole 2-exo-monooxygenase activity (GO:0102320)",8
CCR11 chemokine receptor binding (GO:0031736),21
"apigenin-7,4'-dimethyl ether 6-hydroxylase activity (GO:0102534)",8
ribonuclease R activity (GO:0008997),16
gibberellin A34 carboxyl methyltransferase activity (GO:0102122),14
shikimate:proton symporter activity (GO:0015533),11
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity (GO:0004808),16
ethanolamine kinase activity (GO:0004305),66
daphnetin-8-O-methyltransferase activity (GO:0102358),14
serine-type exopeptidase activity (GO:0070008),55
MAP kinase activity involved in cell wall organization or biogenesis (GO:0038067),11
(+)-abscisic acid 8'-hydroxylase activity (GO:0010295),8
histone demethylase activity (H3-dimethyl-K4 specific) (GO:0034648),8
histone methyltransferase activity (H3-K27 specific) (GO:0046976),36
sequence-specific double-stranded DNA binding (GO:1990837),253
[glycogen-synthase-D] phosphatase activity (GO:0050407),30
stem cell factor receptor binding (GO:0005173),9
2-keto-3-deoxygluconate:proton symporter activity (GO:0015649),8
kynurenine 3-monooxygenase activity (GO:0004502),9
"transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly (GO:0001075)",20
cyclin-dependent protein serine/threonine kinase activity (GO:0004693),314
