Pathway,Count
"1,4-alpha-oligoglucan phosphorylase activity (GO:0004645)",5
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841),13
1-acylglycerophosphocholine O-acyltransferase activity (GO:0047184),6
1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847),7
1-phosphatidylinositol binding (GO:0005545),15
1-phosphatidylinositol-3-kinase activity (GO:0016303),10
1-phosphatidylinositol-3-kinase regulator activity (GO:0046935),16
1-phosphatidylinositol-4-phosphate 3-kinase activity (GO:0035005),7
1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308),6
11-cis retinal binding (GO:0005502),6
"2 iron, 2 sulfur cluster binding (GO:0051537)",12
2-oxoglutarate-dependent dioxygenase activity (GO:0016706),33
"3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)",12
"3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)",7
"3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)",21
3'-5' DNA helicase activity (GO:0043138),16
3'-5' exonuclease activity (GO:0008408),48
3'-5'-exodeoxyribonuclease activity (GO:0008296),11
3'-5'-exoribonuclease activity (GO:0000175),34
3-chloroallyl aldehyde dehydrogenase activity (GO:0004028),5
3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857),7
"4 iron, 4 sulfur cluster binding (GO:0051539)",14
4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity (GO:0017083),6
5'-3' DNA helicase activity (GO:0043139),7
5'-3' exodeoxyribonuclease activity (GO:0035312),8
5'-3' exonuclease activity (GO:0008409),14
5'-3' RNA polymerase activity (GO:0034062),29
5'-deoxyribose-5-phosphate lyase activity (GO:0051575),5
5'-flap endonuclease activity (GO:0017108),8
5'-nucleotidase activity (GO:0008253),14
5S rRNA binding (GO:0008097),9
7S RNA binding (GO:0008312),5
7SK snRNA binding (GO:0097322),8
[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity (GO:0008467),7
ABC-type glutathione S-conjugate transporter activity (GO:0015431),7
ABC-type xenobiotic transporter activity (GO:0008559),11
acetyl-CoA C-acyltransferase activity (GO:0003988),6
acetylation-dependent protein binding (GO:0140033),21
acetylcholine receptor activity (GO:0015464),22
acetylcholine receptor binding (GO:0033130),8
acetylcholine-gated cation-selective channel activity (GO:0022848),11
acetylgalactosaminyltransferase activity (GO:0008376),27
acetylglucosaminyltransferase activity (GO:0008375),48
acetyltransferase activity (GO:0016407),32
acid phosphatase activity (GO:0003993),6
acid-amino acid ligase activity (GO:0016881),7
acid-thiol ligase activity (GO:0016878),13
acidic amino acid transmembrane transporter activity (GO:0015172),15
acrosin binding (GO:0032190),5
actin binding (GO:0003779),177
actin monomer binding (GO:0003785),25
actinin binding (GO:0042805),21
active ion transmembrane transporter activity (GO:0022853),42
"activin receptor activity, type I (GO:0016361)",5
activin receptor binding (GO:0070697),10
activin-activated receptor activity (GO:0017002),9
acyl carnitine transmembrane transporter activity (GO:0015227),5
acyl-CoA dehydrogenase activity (GO:0003995),9
acyl-CoA hydrolase activity (GO:0047617),18
acyl-CoA oxidase activity (GO:0003997),7
acylglycerol lipase activity (GO:0047372),13
acylglycerol O-acyltransferase activity (GO:0016411),20
"acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)",76
adenine nucleotide transmembrane transporter activity (GO:0000295),12
adenosine deaminase activity (GO:0004000),10
adenyl nucleotide binding (GO:0030554),11
adenyl ribonucleotide binding (GO:0032559),306
adenyl-nucleotide exchange factor activity (GO:0000774),11
adenylate cyclase binding (GO:0008179),10
adenylate cyclase inhibiting G protein-coupled glutamate receptor activity (GO:0001640),9
adenylate kinase activity (GO:0004017),8
adenylyltransferase activity (GO:0070566),22
ADP binding (GO:0043531),27
ADP transmembrane transporter activity (GO:0015217),7
ADP-ribose diphosphatase activity (GO:0047631),5
adrenergic receptor binding (GO:0031690),17
alanine transmembrane transporter activity (GO:0022858),12
alcohol dehydrogenase (NAD+) activity (GO:0004022),9
alcohol dehydrogenase (NADP+) activity (GO:0008106),17
alcohol dehydrogenase [NAD(P)+] activity (GO:0018455),7
"alcohol dehydrogenase activity, zinc-dependent (GO:0004024)",7
aldehyde dehydrogenase (NAD+) activity (GO:0004029),13
aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030),15
aldehyde-lyase activity (GO:0016832),8
alditol:NADP+ 1-oxidoreductase activity (GO:0004032),11
aldo-keto reductase (NADP) activity (GO:0004033),10
alkali metal ion binding (GO:0031420),13
alkaline phosphatase activity (GO:0004035),6
alkane 1-monooxygenase activity (GO:0018685),5
all-trans retinal binding (GO:0005503),5
alpha-(1->3)-fucosyltransferase activity (GO:0046920),8
"alpha-1,4-glucosidase activity (GO:0004558)",5
alpha-2A adrenergic receptor binding (GO:0031694),5
alpha-actinin binding (GO:0051393),24
alpha-adrenergic receptor activity (GO:0004936),6
alpha-amylase activity (GO:0004556),5
alpha-glucosidase activity (GO:0090599),6
alpha-mannosidase activity (GO:0004559),7
"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity (GO:0001665)",6
"alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity (GO:0003828)",6
alpha-tubulin binding (GO:0043014),31
amidine-lyase activity (GO:0016842),6
amino acid binding (GO:0016597),32
amino acid transmembrane transporter activity (GO:0015171),49
amino acid:sodium symporter activity (GO:0005283),11
aminoacyl-tRNA editing activity (GO:0002161),5
aminoacyl-tRNA ligase activity (GO:0004812),38
aminopeptidase activity (GO:0004177),27
aminophospholipid flippase activity (GO:0015247),7
ammonia-lyase activity (GO:0016841),5
ammonium transmembrane transporter activity (GO:0008519),10
AMP binding (GO:0016208),11
amylase activity (GO:0016160),5
amyloid-beta binding (GO:0001540),80
androgen receptor binding (GO:0050681),27
androsterone dehydrogenase activity (GO:0047023),8
anion channel activity (GO:0005253),68
anion transmembrane transporter activity (GO:0008509),17
anion:anion antiporter activity (GO:0015301),19
anion:sodium symporter activity (GO:0015373),5
ankyrin binding (GO:0030506),19
ankyrin repeat binding (GO:0071532),5
annealing activity (GO:0097617),5
antiporter activity (GO:0015297),20
apolipoprotein A-I binding (GO:0034186),5
apolipoprotein receptor binding (GO:0034190),6
arachidonate-CoA ligase activity (GO:0047676),6
arachidonic acid binding (GO:0050544),6
arachidonic acid epoxygenase activity (GO:0008392),16
arachidonic acid monooxygenase activity (GO:0008391),19
arginine binding (GO:0034618),8
arginine N-methyltransferase activity (GO:0016273),8
arginine transmembrane transporter activity (GO:0015181),8
armadillo repeat domain binding (GO:0070016),9
aromatic amino acid transmembrane transporter activity (GO:0015173),9
aryl hydrocarbon receptor binding (GO:0017162),8
aryl sulfotransferase activity (GO:0004062),9
arylesterase activity (GO:0004064),6
arylsulfatase activity (GO:0004065),14
"aspartic endopeptidase activity, intramembrane cleaving (GO:0042500)",6
aspartic-type endopeptidase activity (GO:0004190),15
aspartic-type endopeptidase inhibitor activity (GO:0019828),7
aspartic-type peptidase activity (GO:0070001),12
ATP binding (GO:0005524),278
ATP hydrolysis activity (GO:0140603),45
ATP transmembrane transporter activity (GO:0005347),10
ATP-activated inward rectifier potassium channel activity (GO:0015272),6
ATP-gated ion channel activity (GO:0035381),8
ATPase activator activity (GO:0001671),20
"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)",16
ATPase binding (GO:0051117),73
ATPase inhibitor activity (GO:0042030),5
ATPase regulator activity (GO:0060590),38
basal RNA polymerase II transcription machinery binding (GO:0001099),33
basic amino acid transmembrane transporter activity (GO:0015174),13
benzodiazepine receptor activity (GO:0008503),10
benzodiazepine receptor binding (GO:0030156),5
"beta-1,3-galactosyltransferase activity (GO:0048531)",7
beta-2 adrenergic receptor binding (GO:0031698),5
beta-galactosidase activity (GO:0004565),5
beta-glucosidase activity (GO:0008422),6
beta-tubulin binding (GO:0048487),32
BH domain binding (GO:0051400),6
BH3 domain binding (GO:0051434),6
bHLH transcription factor binding (GO:0043425),22
bicarbonate transmembrane transporter activity (GO:0015106),15
bile acid binding (GO:0032052),9
bile acid:sodium symporter activity (GO:0008508),6
bioactive lipid receptor activity (GO:0045125),9
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431),5
bis(5'-adenosyl)-pentaphosphatase activity (GO:0034432),5
bitter taste receptor activity (GO:0033038),25
BMP binding (GO:0036122),12
BMP receptor activity (GO:0098821),6
BMP receptor binding (GO:0070700),13
branched-chain amino acid transmembrane transporter activity (GO:0015658),7
bubble DNA binding (GO:0000405),8
C-acetyltransferase activity (GO:0016453),5
C-acyltransferase activity (GO:0016408),11
C-C chemokine binding (GO:0019957),24
C-C chemokine receptor activity (GO:0016493),23
C-palmitoyltransferase activity (GO:0016454),5
C-X-C chemokine binding (GO:0019958),5
C-X-C chemokine receptor activity (GO:0016494),5
C-X3-C chemokine binding (GO:0019960),5
C2H2 zinc finger domain binding (GO:0070742),12
C3HC4-type RING finger domain binding (GO:0055131),6
C4-dicarboxylate transmembrane transporter activity (GO:0015556),16
cadherin binding (GO:0045296),322
cadherin binding involved in cell-cell adhesion (GO:0098641),18
cadmium ion binding (GO:0046870),5
calcitonin family receptor activity (GO:0097642),5
calcium activated cation channel activity (GO:0005227),19
calcium channel activity (GO:0005262),84
calcium channel inhibitor activity (GO:0019855),11
calcium channel regulator activity (GO:0005246),37
calcium ion binding (GO:0005509),348
calcium ion transmembrane transporter activity (GO:0015085),55
"calcium, potassium:sodium antiporter activity (GO:0008273)",5
calcium-activated potassium channel activity (GO:0015269),12
calcium-dependent cysteine-type endopeptidase activity (GO:0004198),15
calcium-dependent phospholipase A2 activity (GO:0047498),16
calcium-dependent phospholipid binding (GO:0005544),50
calcium-dependent protein kinase activity (GO:0010857),8
calcium-dependent protein serine/threonine kinase activity (GO:0009931),8
calcium-dependent protein serine/threonine phosphatase activity (GO:0004723),7
calcium-independent phospholipase A2 activity (GO:0047499),8
calcium-release channel activity (GO:0015278),17
calcium:cation antiporter activity (GO:0015368),6
calcium:sodium antiporter activity (GO:0005432),10
calmodulin-dependent protein kinase activity (GO:0004683),24
calmodulin-dependent protein phosphatase activity (GO:0033192),5
cAMP binding (GO:0030552),12
cAMP response element binding (GO:0035497),10
cAMP response element binding protein binding (GO:0008140),9
cAMP-dependent protein kinase activity (GO:0004691),5
cAMP-dependent protein kinase inhibitor activity (GO:0004862),8
cAMP-dependent protein kinase regulator activity (GO:0008603),10
carbohydrate kinase activity (GO:0019200),11
carbohydrate:cation symporter activity (GO:0005402),12
carbohydrate:proton symporter activity (GO:0005351),7
"carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)",8
carbonate dehydratase activity (GO:0004089),11
carbonyl reductase (NADPH) activity (GO:0004090),5
carboxy-lyase activity (GO:0016831),23
carboxylic acid binding (GO:0031406),41
carboxylic acid transmembrane transporter activity (GO:0046943),57
carboxylic ester hydrolase activity (GO:0052689),96
carboxypeptidase activity (GO:0004180),38
CARD domain binding (GO:0050700),16
