Pathway,Count
1P36 Deletion Syndrome,5
22Q11 Deletion Syndrome,10
22Q11 Partial Monosomy Syndrome,9
22Q11.2 Deletion Syndrome,9
3M Syndrome,5
"46, XX Gonadal Dysgenesis",9
"46, XX Gonadal Sex Reversal",6
"46, XY Complete Gonadal Dysgenesis",10
"46, XY Disorder Of Sex Development",9
"46, XY Partial Gonadal Dysgenesis",12
"46, XY Sex Reversal",11
"46,XX Gonadal Dysgenesis",8
Aase-Smith Syndrome,16
Abdominal Migraine,9
Abducens Palsy,8
Abetalipoproteinemia,10
Abnormal Dermatoglyphic Pattern,42
Abnormal Male Sexual Function,11
Abnormal Spinal Segmentation,39
Cerebral Amyloid Angiopathy,8
Absence Of Septum Pellucidum,84
Absence Seizure,20
Absent Eyebrow,19
Absent Lacrimal Punctum,6
Abulia,9
Acanthosis Nigricans,38
Accessory Kidney,20
Accessory Nipple,37
Accessory Rib,12
Achalasia,12
Achoo Syndrome,26
Achromatopsia,12
Acne,65
Cubitus Valgus,35
Mallet Finger,5
Acquired Kyphoscoliosis,135
Acquired Porencephaly,26
Acrania,28
Acrocallosal Syndrome,5
Acrocephaly,35
Acromegaly,5
Acromesomelic Dysplasia,5
Acromicria,12
Acromicric Dysplasia,17
Acrosteolysis,14
Action Myoclonus-Renal Failure Syndrome,18
Adams-Oliver Syndrome,6
Addison`s Disease,37
Adenocarcinoma,214
Adenocarcinoma Of Colon,10
Adenocarcinoma Of Duodenum,6
Adenoma,37
Hyperaldosteronism,26
Adenoma Sebaceum,20
Adenomatous Polyposis,8
Adrenal Cancer,11
Adrenocortical Carcinoma,34
Adrenal Neoplasia,12
Adrenal Gland Pheochromocytoma,16
Adrenal Hyperplasia,16
"Adrenal Hypoplasia, X-Linked",11
Adrenocortical Adenoma,15
Adrenocorticotropic Hormone Deficiency,8
Adrenocorticotropin Deficient Adrenal Insufficiency,6
Adrenogenital Syndrome,6
Adrenoleukodystrophy,19
Adrenomyeloneuropathy,6
Advanced Sleep Phase Syndrome,8
Affective Psychosis,5
African Burkitt`s Lymphoma,15
Agammaglobulinemia,22
Age-Related Macular Degeneration,8
Agenesis Of Corpus Callosum,217
Agnosia,17
Agranulocytosis,11
Agyria,17
Aicardi Goutieres Syndrome,10
Akinesia,27
Akinetic Petit Mal,7
Akinetic-Rigid Variant Of Huntington Disease,12
Alacrima,12
Ocular Albinism,23
Albinism,20
Alcoholic Liver Cirrhosis,32
Alexia,9
Nonmedullary Thyroid Carcinoma,69
