Pathway,Count
R01HL043339,4
R01DK054736,5
T32CA070083,4
R01GM078270,3
ZIAAG000928,14
R01AI020059,5
R37AI023081,18
R01DK097376,4
R01CA081157,7
T32RR018722,5
T32ES011564,17
U01HL054509,49
R01ES004978,3
R01CA011479,3
ZIAHL006047,5
K12HD001259,4
F32AG005861,6
R01CA083716,3
ZIAES102005,4
F32GM020167,8
K01DK059900,13
R01CA114039,8
R01DK045641,8
Z01AA000304,5
K12HD052191,3
R01HD024384,3
K12HL090021,4
R01GM066946,8
R01CA069112,9
ZIAHD001004,11
R01HL075662,4
R01HL076604,3
R01NS038077,5
R24EY014793,6
T32GM065823,3
R01NS043377,20
R01DK060693,9
R01NS046834,4
R01GM101664,7
R01DK077489,39
D43TW001038,10
P01AG010124,45
R01CA142833,5
P01CA163227,7
R01MH051290,4
P20RR018728,15
T32NS041224,5
R01HL031610,4
P50NS011766,38
R29CA075243,4
R01CA169351,6
R01CA117827,3
ZIADK070012,4
N01WH042119,29
R01DK047482,32
R01GM046220,8
R01NS056118,4
R01HL085134,6
R01NS041319,3
R01NS061776,9
R37GM051279,3
R01GM096192,5
R01AI039264,4
R01NS054880,5
R01RR014099,5
R03CA153936,3
R01HL112642,26
U19AI070345,9
R01ES016285,3
R01HL097090,4
P01HL078784,22
R01CA080790,4
L40CA117542,3
R01MH071507,33
R21AI065535,9
R01CA026869,11
R01CA054826,9
R01HL075714,3
R01CA082222,10
P02CA011580,3
R01DE017680,8
R01GM052549,4
P30MH062512,46
R01CA089441,19
R01GM076637,11
R01GM061721,9
R01AR048266,7
R01DK062112,21
R44HL104885,6
T32DK007732,4
R01GM053165,4
R01NS039170,4
R01AI020038,7
K08CA094877,8
R37AI024674,4
K01CA087580,10
R01MH062120,3
R21AI054369,3
R01GM084020,14
P01ES009584,10
P01AR039740,24
R01LM009012,9
T32GM007200,30
R01CA134660,6
R01CA122334,14
R01GM038663,4
P01HL085098,26
K04NS000450,3
K24NS002225,3
R01DK054922,11
R01AG022407,5
R01CA067941,14
P50ES015915,13
R01CA053791,26
R01HL067840,4
P41GM104603,6
R01DE010183,3
R01HS008194,16
P60AR030701,5
P30AG010123,3
R01HD036822,22
Z01AI000697,11
P60AR048095,18
R01AI072732,13
R01GM073846,9
R01GM034236,26
R01HD036701,9
R01GM054238,6
F30ES016504,3
R01CA064202,13
R01HL091905,3
K24DK002856,4
R03DK080715,4
K23HL095661,4
Z01AG000758,3
R01DK092235,4
T32GM070421,4
TL1RR025748,11
R37AI038425,8
P01DK080665,10
U10CA041287,23
R01DE014857,4
R01DK019406,4
F32CA094664,3
Z01BC010673,7
R01NS050557,18
R01ES011804,13
T32AI007401,5
R01CA120221,4
R01DC002640,3
N01CP021009,6
R01AR048155,9
R01AI042782,8
R01AA013336,4
K08DK002540,8
R01HS009804,16
F31NS054507,25
R21CA124811,4
R01HD027970,7
R01DK090481,11
ZIAAI000099,5
R01HD038902,8
R37GM028039,3
R01DK039588,18
R01GM047238,5
K08HL002431,4
R01NS054773,3
R01GM101135,4
R01GM099092,4
P51OD011133,5
R01DK030898,17
R01CA019613,4
R21CA159066,3
K07CA093592,8
R29CA078456,4
R01GM024658,11
R21CA122672,32
R01DK077140,6
R01HL080978,5
S10RR029388,7
R37AA009300,4
R01CA058110,15
R01EY022694,3
U01AI032782,43
R01AI060905,7
R01CA061257,4
R37CA024347,3
U01HL056566,13
T32CA009634,18
R01AI041951,27
R01AI076066,5
R21HD053114,3
U01CA152813,4
K01CA074885,3
R01GM073058,7
R01HL071160,3
F31AI091326,6
T32GM007618,12
P01HL042550,23
R01HD073070,4
R01NS032717,4
F32ES012856,6
R01MH073601,5
P50GM081892,6
Z01CP005803,8
R37CA037295,4
ZIAAG000317,11
T32HD007373,4
R21CA126720,6
R21CA141036,3
ZIAAG000892,6
K01MH067123,6
R01DK044319,26
R01DK081576,8
RL1DA024853,3
R01NS049103,5
R01EY018218,3
R01AI041111,7
P01GM047818,6
R01HL107246,13
R21NS050668,6
U24CA097735,14
R03CA077145,3
K01DK083029,15
P01AI082971,7
ZIABC005453,5
N01HR056074,27
T32AG007434,3
R01DC003402,12
P01DK044080,3
R01GM049046,21
K01HL092588,4
R01DK062722,11
R37CA064786,20
R01NS080388,3
R01AI060753,7
F30AG030316,4
R01HL064017,3
R01NS051715,6
F31NS068038,3
UM1AI068634,45
K07CA134831,35
R01MH079799,15
R01AI034522,7
R01NS078167,4
R01AG030599,3
R01AR049069,22
R37HL019278,4
R01CA112176,4
R01HL088134,13
U01DK076160,6
R37AI018797,19
R01CA068822,5
R01AG017573,4
ZIASC007256,10
R01NS042183,18
R15NR007912,3
R01CA129440,4
R01MH038774,4
R01CA116337,7
K01CA106599,4
K25CA104162,32
R01NS034383,9
K23MH082256,4
U01AI035839,5
R01CA084262,3
R01NS042878,5
R01MH076090,4
P20RR021905,10
R37AI033068,21
PL1DK081182,10
R01CA113859,16
Z01NR000015,7
R01LM011360,19
R01CA122246,4
R01HL068885,3
R01AI035381,15
R01HL024526,21
Z01DK054002,4
ZIABC005148,5
R01GM058120,7
R01CA086928,8
R21AR059966,3
R01CA076334,8
R01CA094084,4
R01AI036478,6
R01HL062594,16
R37DK031405,17
R01NS054941,8
R01HD045675,19
R01HL092558,4
R01NS046630,19
R01DK047967,7
R01CA065567,12
R01AG028786,7
K08DC005187,4
R01AT005522,10
Z01CP010170,19
R01HD039322,6
R01CA108535,15
R01DK037336,3
T32CA126607,3
R01HL049609,18
C06RR020136,8
R01HL094505,4
R01AR041653,16
U01DK057303,22
R01DK043382,23
R01CA057629,5
R01CA090833,12
R01EY016398,6
R01MH059199,8
R03HD045768,6
R37GM028485,32
R01HL076340,9
R01CA111835,6
R00HL098458,44
R01DA030338,7
R01CA099179,4
K99HL112904,3
R01DK061558,3
R01CA109449,20
R01AI054661,6
P50DK096415,5
P50HL084946,6
R15CA155873,3
F32CA142159,6
R01AR048218,3
T32GM007767,33
DP1OD006445,7
R01CA077386,6
P30AR041942,17
R01AR037318,15
R01DK063049,14
K01DK002970,4
ZIADE000688,3
U54HL108460,5
R15AI035761,3
T32DA007238,3
R21ES014384,7
R01AR063437,5
F31AG030788,6
P50NS008075,19
P20GM103434,20
T32GM008353,3
R01NS033300,5
R01CA126897,6
ZIAAI000717,18
R01ES015323,6
R01GM062502,10
P01NS030606,7
R01CA168472,26
P01HL066398,15
R01HL091525,4
R01AI031136,9
Z01BC010296,5
R01CA089002,3
R37MH043784,29
U01MH081896,8
R01CA059750,3
R01HL057560,3
R01NS023022,4
R01GM060472,7
K24DK069290,23
K08DK076845,7
R01HL083895,5
R01GM088351,8
R01GM061739,5
R29CA075219,3
R01DA009532,4
R01DK056356,7
R01AI078756,3
R01GM078550,22
Z01DC000073,9
U19AI066345,12
R01GM042230,4
R24EY017404,36
R01GM071268,6
P50HL033811,6
P42ES005947,27
R03MH046653,3
R01HL071745,7
R01GM055713,3
R21DK079163,5
R01GM054068,12
R01AI028928,3
R01DC008861,3
R03DE015902,4
R01CA048022,4
ZICNS003008,4
R37HL038578,9
K22CA113700,5
R01AI071798,15
R01CA167677,8
R01HL082802,3
R01AI077519,3
R01CA137365,5
R21AA013890,3
R01AA013170,6
R01NS048884,5
U54CA100926,10
R01GM054762,5
Z01AI000961,4
P01HD049480,11
R01AA012743,3
R01HD040972,5
R01HL068607,7
RC4AG039029,3
R01DK046942,7
P30NS069375,3
U54CA126540,14
R01CA081243,3
R01HD037568,6
R01DA007058,3
R01MH048153,15
U54CA163155,11
F32DK007832,8
R01CA056301,11
R01EY011105,9
R01GM106023,3
R21DK053462,6
T32HD007028,25
R01DE017138,6
R01AG015801,3
R01ES007198,3
R01AI022444,18
R01CA146445,3
ZICAG000615,27
R03ES011443,3
U01DK057131,3
U54HD068158,4
R01CA098642,4
U54HD018185,14
R01DK056731,10
R01CA082859,9
R01DK087956,9
F32CA088445,3
R01GM026796,26
R01HL067190,4
U54RR014607,10
R37DK019318,13
U54HD055744,3
R01GM036481,5
R01AI065653,3
R01HL046716,9
R03AG022616,4
R01HL065090,6
P01HL046703,22
R01AI026490,7
P30AR057212,27
P01AG017617,18
R01GM056362,32
UM1AI069434,44
N01CN065064,12
P01AI048244,14
R01CA090848,6
R37HL041002,5
R01CA099996,14
DP1DA026197,14
R01CA127405,6
R01CA079801,6
R01GM063861,5
R01AG035083,16
R01AR047223,11
R01DK053002,9
R21CA182659,3
U01CA105352,9
K08DK074706,4
T32HL007443,6
R01CA090464,15
K08HL070013,4
R01AI069321,6
ZIAHD008817,3
R01HL120393,18
R01HD041494,5
R56AI095171,3
R01EY013163,4
Z01ES102505,4
R01CA155025,9
R01AA002342,3
K24CA139052,4
R01CA134687,7
R01EY021197,8
R01DK062810,13
R01GM041347,7
R01AI057083,24
R01AI073556,3
R01DK054687,16
P20RR011145,14
T32GM007055,9
R01HD029963,10
Z01HG000209,12
R01CA115801,5
P01CA078038,5
R01DK083850,5
R01HL067724,19
R01CA089608,6
R01DK085713,4
R01CA064114,4
R01HL061897,47
P01NS020023,13
R01AM030241,6
F32CA108657,3
R01CA148950,4
R01AI047266,3
Z01HG012003,9
R01HL075675,9
R01CA095643,5
U01CA040658,5
ZIASC006387,3
R01GM062694,14
R01NS018400,6
L40HL078465,7
T32HL007312,41
T32GM007517,4
K22CA138563,11
R01GM071688,3
R01CA090297,17
R01EB007813,48
R01HL090804,9
R29CA074321,6
R01AI044447,3
R01CA090465,42
K14HL003382,3
R01CA039932,3
K08HL092222,29
K08CA097980,16
R01CA113472,23
K08AI053971,3
R01HL029807,5
R01CA109294,10
R01EY009721,3
R01DK060771,10
R03AG038778,4
F32CA123823,3
R01AG018486,14
K08AR053566,16
P50MH033127,5
ZIAAG000640,7
R01HL076448,6
R21CA093568,3
P50CA093683,40
R01CA085540,4
ZIAAR041148,5
U10HD027905,19
R01EY011916,19
P41EB002026,19
R01HL048183,3
R01DE022757,7
R01HL070244,6
R21HL092363,5
R01CA069485,4
R01GM098367,3
U19AI082726,4
R37AR030481,5
R01DK034818,13
R01CA123065,9
R01DA012846,3
R01HL064728,5
R01GM061053,18
R01EY022124,12
R01HL115014,3
R01DE004141,5
R56HL071123,10
P01NS058901,5
U01HG004790,43
R21EY022766,3
R01EY010516,3
F30DK084674,3
K08HD001181,3
R01DK055679,11
R21ES015893,9
R01CA143204,8
T32HD007505,25
R01GM086530,6
P50HL084945,6
R03AI099625,4
ZIAHL006013,7
T32HL007954,16
R01AR044657,3
RC2GM092618,5
F32CA071326,5
R37HL033831,3
R01NS033020,4
N01WH042125,22
P30AI087714,20
R01DK059169,5
K08NS055851,3
P30AG021342,15
R01AI030040,7
U01CA081810,3
R01HL034355,4
R01GM079226,5
R00MH086756,10
R01DK080765,5
R01DA003590,3
R37CA082422,9
R01CA105160,5
ZIAAI000249,5
R01CA135257,8
R01HL083423,20
Z01AI000543,8
P30CA093373,39
R01EY014847,7
R37DK030457,9
R01CA085862,10
R37GM052735,4
R01DK062828,7
T32DK007186,12
R01AI047062,3
R01CA112237,23
R01GM054724,5
R01HL093004,6
R01CA044684,3
R01DK019925,11
K01AG034999,3
R01GM068849,15
R35AG007911,4
P50NS037409,14
P60AR020557,43
R01HL057281,9
P01CA080058,30
R01GM075091,37
Z01NS002987,7
F32CA073202,3
K02MH000956,4
R01CA085422,4
R01HL085677,4
R01DK071909,8
R01HL077545,3
R01CA152975,5
R01CA042951,4
K08CA140946,6
R01AI047365,3
R01DK069921,14
ZIASC009389,5
R01CA086712,12
R21CA156037,9
K08HL003194,5
K12CA001730,5
K02AR002127,7
R01AI047678,3
R01AG038791,6
R01NS035711,4
DP2OD008614,7
R01HL082856,3
R01GM033279,17
R01HL062887,6
R01DK063070,6
R01HG000370,9
R01AI024674,4
Z01HD000642,46
R01GM076621,4
R37CA022762,4
R01DK081553,16
R35AG008992,3
R01AT000850,5
R37CA055360,12
R01DK049781,3
R01CA066741,6
P01AI083222,4
R01AI084133,7
R37DK031036,7
R01CA012421,5
R01GM070590,6
R03AR057544,3
P01HL056914,14
T32GM008281,7
K22AI077353,5
R01AG022579,3
Z01DC000065,14
R01GM055648,3
R01GM063478,3
R01HL111089,19
R01NS058382,3
Z01HD008814,8
T32AR007530,28
P01AI027290,11
R01AG031189,3
R01CA105489,16
R01GM084465,13
R01AI041404,36
Z01BC010854,8
K23AI076106,4
R01EY016219,5
ZIABC010449,11
R01CA134767,3
F31CA060352,6
T32GM008231,4
R01CA131914,13
K08AA014265,3
F31CA168180,3
R01CA072915,3
R01DK032972,4
R03AR045838,4
R01DE012354,18
P30NS046593,9
P30DK050456,43
R01HL089598,11
R01AA014717,3
R01AI077556,4
R01CA127590,20
K01AG023094,4
Z01MH002843,7
R01DE013178,7
R01MH074849,5
R01CA111803,6
R01NS047229,7
U01CA114722,5
R01GM088252,5
R01HL063762,31
K08DK081403,8
R37CA046613,7
Z01HL002345,5
R01CA157919,7
K23HL093023,6
ZIAHG000120,10
T32DK007791,7
R01CA067405,21
N01HD023166,19
P50HG006193,21
T32ES007026,31
R01GM035866,11
R01DK046205,8
R01CA047480,9
R29CA047996,9
UM1CA164974,36
P50HL018828,6
T32DK007632,12
R01MH085518,21
R01CA075218,14
R01GM062267,8
R37AI064003,8
R01EY011405,3
R01DK077814,3
R24CA088261,26
R01HD016580,4
R01CA075162,4
R01CA131524,5
R01CA095195,16
R01CA076445,5
R37HL044147,3
U10CA039229,13
R01ES010798,11
R29CA074907,3
S10RR008438,7
R01AG017518,9
R01HL079650,7
U10HL068292,3
P30AG024832,15
R01HL069234,8
Z01ES050158,15
R21AI056987,9
R01CA108500,12
R01HD024462,4
ZIAAI000965,15
R21AI103328,3
K08MH090397,3
ZIAES101589,3
R01GM094263,4
R00CA135695,3
N01HR016052,19
P01CA052477,5
R01HL083335,12
R01DK062248,16
R01GM078492,6
R03EY013438,10
U01CA057949,20
R01GM044493,4
K24CA093670,7
R01ES021801,15
R01HL071546,4
R01DC004185,6
R37HD020521,7
R01AR044529,3
R01CA069091,3
T32GM065841,9
R01CA040578,3
R01DE010877,8
S10RR011981,4
R01DK059315,12
R01NS034175,12
R01CA066029,4
R21HL088087,3
ZIAHD001011,3
ZIAES101866,4
R01CA054358,15
R37DK039588,13
R01CA096527,6
U01AI031599,27
ZIABC010725,5
R01GM046991,5
K08HL004349,5
R01DC005349,3
R00CA126182,10
R01CA090837,5
R01GM047607,7
R01CA134568,26
R01HL050615,4
R01HD041701,4
R01HL070561,5
R01HL049513,3
R21NS061748,6
R01HD025286,3
R01HL064157,6
R01HL090655,4
R01CA042919,9
R01MH056528,3
R37HL071544,3
R01HL065519,6
R01HL074295,3
Z01NS002826,20
R01AI052002,4
K01DK096093,3
U19AI070235,35
R03DA029480,4
R01AI068826,5
R01GM087543,3
R01ES005823,4
P01HL067672,6
R01HL022563,23
R01CA097110,3
P50CA083636,32
U01HL087366,4
F32HL082068,4
R37HL064159,5
R01CA074954,3
R01CA085410,3
R01HL058795,9
R01CA108614,10
Z01BC010848,4
R01GM058600,4
F32HL071463,3
P01ES000040,12
K24RR017365,21
N01AI005072,27
R01AI055509,4
R01GM083089,11
R01HG004428,5
U10HD040560,9
U01AI069471,45
R01AI047604,3
R10CA022433,24
R01CA104843,9
R37AI032725,8
R01HL089179,5
R01HL077431,10
R01AI100720,3
R01MH051561,6
DP2OD002177,10
T32GM007240,13
R01HL031048,6
K08HL080085,8
U01HL066583,14
R01CA092172,5
R01NS057563,5
R21AI079354,28
R01HL077288,5
R01DK046993,6
P30CA011198,9
R01HD043089,4
P01CA065930,16
F32EY006411,3
R03AG026060,3
R01HL062995,9
R01CA079849,11
R01AI093737,3
R01CA142862,6
U01MH085513,23
R01HL086680,3
R01ES007943,4
P01GM072694,3
R15DK069897,5
U24CA143840,5
U01HG004802,20
R01HL067828,3
P30CA147886,3
R01CA151566,3
R01AT000613,4
R01EY015473,46
R21NS064564,3
K01OD011077,4
R01HL095780,4
R01HL032802,21
R01AR047814,5
R01CA102203,3
ZIADE000524,35
R01CA095003,38
R01DC004546,4
R01AR042527,28
ZIAHL002832,9
K12HD001264,6
R01CA082599,19
R21CA167137,7
R01HL080050,5
Z01HD000412,5
R01AR034711,5
R01NS064278,5
R01AI070672,3
T32GM008562,3
K22ES011647,7
R10CA023318,21
U10CA035090,36
R01CA118495,3
R01AI072287,3
P30GM103328,8
U01CA070095,4
R01HL031698,7
R21CA124817,3
R01AG021494,6
U01HL080711,5
R01HL082517,3
Z01DK031116,5
R01CA073987,4
Z01AI000816,4
S10RR015859,9
R01NS030410,5
R01CA016927,4
R01HG000567,3
R01AI061397,5
R01DK046900,3
Z01DE000716,4
R01AI036071,10
R01GM077569,24
R01DK044921,3
R01DK069966,7
R01AG017173,34
Z01AI001027,3
K22DE014364,6
R01NS041078,3
P50CA127297,39
T32CA009441,24
P01AI063302,6
R01AG018884,11
R01CA078836,4
R37DE012588,17
Z01HG000197,7
R01CA024844,6
Z01AI000390,5
R01CA083889,4
F32HL071427,3
R01DK036256,11
P50HL060316,19
Z01BC010270,17
R29CA068066,11
R01HD024459,4
K12DK083021,37
K08HL070268,3
P01CA100324,29
R01EY011993,10
K01CA120711,3
R01AI082020,10
K24DK002800,6
R01CA084040,11
P50HG000201,10
R01HL077783,4
R01CA151391,4
R01AR053815,3
U54RR023417,19
R01DK027736,3
S06GM008239,13
R01GM036823,4
T32AI007036,3
R01CA129523,3
R01CA076167,19
R01AI035383,4
K08NS075094,8
R01CA102280,4
N01HB097051,33
R01NS016106,5
R01GM085004,11
U54RR019478,6
N01CP005626,8
R01AI094001,6
R01CA073818,39
R43HL069542,4
R01GM060293,15
R24HD000836,8
R03DC011143,3
R01EY011500,16
P01CA109094,5
R01NS045191,5
R21AI054354,3
U01AI031541,29
R21AI082406,6
R03CA132175,28
R01HD034108,8
R01HL083151,12
R01AM020407,9
R01GM111028,4
R01AI047760,7
K02MH084060,5
R01HL028737,5
R01MH070297,16
T32CA009060,14
R03MH075101,3
F30NS057902,3
C06RR015482,7
T32CA148062,18
R01AA012054,3
U01CA096123,5
R03AG003663,4
R01NS051630,7
ZICHG200365,23
R24CA088317,4
T32AI007324,19
R43HL053192,5
R01ES014454,4
R01CA118578,12
R01HL059378,4
R01AA010795,11
R01GM062964,8
N01HC025106,3
R01HD038060,4
ZIAAI005033,6
T32AI007387,8
R01GM102875,4
R01NS064155,20
R37DK037867,9
K01DK075706,5
R01CA098305,6
ZIDHG200352,4
R01AR057308,8
R01CA132630,6
R01GM058008,6
R00HL093297,5
K05CA139871,5
R01DK047951,3
P50HL083762,5
T32AI007046,13
R01NS042262,16
K99CA160638,3
R21AI062369,4
R01HL090152,4
R01CA034729,17
M01RR019975,3
R01DK058262,3
K23CA115775,5
R01GM046697,4
R01HL065681,4
R01CA081503,7
R01HD022400,3
F32NS043937,5
R01HL079267,4
R01GM026020,44
P01NS026991,5
R01DK059079,5
R01EB003824,10
R03CA065473,4
R01DK062948,7
R24EY016662,3
R01HD051455,14
R01EY009033,3
R01AR050847,4
R01CA093848,7
T32CA009475,14
