Pathway,Count
ABeta-induced Microglial Genes PMID14612454,518
AD Changed Genes In Choroid Plexus GSE110226,2053
AD Down-Regulated Genes In Choroid Plexus GSE110226,829
AD Up-Regulated Genes In Choroid Plexus GSE110226,1231
AR-ATXN3 Shared Co-Expressed Genes In HD-associated Brain Region PMID29249939,6
ATN1-ATXN2 Shared Co-Expressed Genes In HD-associated Brain Region PMID29249939,473
ATN1-HTT Shared Co-Expressed Genes In HD-associated Brain Region PMID29249939,62
Activity-dependent Synaptic AMPA Receptor Removal CHDI115,89
Aged Astrocyte-Enriched Genes In Mouse Cortex PMID23954174,356
Aged Microglia-Enriched Genes In Mouse Cortex PMID23954174,263
Alternative Priming Pathway Genes Changed In Old Vs Young Microglia PMID24162652,29
Alternative Priming Pathway Genes Up-Regulated In Old Vs Young Microglia PMID24162652,26
Alzheimer Disease Down-Regulated Genes In CA1 Area Of Hippocampus Blalock PMID14769913,1339
Alzheimer Disease Down-Regulated Genes In CA1 Area Of Hippocampus Colangelo PMID12391607,17
Alzheimer Disease Down-Regulated Genes In CA1 Area Of Hippocampus Liang PMID18270320,2626
Alzheimer Disease Related Gene Module From Human Brain PMID20616000,52
Alzheimer Disease Up-Regulated Genes In CA1 Area Of Hippocampus Blalock PMID14769913,1875
Alzheimer Disease Up-Regulated Genes In CA1 Area Of Hippocampus Colangelo PMID12391607,17
Alzheimer Disease Up-Regulated Genes In CA1 Area Of Hippocampus Liang PMID18270320,1300
Amygdala And Hippocampal Pyramidal Neuron Gene Module PMID19638972,146
Amyotrophic Lateral Sclerosis Markers In Human Cervical Cord GSE26927,537
Anterior Cingulate Cortex And Caudate Nucleus Coexpressed Gene Module PMID17101986,113
Astrocyte Gene Markers PMID17151600,52
Astrocyte Gene Module From Cerebral Cortex PMID18849986,757
Astrocyte Gene Module From Human Brain PMID20616000,422
Astrocyte-enriched Genes PMID25700174,237
Astrocyte-enriched Genes In Mouse Cortex PMID25186741,40
Astrocyte-specific Genes PMID15155908,28
Autism Susceptibility Genes PMID21614001,139
Autistic Brain Down-Regulated Interneuron Gene Module PMID21614001,432
BAC HD Down-Regulated Genes In Standard Environment GSE107259,6
Base Excision Repair Step 3B: Long-Patch DNA Re-synthesis And Ligation CHDI110,7
Base Excision Repair Step1: DNA Base Repair Initiation And Excision CHDI110,10
Baseline Differences In PC12 Htt-Q74 Vs PC12 Htt-Q23 Cells PMID28499347,2060
Bcl11b Down-Regulated Genes In Mouse Striatal Cells GSE31096,28
Bcl11b Regulated Genes In Mouse Striatal Cells GSE31096,96
Bcl11b Up-Regulated Genes In Mouse Striatal Cells GSE31096,68
Bivalent H3K27me3 And H3K4me3-enriched Genes In MSNs Of Adult Mice PMID27526204,833
Bivalent H3K27me3 And H3K4me3-enriched Genes Up-Regulated In 3 Mon PRC2 Deficient Mice PMID27526204,27
Bivalent H3K27me3 And H3K4me3-enriched Genes Up-Regulated In 6 Mon PRC2 Deficient Mice PMID27526204,87
Brown4 Module Eigengene Expression Profile Across Striatal Astrocytes Of R6/2 And Q175 Mice PMID31619545,85
CA1 Enriched Genes Compared To CA3 PMID15306126,38
CA1 Hippocampal Region Changed Genes PMID15084669,33
CA1 Overexpressed Genes Compared To CA3 Ginsberg PMID15861457,12
CA1 Overexpressed Genes Compared To CA3 Newrzella PMID17937787,455
CA1 Pyramidal Neuron-Enriched Genes PMID25700174,389
CA3 Enriched Genes Compared To CA1 PMID15306126,16
CA3 Hippocampal Region Changed Genes PMID15084669,55
CA3 Overexpressed Genes Compared To CA1 Ginsberg PMID15861457,8
CA3 Overexpressed Genes Compared To CA1 Newrzella PMID17937787,530
CACNA1A-ATN1 Shared Co-Expressed Genes In HD-associated Brain Region PMID29249939,37
CAG Length-Dependent Genes In 10 Mon Mouse Cortex PMID26900923,1714
CAG Length-Dependent Genes In 10 Mon Mouse Liver PMID26900923,56
CAG Length-Dependent Genes In 2 Mon Mouse Cortex PMID26900923,13
CAG Length-Dependent Genes In 2 Mon Mouse Liver PMID26900923,165
CAG Length-Dependent Genes In 2 Mon Mouse Striatum PMID26900923,132
CAG Length-Dependent Genes In 6 Mon Mouse Cortex PMID26900923,1708
CAG Length-Dependent Genes In dSPNs Of HD Mice Genes Down-Regulated In PMID32681824,2718
CAG Length-Dependent Genes In dSPNs Of HD Mice Genes Up-Regulated In PMID32681824,2664
CAG Length-Dependent Genes In iSPNs Of HD Mice Genes Down-Regulated In PMID32681824,726
CAG Length-Dependent Genes In iSPNs Of HD Mice Genes Up-Regulated In PMID32681824,1398
CAG Length-Dependent Genes In iSPNs Of HD Mice PMID32681824,2119
