Pathway,Count
MRT67307,172
Sorafenib,106
WZ4003,92
AZ-628,72
Motesanib,6
Torin1,83
KIN001-111,121
Dabrafenib,195
CGP60474,20
Barasertib,85
CGP74514A,233
Fedratinib,5
NVP-TAE684,24
KIN001-021,9
WH-4-023,198
XMD14-99,51
HG-5-113-01,157
JNK-9L,145
XMD13-2,77
MPS-1-IN-1,37
Palbociclib,184
XMD16-144,160
AS-252424,41
CP724714,21
Nintedanib,21
HG-6-64-01,210
NPK76-II-72-1,29
NU7441,16
JNK-IN-8,32
AC220,5
AS601245,41
AZD 5438,258
ALW-II-38-3,37
Omipalisib,49
R406,234
A443654,134
Alpelisib,11
Pictilisib,8
WZ-4-145,64
WYE-125132,18
HG-14-8-02,93
BMX-IN-1,42
Afatinib,3
Bosutinib,27
Taselisib,7
RO-3306,122
AZD4547,209
Torin2,32
BMS-536924,184
Dovitinib,5
THZ1,289
AZD7762,302
Neratinib,60
Sunitinib,14
Canertinib,10
XMD8-92,13
Alvocidib,4
PI103,3
Lapatinib,2
BGJ398,44
SP600125,75
Ceritinib,58
WH-4-025,95
CG-930,36
WZ3105,110
GW843682X,89
Imatinib,3
XMD15-27,117
GW-5074,101
Abemaciclib,136
JNK-IN-11,103
SCH772984,52
XMD-12,59
Vandetanib,3
PHA-793887,86
QL-XI-92,22
HG-9-91-01,213
Nilotinib,2
ALW-II-49-7,29
CP466722,228
Ribociclib,14
KIN001-127,54
HG-14-10-04,268
Crizotinib,7
GSK461364,110
Dinaciclib,75
PD173074,18
BMS345541,40
SB590885,50
PHA-767491,178
JWE-035,128
Dactolisib,16
KIN001-123,44
BI-2536,38
OTSSP167,298
ERK5-IN-1,13
JNK-IN-5A,9
XMD11-85h,10
CH5424802,86
Momelotinib,122
WZ-7043,27
XMD11-50,47
Gefitinib,1
TAK-715,73
Pazopanib,4
PLX-4720,106
Torkinib,210
BX-912,285
Foretinib,45
5z-7-oxozeaenol,47
Sigma A6730,13
Doramapimod,6
Lestaurtinib,68
GSK1838705A,6
NG25,131
Tofacitinib,4
BS-181,36
Baricitinib,203
Ruxolitinib,4
JW-7-24-1,81
AZD-6482,9
KIN001-220,190
GSK1059615,165
PKC412,5
KW2449,7
ZG-10,100
Erlotinib,2
AT-7519,9
Vemurafenib,89
QL-X-138,93
Ibrutinib,57
AG1478,123
ZSTK474,7
Seliciclib,35
Ki20227,6
WZ4002,98
Buparlisib,10
BI-D1870,164
GSK 690693,9
(s)-CR8,16
HG-5-88-01,68
Linifanib,8
ZM-447439,91
MLN8054,96
XMD8-85,48
Dasatinib,38
KU63794,10
Masitinib,5
Tozasertib,8
QL-XII-47,8
PD0325901,11
GSK429286A,48
