Pathway,Count
Absorptive (id:32),85
Abt Entry (id:33),108
Activated Dc (id:34),123
Adipocyte (id:35),100
Afferent Arteriole Endothelial Cell (id:39),102
Airway Smooth Muscle (id:41),99
Alveolar Macrophage (id:42),100
Arterial Endothelial Cell (id:45),101
Arteriole Endothelial Cell (id:46),100
Ascending Thin Limb Cell (id:48),104
Ascending Vasa Recta Endothelial Cell (id:49),101
Astro L1 Fgfr3 Serpini2 (id:50),96
Astro L1-6 Fgfr3 Aqp1 (id:51),93
Astro L1-6 Fgfr3 Plcg1 (id:52),100
At1 (id:53),99
At2 (id:54),100
B Cell (id:57),100
Basal (id:60),99
Basal Cells Of Terminal Ciliated Ducts Of Submucosal Glands (id:65),102
Basophil (id:66),104
Blood Endothelial Cell (id:68),102
Blood Vessel Endothelial Cell (id:71),107
Bronchial Ciliated (id:73),97
Bronchial Serous Cell (id:75),102
Bronchial Smooth Muscle Cell (id:76),98
Bronchioalveolar Stem Cell (id:77),98
Brush (id:78),98
Cap1 (id:79),102
Cap2 (id:80),101
Cardiomyocyte (id:84),96
Cd14 Monocyte (id:86),100
Cd16 Monocyte (id:87),105
Cd4 Naive (id:88),102
Cd4 T Cell Effector Memory Cd45Ra (id:89),110
Cd4 T Cell Memory (id:90),116
Cd4+ T Cell (id:95),100
Cd4+ T Cell Central Memory (id:96),101
Cd4+ T Cell Naive (id:98),99
Cd4+ T Single Positive (id:99),126
Cd56 Bright Natural Killer (id:100),100
Cd8 Naive (id:102),102
Cd8 T Cell Effector Memory (id:103),102
Cd8 T Cell Effector Memory Cd45Ra (id:104),102
Cd8 T Cell Memory (id:105),104
Cd8+ T Cell (id:107),99
Cd8+ T Cell Central Memory (id:108),101
Cd8+ T Cell Naive (id:110),100
Cd8+ T Single Positive (id:111),123
Cdc1 Myeloid Dendritic Cell (id:112),101
Cdc2 Myeloid Dendritic Cell (id:113),101
Centroblast (id:114),102
Centrocyte (id:115),102
Ciliated Bronchial Cell (id:117),98
Classical Monocyte (id:119),102
Club (id:120),99
Collecting Duct Intercalated Cell (id:122),100
Collecting Duct Intercalated Cell Type A (id:123),90
Collecting Duct Principal Cell (id:124),103
Common Lymphoid Progenitor (Clp) (id:126),104
Common Myeloid Progenitor (Cmp) (id:127),99
Connecting Tubule Cell (id:128),101
Connecting Tubule Intercalated Cell (id:129),101
Connecting Tubule Intercalated Cell Type A (id:130),95
Connecting Tubule Intercalated Cell Type B (id:131),99
Connective Tissue Mast Cell (id:133),101
Conventional Dc (id:134),111
Cortical Collecting Duct Intercalated Cell Type A (id:135),99
Cortical Collecting Duct Intercalated Cell Type B (id:136),100
Cortical Thick Ascending Limb Cell (id:138),93
Cortical Thymic Epithelial Cell (id:139),107
Cytotoxic T Cell (id:141),99
Dendritic Cell (id:145),101
Dendritic Cell Type 1 (Dc1) (id:155),101
Dendritic Cell Type 2 (Dc2) (id:156),101
Dendritic Cell Type 3 (Dc3) (id:157),101
Dendritic Cells-Cdc1 (id:158),102
Dendritic Cells-Cdc2 (id:160),99
Descending Thin Limb Cell (id:161),101
Descending Thin Limb Cell Type 1 (id:162),103
Descending Thin Limb Cell Type 2 (id:163),103
Descending Thin Limb Cell Type 3 (id:164),103
Descending Vasa Recta Endothelial Cell (id:165),100
Distal Convoluted Tubule Cell (id:166),98
Distal Convoluted Tubule Cell Type 1 (id:167),99
Distal Convoluted Tubule Cell Type 2 (id:168),101
Dn Thymocyte (id:169),110
Dp Thymocyte (id:170),112
Early Erythroid (id:171),100
Early Megakaryocyte (Mk) (id:172),103
Endo L2-5 Nostrin Srgn (id:176),95
Endothelial Cell (id:177),96
Endothelial Progenitors (id:182),101
Eosinophil (id:185),103
Epithelial Stem Cell (id:188),101
Erythroid (id:190),99
Etp (Early Thymic Progenitor) (id:192),110
Exc L2 Lamp5 Kcng3 (id:193),97
Exc L2 Linc00507 Atp7B (id:194),98
Exc L2-3 Linc00507 Dsg3 (id:196),100
Exc L2-3 Rorb Ccdc68 (id:197),98
Exc L2-3 Rorb Ptpn3 (id:198),97
Exc L2-3 Rorb Rtkn2 (id:199),101
Exc L3 Lamp5 Carm1P1 (id:200),99
Exc L3 Rorb Otogl (id:201),99
Exc L3 Themis Enpep (id:202),98
Exc L3-5 Fezf2 Asgr2 (id:203),68
Exc L3-5 Fezf2 Linc01107 (id:204),99
Exc L3-5 Rorb Lnx2 (id:207),99
Exc L3-5 Rorb Rprm (id:208),100
Exc L3-5 Rorb Tnnt2 (id:209),98
Exc L5 Fezf2 Csn1S1 (id:210),101
Exc L5 Fezf2 Nrep-As1 (id:211),100
Exc L5 Fezf2 Pkd2L1 (id:212),98
Exc L5 Fezf2 Rnf144A-As1 (id:213),101
Exc L5 Rorb Med8 (id:214),98
Exc L5 Themis Fgf10 (id:215),98
Exc L5 Themis Rgpd6 (id:217),101
Exc L5 Themis Slc22A18 (id:218),96
Exc L5 Themis Vill (id:219),101
Exc L5-6 Fezf2 C9Orf135-As1 (id:220),102
Exc L5-6 Fezf2 Cftr (id:221),100
Exc L5-6 Fezf2 Filip1L (id:222),101
Exc L5-6 Fezf2 Or1L8 (id:225),102
Exc L5-6 Fezf2 Sh2D1B (id:226),100
Exc L5-6 Themis Smyd1 (L6 It Car3) (id:227),98
Exc L5-6 Themis Tnfaip6 (id:228),103
Exc L6 Fezf2 Klk7 (id:230),97
Exc L6 Fezf2 Pdyn (id:231),98
Exc L6 Fezf2 Pogk (id:232),96
Exc L6 Fezf2 Prokr2 (id:233),101
Exc L6 Themis Linc00343 (id:234),85
Exc L6 Themis Sln (id:235),97
Fibroblast (id:237),101
Fibroblast Type 1 (id:242),104
Fibroblastic Reticular Cell (id:243),103
Fibroblasts Type 2 (id:245),99
Follicular Dendritic Cell (id:246),104
Gamma/Delta T Cells (id:248),103
Gd T Cell (id:250),107
Glomerular Capillary Endothelial Cell (id:253),102
Goblet (id:256),97
Granulocyte-Macrophage Progenitor Cell (Gmp) (id:259),99
Hemopoietic Stem Cell (Hsc) (id:261),104
Ilc (id:262),104
Ilv High Endothelial Venule Endothelium (id:264),95
Immature B Cell (id:265),98
Inh L1 Lamp5 Bmp2 (id:267),101
Inh L1 Lamp5 Nmbr (id:268),102
Inh L1 Lamp5 Pvrl2 (id:269),102
Inh L1 Lamp5 Rab11Fip1 (id:270),102
Inh L1 Pax6 Chrfam7A (id:271),99
Inh L1 Pax6 Mir101-1 (id:272),97
Inh L1 Pvalb Sst Asic4 (id:273),100
Inh L1 Sst Defb108B (id:274),102
Inh L1 Sst P4Ha3 (id:275),101
Inh L1 Vip Klhdc8B (id:276),99
Inh L1-2 Pvalb Cdk20 (id:277),101
Inh L1-2 Sst Ccnjl (id:278),98
Inh L1-2 Sst Clic6 (id:279),100
Inh L1-2 Vip Exph5 (id:281),98
Inh L1-2 Vip Htr3A (id:282),94
Inh L1-2 Vip Ptger3 (id:283),102
Inh L1-2 Vip Scml4 (id:284),99
Inh L1-2 Vip Wnt4 (id:285),101
Inh L1-3 Sst Fam20A (id:286),101
Inh L1-3 Vip Cbln1 (id:287),96
Inh L1-3 Vip Chrna2 (id:288),97
Inh L1-3 Vip Fndc1 (id:289),101
Inh L1-3 Vip Hspb6 (id:290),101
Inh L1-5 Vip Cd27-As1 (id:291),99
Inh L1-5 Vip Linc01013 (id:292),100
Inh L1-5 Vip Phldb3 (id:293),100
Inh L1-5 Vip Smoc1 (id:294),102
Inh L1-6 Lamp5 Aard (id:295),100
Inh L1-6 Lamp5 Ca1 (id:296),98
Inh L1-6 Lamp5 Nes (id:297),103
Inh L1-6 Pvalb Col15A1 (Chandelier) (id:298),98
Inh L1-6 Sst Npy (Sset Chodl) (id:299),99
Inh L1-6 Vip Slc7A6Os (id:300),93
Inh L2 Pax6 Frem2 (id:301),95
Inh L2 Pvalb Frzb (id:302),97
Inh L2 Vip Slc6A16 (id:303),101
Inh L2-3 Sst Nmu (id:304),99
Inh L2-5 Pvalb Hhipl1 (id:305),99
Inh L2-5 Pvalb Rph3Al (id:306),99
Inh L2-5 Vip Bspry (id:307),101
Inh L2-5 Vip Sox11 (id:308),100
Inh L3 Pvalb Samd13 (id:309),97
Inh L3-5 Pvalb Isg20 (id:310),97
Inh L3-5 Sst Cdh3 (id:311),102
Inh L3-5 Sst Ggtlc3 (id:312),96
Inh L3-5 Sst Or5Ah1P (id:313),101
Inh L3-5 Vip Hs3St3A1 (id:314),100
Inh L3-5 Vip Igdcc3 (id:315),76
Inh L3-5 Vip Tac3 (id:316),97
Inh L3-6 Pax6 Linc01497 (id:317),99
Inh L3-6 Vip Ug0898H09 (id:318),102
Inh L3-6 Vip Zim2-As1 (id:319),100
Inh L5 Pvalb Lrig3 (id:320),102
Inh L5 Sst Rpl35Ap11 (id:321),101
Inh L5-6 Lamp5 Crabp1 (id:322),101
Inh L5-6 Pvalb Fam150B (id:323),99
Inh L5-6 Pvalb Gapdhp60 (id:324),103
Inh L5-6 Pvalb Kcnip2 (id:325),102
Inh L5-6 Pvalb Mepe (id:326),103
Inh L5-6 Pvalb Sst Crhr2 (id:327),98
Inh L5-6 Pvalb Zfpm2-As1 (id:328),101
Inh L5-6 Sst Bean1 (id:329),103
Inh L5-6 Sst C4Orf26 (id:330),101
Inh L5-6 Sst Dnajc14 (id:331),98
Inh L5-6 Sst Fbn2 (id:332),100
Inh L5-6 Sst Isx (id:333),96
Inh L5-6 Sst Klhl1 (id:334),100
Inh L5-6 Sst Pawr (id:335),99
Inh L5-6 Sst Pik3Cd (id:336),101
Inh L5-6 Vip Col4A3 (id:337),100
Inner Medullary Collecting Duct Cell (id:343),77
Intercalated Cell Type B (id:344),95
Interdigitating Dendritic Cell (id:346),102
Interstitial Macrophage (id:348),101
Ionocyte (id:349),95
Juxtaglomerular Granular Cell (Renin Positive) (id:351),100
Late Erythroid (id:362),97
Lung Matrix Fibroblast 2 (id:364),99
Lung Megakaryocyte (id:365),95
Lymphatic Endothelial Cell (id:367),105
Lymphatic Endothelial Cell -Subcapsular Sinus Ceiling (id:371),99
Lymphatic Endothelial Cell Of Medulla Ceiling (id:372),103
Lymphatic Endothelial Cell-Subcapsular Sinus Floor (id:373),104
Lymphatic Vessel Smooth Muscle Cell (id:378),100
Lympho-Myeloid Progenitor Cell (Lmpp) (id:379),103
Lymphocyte (id:380),99
Macrophage (id:382),103
Macrophage-Resident (id:388),102
Macula Densa Cell (id:390),98
Mantle Zone B Cell (id:392),98
Marginal B Cell (id:393),99
Mast Cell (id:394),106
Matrix Fibroblast 1/(Lipofibroblast) (id:398),98
Mature Cd8 T Cell (id:400),104
Mature Natural Killer (id:401),101
Me(M)P (id:402),107
Medullary Thick Ascending Limb Cell (id:403),104
Medullary Thymic Epithelial Cell (id:404),163
Megakaryocyte (Mk) (id:405),99
Melanocyte (id:406),95
Memory B Cell (id:408),105
Memory Cd4+ T Cell (id:411),101
Memory Cd8+ T Cell (id:413),103
Mesangial Cell (id:417),102
Mesothelial Cell (id:418),99
Micro L1-6 Tyrobp Cd74 (id:421),99
Mid Erythroid (id:422),94
Monocyte (id:423),103
Monocytoid B-Cell (id:427),99
Mucosal Invariant T Cell (Mait) (id:428),100
Multipotent Progenitor Cell (Mpp) (id:429),100
Myelocyte (id:431),103
Myeloid Progenitor (Mop) (id:432),103
Myofibroblast (id:436),100
Naive B Cell (id:441),99
Naive Cd4+ T Cell (id:445),100
Naive Cd8+ T Cell (id:447),101
Natural Killer (id:448),101
Natural Killer Cell (id:449),100
Natural Killer T Cell (id:452),100
Nerve (id:453),100
Neuroendocrine (id:456),98
Neuroendocrine Cell (id:458),99
Neuroendocrine Cells (id:459),102
Neuronal (id:462),99
Neutrophil (id:464),99
Nk Cd56Bright (id:468),98
Nk Cell (id:469),101
Nkt Cell (id:473),104
