Pathway,Count
creatine-phosphate biosynthesis Homo sapiens PWY-6158,5
mitochondrial L-carnitine shuttle Homo sapiens PWY-6111,5
pyridoxal 5'-phosphate salvage Homo sapiens PLPSAL-PWY,5
protein ubiquitylation Homo sapiens PWY-7511,44
protein citrullination Homo sapiens PWY-4921,5
inositol pyrophosphates biosynthesis Homo sapiens PWY-6369,7
1D-myo-inositol hexakisphosphate biosynthesis II (mammalian) Homo sapiens PWY-6362,15
"D-myo-inositol (1,3,4)-trisphosphate biosynthesis Homo sapiens PWY-6364",15
"superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism Homo sapiens PWY-6358",20
"D-myo-inositol (1,4,5)-trisphosphate degradation Homo sapiens PWY-6363",13
3-phosphoinositide degradation Homo sapiens PWY-6368,20
superpathway of inositol phosphate compounds Homo sapiens PWY-6371,68
3-phosphoinositide biosynthesis Homo sapiens PWY-6352,27
"D-myo-inositol (1,4,5)-trisphosphate biosynthesis Homo sapiens PWY-6351",25
D-myo-inositol-5-phosphate metabolism Homo sapiens PWY-6367,19
phospholipases Homo sapiens LIPASYN-PWY,38
superpathway of cholesterol biosynthesis Homo sapiens PWY66-5,25
cholesterol biosynthesis III (via desmosterol) Homo sapiens PWY66-4,13
cholesterol biosynthesis I Homo sapiens PWY66-341,13
"cholesterol biosynthesis II (via 24,25-dihydrolanosterol) Homo sapiens PWY66-3",13
zymosterol biosynthesis Homo sapiens PWY-6074,6
ketogenesis Homo sapiens PWY66-367,5
mevalonate pathway Homo sapiens PWY-922,10
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) Homo sapiens PWY-5910,12
GDP-mannose biosynthesis Homo sapiens PWY-5659,6
TCA cycle Homo sapiens PWY66-398,17
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle Homo sapiens PWY66-407,46
glycolysis Homo sapiens PWY66-400,24
gluconeogenesis Homo sapiens PWY66-399,24
sucrose degradation Homo sapiens PWY66-373,8
GDP-glucose biosynthesis II Homo sapiens PWY-5661-1,6
glycogen biosynthesis Homo sapiens PWY-5067,8
glycogenolysis Homo sapiens PWY-5941,9
D-galactose degradation V (Leloir pathway) Homo sapiens PWY66-422,6
UDP-N-acetyl-D-glucosamine biosynthesis II Homo sapiens UDPNACETYLGALSYN-PWY,5
UDP-N-acetyl-D-galactosamine biosynthesis II Homo sapiens PWY-5514,9
methionine salvage cycle III Homo sapiens PWY-7527,10
cysteine biosynthesis Homo sapiens PWY-6292,6
pyruvate decarboxylation to acetyl CoA Homo sapiens PYRUVDEHYD-PWY,5
superpathway of methionine degradation Homo sapiens PWY-5328,17
2-oxobutanoate degradation Homo sapiens PWY-5130,8
threonine degradation Homo sapiens PWY66-428,6
leucine degradation Homo sapiens LEU-DEG2-PWY,12
isoleucine degradation Homo sapiens ILEUDEG-PWY,12
valine degradation Homo sapiens VALDEG-PWY,13
GABA shunt Homo sapiens GLUDEG-I-PWY,7
glutathione redox reactions I Homo sapiens PWY-4081,6
reactive oxygen species degradation Homo sapiens DETOX1-PWY-1,11
palmitate biosynthesis Homo sapiens PWY-5994,7
