Pathway,Count
Abnormality of B cell number (HP:0010975),9
B lymphocytopenia (HP:0010976),8
Hypobetalipoproteinemia (HP:0003563),8
Gastrointestinal atresia (HP:0002589),17
Birth length less than 3rd percentile (HP:0003561),8
Peritonitis (HP:0002586),8
Abnormality of the peritoneum (HP:0002585),17
Colitis (HP:0002583),12
Volvulus (HP:0002580),8
Elevated erythrocyte sedimentation rate (HP:0003565),8
Obsessive-compulsive behavior (HP:0000722),36
Dementia (HP:0000726),77
Abnormal eating behavior (HP:0100738),22
Generalized aminoaciduria (HP:0002909),8
Conjugated hyperbilirubinemia (HP:0002908),8
Muscular dystrophy (HP:0003560),34
Hyponatremia (HP:0002902),20
Hypocalcemia (HP:0002901),36
Hypokalemia (HP:0002900),24
Hypertensive crisis (HP:0100735),16
Hyperphosphatemia (HP:0002905),14
Hyperbilirubinemia (HP:0002904),36
Flat acetabular roof (HP:0003180),10
Upper limb amyotrophy (HP:0009129),11
Breast hypoplasia (HP:0003187),10
Long nose (HP:0003189),12
Aplasia/Hypoplasia involving the sinuses (HP:0009120),12
Abnormality of the femoral head (HP:0003368),28
Spina bifida occulta (HP:0003298),44
Abdominal situs inversus (HP:0003363),10
Hemorrhage of the eye (HP:0011885),12
Abnormality of the vitreous humor (HP:0004327),32
Abnormal isoelectric focusing of serum transferrin (HP:0003160),20
Elevated circulating parathyroid hormone (PTH) level (HP:0003165),9
Embryonal renal neoplasm (HP:0011794),21
Abnormal umbilical cord blood vessels (HP:0011403),10
Action tremor (HP:0002345),9
Progressive neurologic deterioration (HP:0002344),21
Abnormality of placental membranes (HP:0011409),9
"Intellectual disability, moderate (HP:0002342)",22
Impaired vibration sensation in the lower limbs (HP:0002166),16
Low posterior hairline (HP:0002162),49
Calf muscle hypertrophy (HP:0008981),8
Scanning speech (HP:0002168),8
Cutaneous melanoma (HP:0012056),8
Sepsis (HP:0100806),50
Constipation (HP:0002019),170
Nausea (HP:0002018),12
Aplasia/Hypoplasia of the earlobes (HP:0009906),27
Vomiting (HP:0002013),108
Dysphagia (HP:0002015),117
Pancreatic fibrosis (HP:0100732),16
Attenuation of retinal blood vessels (HP:0007843),21
Transposition of the great arteries (HP:0001669),19
Ventricular fibrillation (HP:0001663),10
Bradycardia (HP:0001662),20
Opisthotonus (HP:0002179),17
Truncus arteriosus (HP:0001660),16
Abnormality of the distal phalanx of the thumb (HP:0009617),15
Ankle contracture (HP:0006466),10
Generalized hyperpigmentation (HP:0007440),28
Abnormality of the aortic arch (HP:0012303),9
Bowing of the arm (HP:0006488),19
Abnormality of primary teeth (HP:0006481),33
Abnormality of the dental root (HP:0006486),19
Concave nail (HP:0001598),8
Bell-shaped thorax (HP:0001591),10
Selective tooth agenesis (HP:0001592),11
Neoplasm of striated muscle (HP:0009728),18
Striae distensae (HP:0001065),15
Adenoma sebaceum (HP:0009720),17
Acne (HP:0001061),33
Acrocyanosis (HP:0001063),31
Bladder neoplasm (HP:0009725),24
Ureteral obstruction (HP:0006000),15
Broad phalanx (HP:0006009),36
Aplasia/Hypoplasia affecting the fundus (HP:0008057),39
Abnormal cartilage morphology (HP:0002763),16
Abnormality of the vasculature of the conjunctiva (HP:0008054),13
Aplasia of the musculature (HP:0100854),8
Aplasia/Hypoplasia of the macula (HP:0008059),13
Aplasia/Hypoplasia of the optic nerve (HP:0008058),28
Venous insufficiency (HP:0005293),27
Tetany (HP:0001281),11
Bulbar palsy (HP:0001283),19
Spastic tetraparesis (HP:0001285),14
Meningitis (HP:0001287),49
Radial deviation of finger (HP:0009466),229
Confusion (HP:0001289),14
Abnormality of the hip-girdle musculature (HP:0001445),11
Aplasia/Hypoplasia of the scapulae (HP:0006713),18
Aplasia/Hypoplasia of the clavicles (HP:0006710),21
Hereditary nonpolyposis colorectal carcinoma (HP:0006716),23
Aplasia/Hypoplasia of the sternum (HP:0006714),13
Chorioretinal atrophy (HP:0000533),11
Overlapping toe (HP:0001845),10
Preaxial foot polydactyly (HP:0001841),23
Metatarsus adductus (HP:0001840),22
Mildly elevated creatine phosphokinase (HP:0008180),15
Abnormality of the renal collecting system (HP:0004742),9
Aplasia/hypoplasia of the femur (HP:0005613),25
Ragged-red muscle fibers (HP:0003200),12
Accelerated skeletal maturation (HP:0005616),39
Gingival bleeding (HP:0000225),20
Astrocytoma (HP:0009592),11
Broad ribs (HP:0000885),13
Cupped ribs (HP:0000887),11
Hypoplastic scapulae (HP:0000882),18
Thin ribs (HP:0000883),18
Progressive sensorineural hearing impairment (HP:0000408),12
Macroglossia (HP:0000158),40
Macrotia (HP:0000400),105
Reduced subcutaneous adipose tissue (HP:0003758),11
Stenosis of the external auditory canal (HP:0000402),8
Recurrent otitis media (HP:0000403),43
Wide mouth (HP:0000154),86
Erectile abnormalities (HP:0100639),32
Hypochromic anemia (HP:0001931),16
Microcytic anemia (HP:0001935),25
Abnormality of hair growth rate (HP:0011363),24
Neoplasm of the adrenal gland (HP:0100631),16
Neuroendocrine neoplasm (HP:0100634),9
Patchy hypopigmentation of hair (HP:0011365),11
Absent toe (HP:0010760),34
Palmar hyperkeratosis (HP:0010765),24
Difficulty running (HP:0009046),10
Horseshoe kidney (HP:0000085),24
Ectopic kidney (HP:0000086),15
Hamartoma (HP:0010566),29
Duplicated collecting system (HP:0000081),8
Hamartoma of the eye (HP:0010568),13
Juvenile onset (HP:0003621),88
Renal hypoplasia (HP:0000089),32
Neonatal onset (HP:0003623),23
Hematochezia (HP:0002573),8
Testicular neoplasm (HP:0010788),16
Tracheoesophageal fistula (HP:0002575),66
Erythema (HP:0010783),24
Hyperacusis (HP:0010780),10
Gastrointestinal dysmotility (HP:0002579),23
Uterine neoplasm (HP:0010784),38
Aggressive behavior (HP:0000718),72
Inappropriate behavior (HP:0000719),17
Depression (HP:0000716),35
Autism (HP:0000717),109
Restlessness (HP:0000711),20
Emotional lability (HP:0000712),43
Agitation (HP:0000713),12
Congenital sensorineural hearing impairment (HP:0008527),10
Cortical visual impairment (HP:0100704),16
Radioulnar synostosis (HP:0002974),46
Abnormality of the astrocytes (HP:0100707),11
Abnormal ventriculo-arterial connection (HP:0011563),19
Short thorax (HP:0010306),43
Short nose (HP:0003196),146
Hand muscle atrophy (HP:0009130),9
Flat face (HP:0012368),27
Pulmonary artery stenosis (HP:0004415),13
Thrombophlebitis (HP:0004418),39
Decreased muscle mass (HP:0003199),18
Adrenal overactivity (HP:0002717),30
Downturned corners of mouth (HP:0002714),50
Steppage gait (HP:0003376),23
Flat capital femoral epiphysis (HP:0003370),8
Protrusio acetabuli (HP:0003179),9
Vertebral clefting (HP:0008428),13
Abnormality of the acetabulum (HP:0003170),33
Abnormality of the pubic bones (HP:0003172),15
Hypoplastic ischia (HP:0003175),8
Abnormality of the ischium (HP:0003174),9
Abnormality of the fetal cardiovascular system (HP:0010948),10
Loss of speech (HP:0002371),12
Febrile seizures (HP:0002373),14
Diminished movement (HP:0002374),19
Hypokinesia (HP:0002375),11
Arthrogryposis multiplex congenita (HP:0002804),65
Increased serum ferritin (HP:0003281),17
Hypercalciuria (HP:0002150),40
Overriding aorta (HP:0002623),10
Hyperkalemia (HP:0002153),14
Hyperglycinemia (HP:0002154),9
Hypertriglyceridemia (HP:0002155),30
Venous abnormality (HP:0002624),34
Deep venous thrombosis (HP:0002625),9
Degeneration of anterior horn cells (HP:0002398),8
Lower limb hyperreflexia (HP:0002395),13
Follicular hyperkeratosis (HP:0007502),8
Decreased testicular size (HP:0008734),42
Pendular nystagmus (HP:0012043),10
Focal motor seizures (HP:0011153),8
Annular pancreas (HP:0001734),9
Chronic diarrhea (HP:0002028),16
Abnormality of the epiphyses of the phalanges of the hand (HP:0005920),23
Abnormal ossification of hand bones (HP:0005921),20
Abdominal pain (HP:0002027),125
Abnormality of the epiphyses of the hand (HP:0005924),26
Pyloric stenosis (HP:0002021),61
Anal atresia (HP:0002023),39
Dysphonia (HP:0001618),16
Nasolacrimal duct obstruction (HP:0000579),13
Weak cry (HP:0001612),16
Nasal speech (HP:0001611),21
Abnormality of the alveolar ridges (HP:0006477),18
Abnormality of the pancreatic islet cells (HP:0006476),14
Deviation of the thumb (HP:0009603),24
Abnormality of the dental pulp (HP:0006479),21
Fibrous tissue neoplasm (HP:0012316),32
Abnormality of femoral epiphyses (HP:0006499),28
Aplasia/Hypoplasia of the patella (HP:0006498),28
Aplasia/Hypoplasia of the fibula (HP:0006492),19
Aplasia/Hypoplasia of the ulna (HP:0006495),28
Cryptorchidism (HP:0000028),379
Absent hand (HP:0004050),14
Cerebellar hypoplasia (HP:0001321),67
Seborrheic dermatitis (HP:0001051),16
Thickened nuchal skin fold (HP:0000474),35
Hypopigmented skin patches (HP:0001053),93
Milia (HP:0001056),14
Aplasia cutis congenita (HP:0001057),10
Metabolic alkalosis (HP:0200114),10
Pterygium (HP:0001059),17
Glioma (HP:0009733),14
Hypoplastic labia majora (HP:0000059),13
Inguinal hernia (HP:0000023),82
Septo-optic dysplasia (HP:0100842),11
Depressed nasal bridge (HP:0005280),228
Supraventricular arrhythmia (HP:0005115),37
Arterial tortuosity (HP:0005116),8
Dilatation of the ascending aorta (HP:0005111),27
Atrial fibrillation (HP:0005110),32
Aplasia/Hypoplasia of the nipples (HP:0006709),30
Abnormality of the shoulder girdle musculature (HP:0001435),36
Hepatosplenomegaly (HP:0001433),25
Abnormality of the calf musculature (HP:0001430),18
Abnormality of the hepatic vasculature (HP:0006707),28
Cystic liver disease (HP:0006706),20
Short tibia (HP:0005736),11
Aplasia/Hypoplasia of the phalanges of the toes (HP:0010173),13
Polycythemia (HP:0001901),14
Overgrowth (HP:0001548),14
Abnormality of the ileum (HP:0001549),21
Everted lower lip vermilion (HP:0000232),74
Gingivitis (HP:0000230),22
Diastasis recti (HP:0001540),11
Ascites (HP:0001541),56
Anteriorly placed anus (HP:0001545),11
Vaginal atresia (HP:0000148),25
Abnormality of the nasal septum (HP:0000419),10
Recurrent gram-negative bacterial infections (HP:0005420),10
Rectovaginal fistula (HP:0000143),9
Bulbous nose (HP:0000414),31
Atresia of the external auditory canal (HP:0000413),40
Protruding ear (HP:0000411),35
Mixed hearing impairment (HP:0000410),16
Ketosis (HP:0001946),28
Renal tubular acidosis (HP:0001947),18
Dehydration (HP:0001944),56
Metabolic acidosis (HP:0001942),61
Chronic hepatic failure (HP:0100626),8
Alkalosis (HP:0001948),21
Hypokalemic alkalosis (HP:0001949),11
Glomerulonephritis (HP:0000099),12
Anomalous pulmonary venous return (HP:0010772),8
Proteinuria (HP:0000093),115
Tubular atrophy (HP:0000092),13
Nephronophthisis (HP:0000090),23
Focal segmental glomerulosclerosis (HP:0000097),19
Glomerulosclerosis (HP:0000096),24
Progressive visual loss (HP:0000529),29
Anophthalmia (HP:0000528),19
Abnormality of the epiphysis of the femoral head (HP:0010574),26
Absent epiphyses (HP:0010577),12
Subcapsular cataract (HP:0000523),13
Alacrima (HP:0000522),10
Long eyelashes (HP:0000527),25
Conjunctival telangiectasia (HP:0000524),11
Intestinal malrotation (HP:0002566),53
Bicornuate uterus (HP:0000813),16
Amelogenesis imperfecta (HP:0000705),14
Periodontitis (HP:0000704),14
Psychosis (HP:0000709),45
Abnormality of the lumbar spine (HP:0100712),11
Abnormality of the thoracic spine (HP:0100711),18
Impulsivity (HP:0100710),12
Microtia (HP:0008551),42
Cubitus valgus (HP:0002967),22
Abnormal delayed hypersensitivity skin test (HP:0002963),11
Malnutrition (HP:0004395),9
Supernumerary bones of the axial skeleton (HP:0009144),14
Ectopic anus (HP:0004397),31
Aplasia/Hypoplasia of the breasts (HP:0010311),33
Synostosis involving bones of the feet (HP:0009140),30
Aplasia/Hypoplasia of the abdominal wall musculature (HP:0010318),55
Chronic bronchitis (HP:0004469),12
Onion bulb formation (HP:0003383),25
Decreased number of peripheral myelinated nerve fibers (HP:0003380),31
Decreased number of large peripheral myelinated nerve fibers (HP:0003387),10
Abnormality of skull ossification (HP:0002703),28
Easy fatigability (HP:0003388),18
Impaired vibratory sensation (HP:0002495),30
Increased CSF lactate (HP:0002490),47
Tubulointerstitial fibrosis (HP:0005576),13
Visual hallucinations (HP:0002367),8
Abnormality of the lower motor neuron (HP:0002366),8
Hypoplasia of the brainstem (HP:0002365),32
Coxa vara (HP:0002812),23
Abnormality of chloride homeostasis (HP:0011422),14
Genu recurvatum (HP:0002816),18
