Pathway,Count
14-3-3 domain,7
"2-5-oligoadenylate synthetase, N-terminal",5
2Fe-2S ferredoxin-type iron-sulfur binding domain,6
3'-5' exonuclease domain,5
"3'5'-cyclic nucleotide phosphodiesterase, catalytic domain",21
3-beta hydroxysteroid dehydrogenase/isomerase,6
"3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal",5
"4Fe-4S ferredoxin-type, iron-sulphur binding domain",5
AAA+ ATPase domain,135
"ABC transporter type 1, transmembrane domain",27
ABC transporter-like,49
ABC-2 type transporter,5
"ADAM, cysteine-rich domain",28
ADAM-TS Spacer 1,23
"AGC-kinase, C-terminal",55
AIG1-type guanine nucleotide-binding (G) domain,8
"AMP-binding enzyme, C-terminal domain",18
AMP-dependent synthetase/ligase,30
"AP complex, mu/sigma subunit",15
"APBB1IP, PH domain",5
APC10/DOC domain,7
ARID DNA-binding domain,15
"ATP-dependent helicase, C-terminal",6
ATP-grasp fold,13
"ATP:guanido phosphotransferase, N-terminal",5
"ATP:guanido phosphotransferase, catalytic domain",5
"ATPase, AAA-type, core",48
"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain",5
"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain",5
AWS domain,5
Actin-depolymerising factor homology domain,10
Activin types I and II receptor domain,9
Acyl-CoA dehydrogenase/oxidase C-terminal,12
"Acyl-CoA dehydrogenase/oxidase, N-terminal",11
"Acyl-CoA oxidase/dehydrogenase, central domain",15
"Acyl-CoA-binding protein, ACBP",7
"Acyltransferase, C-terminal domain",5
Adenosine deaminase/editase,6
Adenosine/AMP deaminase domain,6
"Adenylate cyclase, N-terminal",8
"Adenylate cyclase, conserved domain",6
Adenylyl cyclase class-3/4/guanylyl cyclase,19
"Alcohol dehydrogenase, C-terminal",15
"Alcohol dehydrogenase, N-terminal",15
Aldehyde dehydrogenase domain,19
Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant,5
Alpha carbonic anhydrase domain,18
Alpha crystallin/Hsp20 domain,11
Alpha-2-macroglobulin,13
"Alpha-2-macroglobulin, bait region domain",12
"Alpha-D-phosphohexomutase, alpha/beta/alpha domain I",5
"Alpha-amylase, C-terminal domain",5
"Alpha-amylase/branching enzyme, C-terminal all beta",6
Alpha-defensin,6
Alpha-ketoglutarate-dependent dioxygenase AlkB-like,7
"Alpha-macroglobulin, receptor-binding",12
"Alpha-macroglobulin-like, TED domain",13
Alpha/beta hydrolase fold-1,28
Alpha/beta hydrolase fold-3,7
Amidohydrolase-related,11
Amine oxidase,10
Amino acid permease/ SLC12A domain,9
"Amino acid transporter, transmembrane domain",17
"Aminoacyl-tRNA synthetase, class II",17
"Aminoacyl-tRNA synthetase, class II (D/K/N)",5
"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)",8
"Aminoacyl-tRNA synthetase, class Ia",6
Aminotransferase class V domain,6
"Aminotransferase, class I/classII",17
Ammonium transporter AmtB-like domain,5
"Anaphase-promoting complex subunit 4, WD40 domain",20
"Anaphylatoxin, complement system domain",5
Anaphylatoxin/fibulin,7
Ankyrin repeat-containing domain,254
"Anoctamin, dimerisation domain",7
Anti-proliferative protein,6
Anticodon-binding,9
Arf GTPase activating protein,29
Arfaptin homology (AH) domain,5
"Argonaute, linker 1 domain",6
Armadillo repeat-containing domain,10
Arrestin C-terminal-like domain,10
"Arrestin-like, N-terminal",10
"Aspartic peptidase, N-terminal",7
"Ataxin-2, C-terminal",8
"B-box, C-terminal",15
B-box-type zinc finger,80
B30.2/SPRY domain,96
BAAT/Acyl-CoA thioester hydrolase C-terminal,5
BAG domain,5
BAR domain,16
BEACH domain,9
BEN domain,9
BRCT domain,26
BRICHOS domain,10
BRK domain,6
BRO1 domain,6
BTB/Kelch-associated,60
BTB/POZ domain,178
Band 3 cytoplasmic domain,9
Band 4.1 domain,50
Band 7 domain,11
"Basic leucine zipper domain, Maf-type",13
Basic-leucine zipper domain,54
Beta-retroviral matrix protein,10
Beta/alpha defensin,8
Beta/gamma crystallin,15
"Bicarbonate transporter, C-terminal",10
"Biotin carboxylase, C-terminal",5
"Biotin carboxylase-like, N-terminal domain",5
Biotin carboxylation domain,5
Biotin/lipoyl attachment,10
"Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal",5
Brix domain,5
Bromo adjacent homology (BAH) domain,11
Bromodomain,41
"Butyrophylin-like, SPRY domain",70
C-CAP/cofactor C-like domain,5
C-type lectin-like,86
C1q domain,33
C2 domain,128
CAP Gly-rich domain,10
CAP domain,15
CARD domain,28
CARP motif,5
CBM21 (carbohydrate binding type-21) domain,7
CBS domain,20
"CCDC144C-like, coiled-coil domain",26
"CD209-like, C-type lectin-like domain",16
"CD80-like, immunoglobulin C2-set",28
"CENP-T/Histone H4, histone fold",15
CHCH,7
CID domain,8
CIDE-N domain,5
COMM domain,10
COS domain,12
CP2 transcription factor,6
CRA domain,6
CRAL-TRIO lipid binding domain,27
"CRAL/TRIO, N-terminal domain",12
CRIB domain,18
CS domain,16
"CTLH, C-terminal LisH motif",10
CTLH/CRA C-terminal to LisH motif domain,6
CUB domain,50
CUT domain,7
CXC Chemokine domain,14
Cadherin prodomain,8
"Cadherin, C-terminal catenin-binding domain",37
"Cadherin, N-terminal",65
"Cadherin, cytoplasmic C-terminal domain",41
"Cadherin, cytoplasmic domain",24
Cadherin-like,115
"Calcineurin-like phosphoesterase domain, ApaH type",28
Calcium-dependent secretion activator domain,5
"Calmodulin-regulated spectrin-associated protein, CH domain",6
Calpain subdomain III,12
Calponin homology domain,81
"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",7
"Carbohydrate kinase, FGGY, C-terminal",6
"Carbohydrate kinase, FGGY, N-terminal",7
Carbohydrate-binding WSC,5
Carbon-nitrogen hydrolase,8
"Carboxylesterase, type B",15
"Carboxypeptidase, activation peptide",8
Cathepsin propeptide inhibitor domain (I29),7
"Cation-transporting P-type ATPase, C-terminal",16
"Cation-transporting P-type ATPase, N-terminal",18
Cation/H+ exchanger,15
"Cationic amino acid transporter, C-terminal",5
"Chaperone DnaJ, C-terminal",9
Chemokine interleukin-8-like domain,46
Chitinase II,7
Choline/carnitine acyltransferase domain,7
Chromo domain,26
Chromo domain subgroup,10
Chromo/chromo shadow domain,33
Circularly permuted (CP)-type guanine nucleotide-binding (G) domain,7
Citron homology (CNH) domain,15
Class I myosin tail homology domain,8
"Class I myosin, motor domain",8
"Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain",9
"Clathrin/coatomer adaptor, adaptin-like, N-terminal",14
Coagulation factor 5/8 C-terminal domain,23
"CobW/HypB/UreG, nucleotide-binding domain",5
"Cobalamin (vitamin B12) biosynthesis CobW-like, C-terminal",5
Cold shock domain,8
Cold-shock (CSD) domain,6
"Cold-shock protein, DNA-binding",8
"Collagen IV, non-collagenous",6
"Collectin, C-type lectin-like domain",6
Complement Clr-like EGF domain,27
"Connexin, N-terminal",21
Copine,9
"Copine, C2B domain",9
Cro/C1-type helix-turn-helix domain,6
Cullin homology domain,9
"Cullin protein, neddylation domain",8
"Cullin, N-terminal",10
Cyclic nucleotide-binding domain,35
"Cyclin, C-terminal domain",17
"Cyclin, N-terminal",32
Cyclin-like,37
Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,24
Cystatin domain,18
"Cysteine-rich flanking region, C-terminal",83
"Cystine knot, C-terminal",25
Cytidine and deoxycytidylate deaminase domain,16
Cytidyltransferase-like domain,7
Cytochrome b5-like heme/steroid binding domain,15
Cytochrome b561/ferric reductase transmembrane,6
"Cytosolic carboxypeptidase, N-terminal",6
Cytosolic fatty-acid binding,17
D-galactoside/L-rhamnose binding SUEL lectin domain,5
DAN,5
DAPIN domain,23
"DAZ, RNA recognition motif, vertebrates",5
DDE superfamily endonuclease domain,12
DDHD domain,6
DDT domain,5
DEAD/DEAH box helicase domain,67
DEAD2,6
DEP domain,23
DHR-1 domain,11
DHR-2 domain,11
DIX domain,7
DM DNA-binding domain,7
DMAP1-binding domain,6
"DNA binding HTH domain, Psq-type",13
"DNA mismatch repair protein MutS, C-terminal",5
"DNA mismatch repair protein MutS, core",5
"DNA recombination and repair protein Rad51-like, C-terminal",7
"DNA recombination and repair protein RecA-like, ATP-binding domain",7
DNA-binding RFX-type winged-helix domain,9
DNA/RNA non-specific endonuclease,6
DOMON domain,5
DZF domain,5
Dbl homology (DH) domain,70
Death domain,35
Death effector domain,7
"Dedicator of cytokinesis C/D, N-terminal",6
"Dedicator of cytokinesis, C-terminal",11
"Dedicator of cytokinesis, N-terminal domain",5
Defensin propeptide,6
"Dehydrogenase, E1 component",6
"Deltex, C-terminal",5
"Diacylglycerol kinase, accessory domain",10
"Diacylglycerol kinase, catalytic domain",15
Diacylglycerol/phorbol-ester binding,21
Diaphanous autoregulatory (DAD) domain,8
Dilute domain,6
"Dipeptidylpeptidase IV, N-terminal domain",6
Disintegrin domain,22
Disulphide isomerase,5
DnaJ domain,50
Domain of unknown function DUF1605,17
Domain of unknown function DUF1899,7
Domain of unknown function DUF3456,6
Domain of unknown function DUF3496,5
Domain of unknown function DUF3699,9
Domain of unknown function DUF4599,13
Domain of unknown function DUF4704,5
Domain of unknown function DUF4749,6
Domain of unknown function DUF4939,10
Double-stranded RNA-binding domain,21
Doublecortin domain,9
"Drought induced 19 protein type, zinc-binding domain",7
"Dual specificity phosphatase, catalytic domain",42
Dual specificity protein phosphatase domain,36
"Dullard phosphatase domain, eukaryotic",5
Dynamin GTPase effector,7
Dynamin central domain,6
"Dynamin, GTPase domain",7
Dynamin-type guanine nucleotide-binding (G) domain,14
Dynein heavy chain region D6 P-loop domain,15
"Dynein heavy chain, AAA module D4",16
"Dynein heavy chain, ATP-binding dynein motor region",14
"Dynein heavy chain, coiled coil stalk",15
"Dynein heavy chain, domain-1",9
"Dynein heavy chain, domain-2",15
"Dynein heavy chain, hydrolytic ATP-binding dynein motor region",16
"E2F transcription factor, CC-MB domain",6
"E2F/DP family, winged-helix DNA-binding domain",11
EF-hand domain,228
"EF-hand domain, type 1",6
"EF-hand domain, type 2",6
"EF-hand, Ca insensitive",6
EGF domain,12
EGF-like calcium-binding domain,124
EGF-like domain,229
"EGF-like domain, extracellular",15
EH domain,11
"EH domain-containing protein, N-terminal",5
ELM2 domain,13
ELMO domain,6
EMI domain,16
ENTH  domain,10
ERAP1-like C-terminal domain,8
ERCC4 domain,5
EXPERA domain,5
EamA domain,5
"Elongation factor EFG, domain V-like",6
Elp3/MiaB/NifB,7
Endonuclease/exonuclease/phosphatase,24
"Enhancer of polycomb-like, N-terminal",8
Ephrin receptor ligand binding domain,14
"Ephrin receptor, transmembrane domain",14
Ephrin receptor-binding domain,8
Ephrin-A ectodomain,5
"Epsin, ENTH domain",5
Ets domain,28
"Exonuclease, RNase T/DNA polymerase III",14
"Exoribonuclease, phosphorolytic domain 1",7
"Exoribonuclease, phosphorolytic domain 2",6
Exportin-1/Importin-beta-like,6
Extended PHD (ePHD) domain,22
"Extracellular Endonuclease, subunit A",6
F-BAR domain,25
F-box associated (FBA) domain,6
F-box domain,65
FAD dependent oxidoreductase,9
FAD-binding 8,7
FAD-binding domain,5
"FAD-binding domain, PCMH-type",6
"FAD-binding domain, ferredoxin reductase-type",19
FAD/NAD(P)-binding domain,12
"FAM69, protein-kinase domain",6
"FAM83, N-terminal",8
FAST kinase leucine-rich,6
"FAST kinase-like protein, subdomain 2",6
FATC domain,6
FCH domain,23
FCP1 homology domain,8
FERM adjacent (FA),13
FERM central domain,48
FERM domain,48
"FERM, C-terminal PH-like domain",27
"FERM, N-terminal",29
FF domain,6
FKBP-type peptidyl-prolyl cis-trans isomerase domain,17
"FY-rich, C-terminal",5
"FY-rich, N-terminal",5
FYVE zinc finger,29
Fatty acid desaturase domain,8
Fatty acid hydroxylase,6
FerIin domain,6
Ferlin B-domain,6
"Ferlin, C-terminal domain",6
"Ferlin, fifth C2 domain",6
"Ferlin, fourth C2 domain",6
"Ferlin, second C2 domain",6
"Ferlin, sixth C2 domain",6
"Ferlin, third C2 domain",5
Ferric reductase transmembrane component-like domain,12
"Ferric reductase, NAD binding domain",7
Ferritin-like diiron domain,5
Ferritin/DPS protein domain,5
"Fibrillar collagen, C-terminal",11
"Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain",32
Fibronectin type II domain,13
Fibronectin type III,205
Flavodoxin/nitric oxide synthase,8
Flavoprotein pyridine nucleotide cytochrome reductase,9
"Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain",5
Folate receptor-like,8
"Follistatin-like, N-terminal",9
Follistatin/Osteonectin EGF domain,5
Fork head domain,49
Forkhead-associated (FHA) domain,34
"Formin, FH2 domain",15
"Formin, FH3 domain",9
"Formin, GTPase-binding domain",9
Frizzled domain,23
"Frizzled/Smoothened, transmembrane domain",11
"Fucosyltransferase, N-terminal",8
Furin-like cysteine-rich domain,7
G-patch domain,34
G-protein gamma-like domain,17
"G-protein, beta subunit",7
GAF domain,7
GAGE,32
"GAIN domain, N-terminal",11
GAR domain,6
GAT domain,6
GB1/RHD3-type guanine nucleotide-binding (G) domain,11
"GCC2, Rab binding domain",8
GDNF/GAS1,6
GHMP kinase N-terminal domain,5
GNAT domain,24
GOLD domain,18
"GPCR family 3, C-terminal",22
"GPCR, family 2, extracellular hormone receptor domain",27
"GPCR, family 2-like",60
"GPCR, family 3, nine cysteines domain",13
"GPCR, rhodopsin-like, 7TM",728
GPS motif,36
GRAM domain,18
GRIP domain,12
GS domain,7
GTP binding domain,19
GTPase effector domain,8
"Galactosyltransferase, C-terminal",7
"Galactosyltransferase, N-terminal",7
"Galectin, carbohydrate recognition domain",17
"Gamma tubulin complex component, C-terminal",5
Gamma-adaptin ear (GAE) domain,5
Gamma-carboxyglutamic acid-rich (GLA) domain,14
"Gap junction protein, cysteine-rich domain",21
