Pathway,Count
Sperm head plasma membrane,12
Sperm individualization complex,11
Sperm plasma membrane,121
Sphere organelle,8
Spindle envelope,6
Spindle matrix,18
Spindle pole body,190
Spine apparatus,107
Spore wall,94
Sporoplasm,14
Spot adherens junction,5
Starch grain,111
Starch utilization system complex,17
Stereocilia coupling link,11
Stereocilia tip link,11
Stereocilia tip-link density,7
Stigma papilla,6
Storage vacuole,54
Stromule,13
Subapical complex,228
Sublamina densa,28
Subpellicular microtubule,18
Subrhabdomeral cisterna,51
Subsarcolemmal mitochondrion,68
Subsynaptic reticulum,45
Subtelomeric heterochromatin,28
Succinate dehydrogenase complex,184
Sulfurtransferase complex,59
Superoxide dismutase complex,227
Supraspliceosomal complex,27
Survivin complex,429
Sweet taste receptor complex,24
Swi5-Sfr1 complex,11
Symbiosome,58
Symmetric synapse,75
Symplast,98
Synapse associated extracellular matrix,6
Synaptic vesicle lumen,5
Synaptic vesicle protein transport vesicle,75
"Synaptic vesicle, readily releasable pool",76
"Synaptic vesicle, resting pool",11
Syntrophin complex,126
Syp1 complex,16
T-bar,38
TAP complex,64
TAT protein transport complex,36
TCR signalosome,38
TORC1 complex,342
TRAIL death-inducing signaling complex,19
TRAMP complex,242
TRC complex,177
TSC1-TSC2 complex,149
Taste receptor complex,80
Taurine dioxygenase complex,33
Tectum,51
Telomeric heterochromatin,43
Terminal loop,180
Terminal web,89
Thioglucosidase complex,14
Thorny excrescence,26
Thrombospondin complex,317
Thylakoid,298
Thylakoid light-harvesting complex,57
Thylakoid lumen,49
Thylakoid membrane,196
Thylakoid part,294
Tic complex,193
Toc complex,137
Trans spliceosomal complex,6
Transcription export complex 2,63
Transcriptional preinitiation complex,273
Transcriptionally silent chromatin,75
Transforming growth factor beta activated kinase 1 complex,143
Transforming growth factor beta receptor homodimeric complex,157
Transforming growth factor beta type I receptor homodimeric complex,108
Transforming growth factor beta type II receptor homodimeric complex,105
Transforming growth factor beta1-type II receptor complex,25
Translation initiation complex,266
Translation release factor complex,10
Translation repressor complex,40
Translocon complex,161
Transmembrane actin-associated (TAN) line,6
Transverse filament,28
Tricellular tight junction,20
Trichocyst,26
Tripartite ATP-independent periplasmic transporter complex,9
Tubular endosome,70
Tubulin complex,766
Tubulin folding cofactor complex,17
Tubulobulbar complex,165
Tumor necrosis factor receptor superfamily complex,164
Type I interferon receptor complex,34
Type I terminal bouton,45
Type II polyketide synthase complex,34
Type II protein secretion system complex,11
Type III intermediate filament,946
Type III polyketide synthase complex,18
Type III protein secretion system complex,163
Type III site-specific deoxyribonuclease complex,7
Type IV pilus,120
Type IV secretion system complex,144
Type V protein secretion system complex,5
Type VI protein secretion system complex,69
U11 snRNP,13
U11/U12 snRNP,5
U2AF,107
U4/U6 snRNP,38
U4atac snRNP,5
U4atac/U6atac snRNP,5
UBC13-MMS2 complex,25
UBC13-UEV1A complex,32
UDP-N-acetylglucosamine transferase complex,5
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex,25
UFD1-NPL4 complex,53
USH2 complex,24
UTP-C complex,6
Ubisch body,31
Uniplex complex,41
Upper tip-link density,7
Urease complex,84
Uropod membrane,5
VCP-NSFL1C complex,6
VEGF-A complex,639
Vacuolar HOPS complex,9
Vacuolar transporter chaperone complex,40
Ventral disc,22
Viral assembly compartment,35
Viral integration complex,252
Viral occlusion body,5
Viral transcriptional complex,27
Vitelline envelope,52
W chromosome,63
WICH complex,67
Weibel-Palade body,99
Wnt-Frizzled-LRP5/6 complex,12
XPC complex,160
XRCC2-RAD51D complex,48
Xanthine dehydrogenase complex,31
Xanthophore,51
Xylanosome,48
Y-shaped link,21
Yolk,85
Yolk granule,32
Yolk plasma,6
Z chromosome,90
[Ni-Fe] hydrogenase complex,65
acetyl-CoA carboxylase complex,122
acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase complex,9
"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)",10
"alpha-1,6-mannosyltransferase complex",10
alpha-beta T cell receptor complex,106
aminoacyl-tRNA synthetase multienzyme complex,97
archaeal-type flagellum,10
ascospore-type prospore,71
bacterial-type flagellum,59
bacterial-type flagellum filament,35
bacterial-type flagellum hook,25
bacterial-type flagellum part,53
bacteroid-containing symbiosome,23
beta-galactosidase complex,303
beta-heterochromatin,21
bub1-bub3 complex,7
calcium- and calmodulin-dependent protein kinase complex,158
carbamoyl-phosphate synthase complex,24
chaperone-mediated autophagy translocation complex,10
"chromosome, centromeric core domain",55
cyclic-nucleotide phosphodiesterase complex,60
cyclin-dependent protein kinase activating kinase holoenzyme complex,55
cyclin/CDK positive transcription elongation factor complex,161
dolichol-phosphate-mannose synthase complex,19
dolichyl-phosphate-mannose-protein mannosyltransferase complex,17
eNoSc complex,14
exon-exon junction subcomplex mago-y14,7
follicle-stimulating hormone complex,212
fungal-type cell wall,20
gamma-delta T cell receptor complex,131
gamma-secretase complex,278
gamma-tubulin small complex,29
"gamma-tubulin small complex, spindle pole body",13
glutamate-cysteine ligase complex,79
glutamyl-tRNA(Gln) amidotransferase complex,119
glycerol-3-phosphate dehydrogenase complex,93
glycine-gated chloride channel complex,10
glycosylphosphatidylinositol-mannosyltransferase I complex,10
haptoglobin-hemoglobin complex,29
high-affinity iron permease complex,6
horsetail-astral microtubule array,77
i-AAA complex,39
inaD signaling complex,5
insulin-like growth factor ternary complex,5
interleukin-1 receptor complex,121
interleukin-12 complex,504
interleukin-12 receptor complex,49
interleukin-13 receptor complex,34
interleukin-18 receptor complex,21
interleukin-2 receptor complex,121
interleukin-20 receptor complex,5
interleukin-23 complex,456
interleukin-23 receptor complex,44
interleukin-27 complex,222
interleukin-28 receptor complex,25
interleukin-3 receptor complex,45
interleukin-35 complex,281
interleukin-4 receptor complex,48
interleukin-5 receptor complex,30
interleukin-6 receptor complex,57
interleukin-9 receptor complex,25
intermediate-density lipoprotein particle,69
iron-sulfur cluster assembly complex,92
iron-sulfur cluster transfer complex,48
laminin-1 complex,144
laminin-10 complex,50
laminin-11 complex,11
laminin-2 complex,60
laminin-4 complex,6
laminin-5 complex,156
laminin-6 complex,10
laminin-8 complex,29
light-harvesting complex,184
"light-harvesting complex, core complex",107
"light-harvesting complex, peripheral complex",95
m-AAA complex,43
mRNA cap methyltransferase complex,29
mRNA cleavage stimulating factor complex,57
mRNA editing complex,125
methionine-importing complex,13
methylcrotonoyl-CoA carboxylase complex,14
micropexophagy-specific membrane apparatus,25
minus-end kinesin complex,7
monolayer-surrounded lipid storage body,59
nitric-oxide synthase complex,236
non-growing cell tip,7
nucleolus-like body,38
nucleotide-excision repair factor 1 complex,26
nucleotide-excision repair factor 2 complex,26
nucleotide-excision repair factor 3 complex,65
nucleotide-excision repair factor 4 complex,7
nucleus-vacuole junction,9
oncostatin-M receptor complex,22
peri-centrosomal recycling endosome,5
piP-body,10
piccolo-bassoon transport vesicle,18
plant-type cell wall,226
plant-type vacuole,165
plant-type vacuole membrane,143
plastid-encoded plastid RNA polymerase complex,132
plastid-encoded plastid RNA polymerase complex A,100
plastid-encoded plastid RNA polymerase complex B,97
platelet-derived growth factor complex,268
plus-end kinesin complex,11
post-anaphase microtubule array,72
pre-B cell receptor complex,101
pre-T cell receptor complex,112
pre-primosome complex,82
pre-replicative complex,131
procollagen-proline 4-dioxygenase complex,8
proteasome-activating nucleotidase complex,23
protein-DNA-RNA complex,5
protein-carbohydrate complex,118
pyrophosphate-dependent phosphofructokinase complex,51
pyrroline-5-carboxylate reductase complex,6
rDNA heterochromatin,10
"retromer, cargo-selective complex",8
ribonucleoside-diphosphate reductase complex,211
senescence-associated heterochromatin focus,59
separase-securin complex,16
serine-type peptidase complex,8
serotonin-activated cation-selective channel complex,78
single-stranded DNA-binding protein complex,220
skein-like inclusion,29
sub-surface cisterna,29
succinate-CoA ligase complex,21
succinate-CoA ligase complex (ADP-forming),10
succinate-CoA ligase complex (GDP-forming),9
sucrase-isomaltase complex,71
syndecan-syntenin-ALIX complex,5
t-UTP complex,26
tRNA methyltransferase complex,17
tRNA-intron endonuclease complex,32
telomere-telomerase complex,14
trans-synaptic protein complex,17
trimethylamine-N-oxide reductase complex,6
voltage-gated sodium channel complex,122
Integrin alphav-beta1 complex,18
Integrin alphav-beta3 complex,142
Integrin alphav-beta5 complex,68
Integrin alphav-beta6 complex,43
Integrin alphav-beta8 complex,8
Intercalary heterochromatin,10
Interchromatin granule,90
Interferon regulatory factor 3 complex,148
Interferon regulatory factor 5 complex,59
Interferon regulatory factor 7 complex,98
Interferon regulatory factor complex,235
Interfibrillar mitochondrion,7
Internode region of axon,65
Interphase microtubule organizing center,9
Interphotoreceptor matrix,20
Intine,16
Intracellular canaliculus,27
Intracellular ferritin complex,26
Intracellular immature spore,81
Intramolecular phosphotransferase complex,61
Intrinsic component of cell outer membrane,74
Intrinsic component of periplasmic side of cell outer membrane,74
Investment cone,5
Inward rectifier potassium channel complex,117
Ire1 complex,185
Iridosome,28
IscS-IscU complex,6
Isoamylase complex,15
Isw1 complex,46
Isw1a complex,23
Isw1b complex,12
