Pathway,Count
3-M syndrome,14
3-Methylcrotonyl-CoA carboxylase deficiency,10
3-methylglutaconic aciduria,28
3p- syndrome,18
46 XY gonadal dysgenesis,8
ADULT syndrome,8
AGAT deficiency,5
ARC syndrome,12
Aarskog-Scott syndrome,11
Abdominal aortic aneurysm,8
Ablepharon macrostomia syndrome,7
Acanthosis nigricans,13
Aceruloplasminemia,16
Achalasia,11
Achondroplasia,18
Achromatopsia,6
Acne,18
Acoustic neuroma,7
Acquired immunodeficiency syndrome,78
Acquired metabolic disease,338
Acrocallosal syndrome,10
Acrocephalosyndactylia,14
Acrodermatitis enteropathica,16
Acrodysostosis,5
Acrofacial dysostosis,7
Acromegaly,28
Acromesomelic dysplasia,9
Actinic keratosis,9
Acute chest syndrome,8
Acute cystitis,37
Acute disseminated encephalomyelitis,7
Acute intermittent porphyria,11
Acute lymphocytic leukemia,17
Acute monocytic leukemia,10
Acute myeloid leukemia,11
Acute pancreatitis,10
Acute poststreptococcal glomerulonephritis,6
Acute promyelocytic leukemia,5
Acute stress disorder,5
Acute urate nephropathy,5
Adams-Oliver syndrome,15
Addison's disease,27
Adenine phosphoribosyltransferase deficiency,5
Adenocarcinoma,9
Adenocarcinoma in situ,12
Adenoma,8
Adenomatoid tumor,5
Adjustment disorder,5
Adrenal cortical adenoma,9
Adrenal gland cancer,5
Adrenocortical carcinoma,12
Adrenoleukodystrophy,25
Adult T-cell leukemia,5
Advanced sleep phase syndrome,10
Agammaglobulinemia,22
Age related macular degeneration,28
Aggressive periodontitis,10
Aggressive systemic mastocytosis,5
Agoraphobia,17
Agraphia,5
Aicardi-Goutieres syndrome,7
Aicardi syndrome,15
Akinetic mutism,5
Alagille syndrome,13
Aland Island eye disease,11
Alcohol dependence,103
Alcoholic cardiomyopathy,7
Alexander disease,6
Alexithymia,12
Allan-Herndon-Dudley syndrome,10
Allergic hypersensitivity disease,123
Allergic rhinitis,12
Alopecia,39
Alopecia areata,56
Alopecia universalis,7
Alpers syndrome,10
Alpha 1-antitrypsin deficiency,9
Alpha thalassemia,7
Alport syndrome,5
Alstrom syndrome,6
Alveolar soft part sarcoma,11
Alzheimer's disease,195
Amblyopia,24
Amebiasis,15
Ameloblastoma,23
Amelogenesis imperfecta,18
Amenorrhea,53
Amnestic disorder,39
Amyloidosis,27
Amyotrophic lateral sclerosis,45
Amyotrophic lateral sclerosis type 1,13
Amyotrophic lateral sclerosis type 3,15
Amyotrophic lateral sclerosis type 5,13
Amyotrophic lateral sclerosis type 8,7
Amyotrophic neuralgia,11
Anal fistula,12
Ancylostomiasis,6
Androgen insensitivity syndrome,10
Androgenic alopecia,10
Anemia,7
Angelman syndrome,44
Angioedema,19
Angiokeratoma,7
Angiomyolipoma,18
Angiosarcoma,5
Anhidrosis,9
Aniridia,24
Anisometropia,14
Ankylosing spondylitis,24
Ankylosis,23
Anodontia,8
Anogenital venereal wart,8
Anorexia nervosa,47
Anovulation,19
Anterior ischemic optic neuropathy,6
Antiphospholipid syndrome,15
Antisocial personality disorder,8
Antithrombin III deficiency,7
Antley-Bixler syndrome,14
Anxiety disorder,22
Aortic aneurysm,10
Aortic valve insufficiency,11
Aortic valve stenosis,10
Aphasia,20
Aplastic anemia,6
Appendicitis,14
Apraxia,25
Argentine hemorrhagic fever,7
Argininosuccinic aciduria,17
Arrhythmogenic right ventricular cardiomyopathy,7
Arterial tortuosity syndrome,5
Arteriovenous malformation,8
Arthritis,186
Arthropathy,33
Arthus reaction,7
Arts syndrome,5
Ascariasis,6
Asperger syndrome,35
Aspergillosis,22
Asphyxiating thoracic dystrophy,31
Asthenopia,9
Asthma,92
Astigmatism,25
Ataxia telangiectasia,30
Ataxia with oculomotor apraxia type 1,5
Atherosclerosis,52
Atopic dermatitis,22
