Pathway,Count
Adipose tissue,12174
Adrenal cortex,4574
Adrenal gland,16140
Amygdala,5279
Ascites,884
B-lymphoblastoid cell,5983
B-lymphocyte,8270
BTO:0004410,9290
BTO:0005453,7164
Bladder,443
Blood,6006
Blood platelet,5583
Bone,1374
Bone marrow,14508
Brain,13237
Breast,12084
Bronchial epithelial cell,4837
Bronchus,12644
Cardiac muscle,15135
Caudate nucleus,4512
Cerebellum,14879
Cerebral cortex,15695
Cerebral peduncle,4907
Cingulate cortex,4839
Colon,16859
Connective tissue,9893
Corpus callosum,9077
Cytotoxic T-lymphocyte,5212
Dendritic cell,5660
Duodenum,15789
Ear,186
Embryonic brain,4936
Epididymis,12472
Erythroid cell,4448
Esophagus,15560
Eye,5536
Frontal lobe,11591
Gall bladder,16366
Globus pallidus,3792
Gut,7807
Heart,14216
Helper T-lymphocyte,5270
Hippocampus,11325
Hypothalamus,12937
Intestine,5377
Kidney,16989
Larynx,275
Lateral ventricle,11697
Liver,16290
Lung,16585
Lymph,784
Lymph node,14834
MOLT-4 cell,4430
Medulla oblongata,4544
Monocyte,7640
Mouth,1073
Muscle,1841
Nasopharynx,12374
Natural killer cell,9530
Nerve,118
Occipital lobe,10045
Olfactory bulb,4257
Ophthalmic nerve,3453
Oral mucosa,10627
Ovary,16042
Oviduct,12240
Pancreas,16051
Pancreatic islet,4972
Parathyroid gland,10379
Parenchyma,5163
Parietal lobe,9921
Pharynx,541
Pineal gland,5881
Placenta,15885
Pons,4336
Prefrontal cortex,5632
Prostate gland,15901
Rectum,14744
Retina,11092
Salivary gland,15335
Seminal vesicle,11672
Skeletal muscle,15243
Skin,15601
Small intestine,6152
Smooth muscle,9462
Spinal cord,11398
Spinal ganglion,3623
Spleen,14937
Stomach,16255
Subthalamic nucleus,4383
Superior cervical ganglion,4740
Temporal lobe,8425
Testis,17517
Thalamus,4856
Thymus,4940
Thyroid gland,13652
Tonsil,13827
Trachea,882
Trigeminal ganglion,4239
Urinary bladder,16036
Uterine cervix,11814
Uterine endometrium,11318
Uterus,12771
Vagina,10073
Vascular system,894
Acute promyelocytic leukemia cell,34
Adenocarcinoma cell,22
Adipocyte,31
Aorta,84
Aorta endothelium,30
Aortic smooth muscle,6
Articular cartilage,9
Astrocyte,25
Astrocytoma cell,47
B-cell lymphoma cell,138
B-lymphocyte cell line,273
BTO:0000379,351
BTO:0000449,25
BTO:0000868,31
BTO:0001239,20
Bile,18
Blood vessel,7
Bone marrow stromal cell,8
Brain cortex cell line,211
Brain stem,13
Breast cancer cell,221
CL-48 cell,198
Carcinoma cell,42
Cartilage,24
Cerebrospinal fluid,44
Cervical carcinoma cell,4876
Chondrocyte,18
Chondrosarcoma cell,40
Choriocarcinoma cell,32
Chronic myeloid leukemia cell,13
Colonic adenocarcinoma cell,78
Colonic cancer cell,563
Colonic epithelium,8
Colonic mucosa,50
Cornea,6
Corneal epithelium,5
Coronary artery,29
Coronary artery endothelial cell,8
Craniofacial region,11
Daltons lymphoma cell,17
Embryonic carcinoma cell line,9
Embryonic stem cell,26
Endothelial cell,55
Eosinophil,6
Epidermis,20
Epithelium,25
Erythrocyte,25
Erythroleukemia cell,4265
Fibroblast,141
Fibrosarcoma cell,17
Foreskin fibroblast cell line,10
Gastric adenocarcinoma cell,25
Gastric adenocarcinoma cell line,15
Gastric cancer cell,14
Gastric mucosa,49
Gastroesophageal cancer cell,46
Glial cell,5
Glioblastoma cell,22
Granulocyte,5
Hair follicle,32
Hair root,54
Heart primordium,8
Hematopoietic cell,12
Hematopoietic stem cell,30
Hepatoblastoma cell,20
Hepatoma cell,241
Histiocytic lymphoma cell,9
Hypophysis,123
Ileal mucosa,42
Ileum,5
Inner ear,5
Insulinoma cell,26
Interstitial cell of Cajal,194
Iris,6
Jejunum,8
Keratinocyte,137
Leiomyosarcoma cell,20
Lens,22
Lens epithelium,18
Leukemia cell,68
Leukocyte,203
Liver cancer cell,16
Lung adenocarcinoma cell,5
Lung cancer cell,103
Lung fibroblast,45
Lymphoblast,70
Lymphocyte,84
Lymphoid tissue,60
Lymphoma cell,55
Macrophage,31
Mammary gland,412
Medulloblastoma cell,6
Megakaryocyte,6
Melanocyte,19
Melanoma cell line,347
Mesangial cell,22
Monocytic leukemia cell,12
Mucoepidermoid carcinoma cell,8
Myeloid dendritic cell,10
Myeloid leukemia cell,14
Myeloma cell,11
Myometrium,9
Nasal polyp,10
Nasopharyngeal carcinoma cell,5
Neuroblastoma cell,187
Neuroepithelioma cell,7
Neuroepithelium,10
Neuron,27
Neutrophil,31
Oligodendroglioma cell,5
Osteoblast,12
Osteoclastoma cell,7
Osteosarcoma cell,44
Ovary cancer cell,179
Pancreatic cancer cell line,33
Parotid gland,5
Pericardium,47
Peripheral blood,96
Peripheral blood lymphocyte,26
Peripheral nervous system,186
Pheochromocytoma cell line,34
Pituitary gland tumor cell,27
Plasma cell,286
Prepuce,49
Pronephros,709
Prostate adenocarcinoma cell,8
Prostate cancer cell line,89
Prostate gland epithelium,450
Pulmonary artery,7
Rectal cancer cell,36
Renal cell carcinoma cell,67
Renal cortex,6
Renal epithelium,32
Renal proximal tubule,16
Reticulocyte,7
Retinal pigment epithelium,22
Retinoblastoma cell,83
Rhabdomyosarcoma cell,26
Saliva,58
Scalp,57
Semen,5
Seminal plasma,5
Seminoma cell,6
Skin fibroblast,23
Spermatozoon,14
Squamous cell carcinoma cell,20
Submandibular gland,7
Substantia nigra,71
Synovial cell,39
Synovium,144
T-cell chronic lymphocytic leukemia cell,2344
T-lymphocyte,280
Tear,23
Teratocarcinoma cell,592
Testicular cell line,6
Thymocyte,7
Thyroid cancer cell,11
Tongue,463
Umbilical cord,8
Umbilical cord blood,345
Umbilical vein,34
Umbilical vein endothelial cell,47
Urinary bladder cancer cell,7
Urine,26
Uterine adenocarcinoma cell,45
Uterine endometrial cancer cell,43
Vascular endothelial cell,6
Vascular smooth muscle,9
10T1/2 cell,5
13c4,5
143B cell,17
22Rv-1 cell,5
2t,6
32D clone3 cell,10
3T3-L1 cell,88
3t6,5
5637 cell,11
7d4,8
95C cell,7
95D cell,13
A-172 cell,8
A-375 cell,6
A-431 cell,19
A-498 cell,6
A7r5 cell,19
ACT-1 cell,29
AGS cell,8
AR4-2J cell,7
AT6.1 cell,5
ATDC-5 cell,11
Abdominal adipose tissue,58
Abductor,7
Abscission zone,21
Accessory sex gland,11
Achene,10
Acn,8
Acute lymphoblastic leukemia cell,51
Acute megakaryoblastic leukemia cell line,6
Acute myeloid leukemia cell,57
Adductor,7
Adenoid,7
Adenoid cystic carcinoma cell,7
Adenoma cell,9
Adipocyte cell line,7
Adrenocortical carcinoma cell,14
Adrenocortical carcinoma cell line,9
Adult,918
Adult T-cell lymphoma cell,13
Adult T-cell lymphoma cell line,6
Adult liver stem cell,20
Adventitious root,17
Aedesaegypti,8
Aedesalbopictus,12
Aerial part,17
Alate adult,5
Albedo,12
Albumen gland,10
Aleurone layer,15
Allantoic fluid,5
Allantois,14
Alveolar bone,70
Alveolar epithelial cell line,5
Alveolar macrophage,10
Amastigote,33
Ameloblast,10
Ameloblastic layer,7
Amniocyte,27
Amnion,24
Amnioserosa,7
Amniotic fluid,52
Amoeba,7
Ampulla,12
Amyloid plaque,35
Anal canal,8
Anal fin,6
Anaplastic large cell lymphoma cell,6
Anaplastic large cell lymphoma cell line,6
Animal cap,31
Ankle joint,13
Antennal gland,6
Anterior chamber of the eye,8
