Pathway,Count
STK19,6
RYK,4
BUB1B,14
STK10,5
STK11,32
STK16,8
HIPK3,26
HIPK2,43
HIPK1,8
SIK,1
TYK2,30
EEF2K,16
SMG1,8
CAMK1,24
PIK3CA,19
PIK3CB,8
PIK3CD,15
CAMK4,25
PIK3CG,17
STK24,6
DMPK,15
IRAK2,15
IRAK3,6
WEE1,18
IRAK1,39
IRAK4,10
NPR1,4
IGF1R,144
CSF1R,25
CAMK2D,35
CAMK2G,40
CAMK2A,105
CAMK2B,32
CAMKV,1
STK3,10
STK4,18
NLK,14
MAPKAPK2,40
LMTK3,1
LMTK2,4
PRP4,1
STK38L,4
TGFBR2,37
MYO3A,3
EIF2AK2,42
ACVR1C,2
ACVR1B,14
NUAK1,31
NUAK2,5
MST4,7
TTK,14
JAK2,92
JAK3,35
JAK1,66
KSR1,8
KSR2,5
GUCY2C,4
GUCY2D,5
GUCY2E,1
GUCY2F,2
CHUK,90
BLK,16
HCK,77
TYRO3,9
RPS6KA1,75
RPS6KA2,21
RPS6KA3,365
RPS6KA4,10
CSNK1A1,99
RPS6KA6,1
RET,40
PRKDC,227
DYRK3,4
DYRK2,13
CDC7,18
GSG2,1
MYLK2,6
LTK,5
SRPK1,24
SRPK3,1
SRPK2,4
RIOK1,1
ALK,25
BMPR1A,17
INSR,175
TAF1L,1
PRKD1,54
PRKD2,27
PRKD3,7
LYK5,2
EGFR,247
NPR2,2
MLKL,1
VRK1,8
CDK18,6
CDK19,4
CDK12,6
CDK13,2
CDK10,1
CDK16,10
UHMK1,13
CDK14,12
WNK2,2
PDIK1L,1
TTBK1,6
MAP3K10,21
MAP3K11,11
MAP3K12,11
MAP3K13,4
MAP3K14,145
PSKH1,2
CDK17,6
IKBKB,87
PTK2B,70
ARAF,24
INSRR,3
IKBKE,60
ROS1,4
FGR,22
ROR2,5
BRD2,7
DYRK1A,22
DYRK1B,15
CABC1,1
EPHA1,3
STK17B,3
TESK1,4
TESK2,4
STK17A,2
PAK4,16
PAK6,3
PAK7,10
PAK1,92
PAK2,48
PAK3,12
TRIB1,4
BCKDK,6
TRIB3,16
PINK1,1
NEK6,15
NEK7,1
NEK4,1
NEK2,11
NEK3,5
NEK1,18
NEK8,3
NEK9,8
STK25,4
CDC42BPG,4
PRKG1,114
CDC42BPA,12
PRKG2,17
BMX,14
PHKG2,5
PHKG1,8
BUB1,14
CSK,47
TGFBR1,166
MLTK,9
CLK1,17
CLK2,4
CLK3,2
CLK4,5
BTK,59
PDGFRB,62
PDGFRA,31
CDKL1,2
ATM,177
SCYL2,3
SCYL3,1
SCYL1,6
ATR,63
OXSR1,11
FLT4,12
CDKL2,2
FLT3,12
FLT1,23
CDKL5,1
RPS6KB1,48
RPS6KB2,9
ACVR2A,18
ACVR2B,16
FRK,5
MTOR,86
MERTK,7
TAOK1,2
TAOK2,7
TAOK3,3
ITK,31
CDK1,567
CDK2,606
CDK3,30
CDK4,51
CDK5,103
CDK6,25
CDK7,31
CDK8,15
CDK9,38
OBSCN,5
PTK2,95
PTK7,1
PTK6,12
PRKAA2,17
PRKAA1,41
PRKX,5
FYN,216
SGK196,2
ADCK1,1
FASTK,7
AURKA,51
AURKB,43
AURKC,4
PRKCI,42
PRKCH,17
PRKCA,487
PRKCB,283
PRKCE,70
PRKCD,146
PRKCG,61
PRKCZ,104
CDK20,5
PRKCQ,45
TRIO,6
LATS1,7
NRK,1
ROCK1,44
ROCK2,25
KIAA0999,2
MUSK,5
TSSK1B,3
PRPF4B,8
SLK,2
AXL,21
MAP3K8,54
MAP3K9,2
MAP3K2,18
MAP3K3,193
MAP3K1,139
MAP3K6,4
MAP3K7,102
MAP3K4,21
MAP3K5,40
BRDT,1
