Pathway,Count
1 and 2 methylnaphthalene degradation,20
3 chloroacrylic acid degradation,15
abc transporters general,44
acute myeloid leukemia,52
adherens junction,75
adipocytokine signaling pathway,71
alanine and aspartate metabolism,33
alkaloid biosynthesis i,5
alkaloid biosynthesis ii,14
alpha linolenic acid metabolism,15
alzheimers disease,28
aminoacyl trna biosynthesis,38
aminophosphonate metabolism,16
aminosugars metabolism,29
amyotrophic lateral sclerosis,19
androgen and estrogen metabolism,54
apoptosis,81
arachidonic acid metabolism,51
arginine and proline metabolism,34
ascorbate and aldarate metabolism,9
atrazine degradation,9
axon guidance,126
b cell receptor signaling pathway,62
basal cell carcinoma,55
basal transcription factors,33
benzoate degradation via coa ligation,21
beta alanine metabolism,24
bile acid biosynthesis,38
biosynthesis of steroids,22
bisphenol a degradation,14
bladder cancer,40
butanoate metabolism,45
c21 steroid hormone metabolism,11
caffeine metabolism,7
calcium signaling pathway,169
caprolactam degradation,14
carbon fixation,22
cell adhesion molecules,133
cell communication,137
cell cycle,104
cholera infection,41
chondroitin sulfate biosynthesis,17
chronic myeloid leukemia,75
circadian rhythm,11
citrate cycle,28
colorectal cancer,84
complement and coagulation cascades,69
cyanoamino acid metabolism,6
cysteine metabolism,17
cytokine cytokine receptor interaction,247
dentatorubropallidoluysian atrophy,15
dna polymerase,24
dorso ventral axis formation,28
ecm receptor interaction,87
endometrial cancer,52
epithelial cell signaling in helicobacter pylori infection,65
erbb signaling pathway,85
ether lipid metabolism,30
ethylbenzene degradation,10
fatty acid biosynthesis,6
fatty acid elongation in mitochondria,10
fatty acid metabolism,45
fc epsilon ri signaling pathway,74
focal adhesion,192
folate biosynthesis,41
fructose and mannose metabolism,40
galactose metabolism,32
gamma hexachlorocyclohexane degradation,23
gap junction,90
glioma,62
glutamate metabolism,30
glutathione metabolism,37
glycan structures biosynthesis 1,106
glycan structures biosynthesis 2,60
glycan structures degradation,29
glycerolipid metabolism,55
glycerophospholipid metabolism,62
glycine serine and threonine metabolism,44
glycolysis and gluconeogenesis,63
glycosaminoglycan degradation,17
glycosphingolipid biosynthesis ganglioseries,16
glycosphingolipid biosynthesis globoseries,14
glycosphingolipid biosynthesis lactoseries,10
glycosphingolipid biosynthesis neo lactoseries,21
glycosylphosphatidylinositol anchor biosynthesis,23
glyoxylate and dicarboxylate metabolism,14
gnrh signaling pathway,96
hedgehog signaling pathway,57
hematopoietic cell lineage,88
heparan sulfate biosynthesis,19
histidine metabolism,40
huntingtons disease,31
inositol phosphate metabolism,46
jak stat signaling pathway,148
keratan sulfate biosynthesis,16
leukocyte transendothelial migration,110
limonene and pinene degradation,24
linoleic acid metabolism,31
long term depression,73
long term potentiation,67
lysine degradation,47
mapk signaling pathway,248
maturity onset diabetes of the young,24
melanogenesis,100
melanoma,71
metabolism of xenobiotics by cytochrome p450,70
methane metabolism,10
methionine metabolism,17
n glycan biosynthesis,41
n glycan degradation,15
naphthalene and anthracene degradation,18
natural killer cell mediated cytotoxicity,129
neuroactive ligand receptor interaction,238
neurodegenerative diseases,38
nicotinate and nicotinamide metabolism,20
nitrogen metabolism,24
non small cell lung cancer,53
notch signaling pathway,43
nucleotide sugars metabolism,6
o glycan biosynthesis,27
olfactory transduction,31
one carbon pool by folate,16
oxidative phosphorylation,126
pancreatic cancer,73
pantothenate and coa biosynthesis,16
parkinsons disease,17
pathogenic escherichia coli infection ehec,48
pathogenic escherichia coli infection epec,48
pentose and glucuronate interconversions,25
phenylalanine metabolism,24
phenylalanine tyrosine and tryptophan biosynthesis,9
phenylpropanoid biosynthesis,7
phosphatidylinositol signaling system,72
polyunsaturated fatty acid biosynthesis,13
porphyrin and chlorophyll metabolism,41
ppar signaling pathway,67
prion disease,13
propanoate metabolism,33
prostate cancer,86
proteasome,22
protein export,8
purine metabolism,139
pyrimidine metabolism,84
pyruvate metabolism,41
reductive carboxylate cycle,12
regulation of actin cytoskeleton,201
regulation of autophagy,29
renal cell carcinoma,69
renin angiotensin system,17
riboflavin metabolism,16
ribosome,71
rna polymerase,23
selenoamino acid metabolism,26
small cell lung cancer,85
snare interactions in vesicular transport,35
sphingolipid metabolism,36
starch and sucrose metabolism,83
streptomycin biosynthesis,10
sulfur metabolism,14
synthesis and degradation of ketone bodies,9
taste transduction,49
taurine and hypotaurine metabolism,6
terpenoid biosynthesis,6
tetrachloroethene degradation,7
thiamine metabolism,8
thyroid cancer,29
tight junction,131
toll like receptor signaling pathway,99
tryptophan metabolism,57
type i diabetes mellitus,44
type ii diabetes mellitus,42
tyrosine metabolism,53
ubiquinone biosynthesis,15
ubiquitin mediated proteolysis,39
urea cycle and metabolism of amino groups,28
valine leucine and isoleucine biosynthesis,12
valine leucine and isoleucine degradation,44
vegf signaling pathway,68
vitamin b6 metabolism,5
