Pathway,Count
ABC transporters,50
AGE-RAGE signaling pathway in diabetic complications,101
AMPK signaling pathway,126
Acute myeloid leukemia,70
Adherens junction,71
Adipocytokine signaling pathway,71
Adrenergic signaling in cardiomyocytes,152
African trypanosomiasis,39
"Alanine, aspartate and glutamate metabolism",39
Alcoholism,205
Aldosterone synthesis and secretion,102
Aldosterone-regulated sodium reabsorption,38
Allograft rejection,62
Alzheimer disease,369
Amino sugar and nucleotide sugar metabolism,50
Aminoacyl-tRNA biosynthesis,66
Amoebiasis,107
Amphetamine addiction,69
Amyotrophic lateral sclerosis,369
Antigen processing and presentation,89
Apelin signaling pathway,137
Apoptosis,141
Arachidonic acid metabolism,86
Arginine and proline metabolism,54
Arginine biosynthesis,20
Arrhythmogenic right ventricular cardiomyopathy,77
Ascorbate and aldarate metabolism,31
Asthma,25
Autoimmune thyroid disease,78
Autophagy,138
Axon guidance,181
B cell receptor signaling pathway,81
Bacterial invasion of epithelial cells,76
Basal cell carcinoma,63
Basal transcription factors,43
Base excision repair,34
Bile secretion,100
Biosynthesis of unsaturated fatty acids,34
Bladder cancer,41
Breast cancer,147
Butanoate metabolism,28
C-type lectin receptor signaling pathway,112
Caffeine metabolism,6
Calcium signaling pathway,240
Carbohydrate digestion and absorption,48
Cardiac muscle contraction,87
Cell adhesion molecules,173
Cell cycle,123
Cellular senescence,183
Central carbon metabolism in cancer,69
Chagas disease,103
Chemical carcinogenesis,257
Chemokine signaling pathway,192
Cholesterol metabolism,49
Choline metabolism in cancer,98
Cholinergic synapse,112
Chronic myeloid leukemia,76
Circadian entrainment,98
Circadian rhythm,30
Citrate cycle (TCA cycle),32
Cocaine addiction,48
Collecting duct acid secretion,27
Colorectal cancer,88
Complement and coagulation cascades,93
Coronavirus disease,247
Cortisol synthesis and secretion,72
Cushing syndrome,162
Cysteine and methionine metabolism,53
Cytokine-cytokine receptor interaction,292
Cytosolic DNA-sensing pathway,63
DNA replication,35
Diabetic cardiomyopathy,211
Dilated cardiomyopathy,94
Dopaminergic synapse,135
Drug metabolism,118
ECM-receptor interaction,88
Endocrine and other factor-regulated calcium reabsorption,61
Endocytosis,272
Endometrial cancer,58
Epstein-Barr virus infection,230
ErbB signaling pathway,84
Estrogen signaling pathway,134
Ether lipid metabolism,48
Fanconi anemia pathway,51
Fat digestion and absorption,43
Fatty acid biosynthesis,19
Fatty acid degradation,52
Fatty acid elongation,29
Fc epsilon RI signaling pathway,66
Fc gamma R-mediated phagocytosis,92
Ferroptosis,40
Fluid shear stress and atherosclerosis,148
Focal adhesion,201
Folate biosynthesis,26
FoxO signaling pathway,131
Fructose and mannose metabolism,36
GABAergic synapse,89
Galactose metabolism,32
Gap junction,86
Gastric acid secretion,75
Gastric cancer,150
Glioma,74
Glucagon signaling pathway,104
Glutamatergic synapse,113
Glutathione metabolism,71
Glycerolipid metabolism,62
Glycerophospholipid metabolism,98
"Glycine, serine and threonine metabolism",40
Glycolysis / Gluconeogenesis,67
Glycosaminoglycan biosynthesis,53
Glycosaminoglycan degradation,21
Glycosphingolipid biosynthesis,44
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,26
Glyoxylate and dicarboxylate metabolism,32
GnRH secretion,63
GnRH signaling pathway,90
Graft-versus-host disease,62
"Growth hormone synthesis, secretion and action",116
HIF-1 signaling pathway,114
Hedgehog signaling pathway,58
Hematopoietic cell lineage,94
Hepatitis B,163
Hepatitis C,165
Hepatocellular carcinoma,174
Herpes simplex virus 1 infection,454
Hippo signaling pathway,163
Histidine metabolism,26
Homologous recombination,41
Human T-cell leukemia virus 1 infection,246
Human cytomegalovirus infection,255
Human immunodeficiency virus 1 infection,239
Human papillomavirus infection,361
Huntington disease,302
Hypertrophic cardiomyopathy,91
IL-17 signaling pathway,91
Inflammatory bowel disease,62
Inflammatory mediator regulation of TRP channels,127
Influenza A,173
Inositol phosphate metabolism,72
Insulin resistance,110
Insulin secretion,86
Insulin signaling pathway,139
Intestinal immune network for IgA production,43
JAK-STAT signaling pathway,168
Kaposi sarcoma-associated herpesvirus infection,224
Legionellosis,61
Leishmaniasis,70
Leukocyte transendothelial migration,118
Linoleic acid metabolism,50
Lipid and atherosclerosis,216
Long-term depression,60
Long-term potentiation,67
Longevity regulating pathway,102
Lysine degradation,64
Lysosome,131
MAPK signaling pathway,294
Malaria,57
Mannose type O-glycan biosynthesis,23
Maturity onset diabetes of the young,27
Measles,146
Melanogenesis,100
Melanoma,72
Metabolism of xenobiotics by cytochrome P450,73
MicroRNAs in cancer,303
Mineral absorption,54
Mismatch repair,22
Mitophagy,66
Morphine addiction,91
Mucin type O-glycan biosynthesis,32
N-Glycan biosynthesis,50
NF-kappa B signaling pathway,105
NOD-like receptor signaling pathway,211
Natural killer cell mediated cytotoxicity,121
Necroptosis,174
"Neomycin, kanamycin and gentamicin biosynthesis",5
Neuroactive ligand-receptor interaction,358
Neurotrophin signaling pathway,121
Neutrophil extracellular trap formation,205
Nicotinate and nicotinamide metabolism,41
Nicotine addiction,40
Nitrogen metabolism,17
Non-alcoholic fatty liver disease,156
Non-homologous end-joining,13
Non-small cell lung cancer,72
Notch signaling pathway,60
Nucleotide excision repair,43
Olfactory transduction,1167
One carbon pool by folate,19
Oocyte meiosis,119
Osteoclast differentiation,128
Other glycan degradation,18
Other types of O-glycan biosynthesis,43
Ovarian steroidogenesis,63
Oxidative phosphorylation,133
Oxytocin signaling pathway,153
PD-L1 expression and PD-1 checkpoint pathway in cancer,88
PI3K-Akt signaling pathway,359
PPAR signaling pathway,89
Pancreatic cancer,76
Pancreatic secretion,114
Pantothenate and CoA biosynthesis,20
"Parathyroid hormone synthesis, secretion and action",108
Parkinson disease,247
Pathways in cancer,543
Pathways of neurodegeneration,472
Pentose and glucuronate interconversions,35
Pentose phosphate pathway,33
Peroxisome,86
Pertussis,77
Phagosome,181
Phenylalanine metabolism,23
"Phenylalanine, tyrosine and tryptophan biosynthesis",9
Phosphatidylinositol signaling system,96
Phospholipase D signaling pathway,149
Phosphonate and phosphinate metabolism,6
Phototransduction,27
Platelet activation,124
Porphyrin and chlorophyll metabolism,43
Primary bile acid biosynthesis,18
Primary immunodeficiency,36
Prion disease,268
Progesterone-mediated oocyte maturation,90
Prolactin signaling pathway,74
Propanoate metabolism,34
Prostate cancer,99
Proteasome,47
Protein digestion and absorption,108
Protein export,29
Protein processing in endoplasmic reticulum,172
Proteoglycans in cancer,205
Proximal tubule bicarbonate reclamation,22
Purine metabolism,136
Pyrimidine metabolism,57
Pyruvate metabolism,44
RIG-I-like receptor signaling pathway,70
RNA degradation,84
RNA polymerase,29
RNA transport,184
Rap1 signaling pathway,214
Ras signaling pathway,232
Regulation of actin cytoskeleton,220
Regulation of lipolysis in adipocytes,56
Relaxin signaling pathway,129
Renal cell carcinoma,68
Renin secretion,76
Renin-angiotensin system,37
Retinol metabolism,97
Retrograde endocannabinoid signaling,148
Rheumatoid arthritis,87
Riboflavin metabolism,8
Ribosome,179
Ribosome biogenesis in eukaryotes,121
SNARE interactions in vesicular transport,33
Salivary secretion,86
Salmonella infection,252
Selenocompound metabolism,17
Serotonergic synapse,131
Signaling pathways regulating pluripotency of stem cells,140
Small cell lung cancer,93
Sphingolipid metabolism,50
Sphingolipid signaling pathway,124
Spinocerebellar ataxia,141
Spliceosome,134
Staphylococcus aureus infection,124
Starch and sucrose metabolism,34
Steroid biosynthesis,20
Steroid hormone biosynthesis,92
Sulfur metabolism,11
Sulfur relay system,8
Synaptic vesicle cycle,77
Synthesis and degradation of ketone bodies,12
Systemic lupus erythematosus,148
T cell receptor signaling pathway,103
TGF-beta signaling pathway,95
TNF signaling pathway,113
Taste transduction,92
Taurine and hypotaurine metabolism,13
Terpenoid backbone biosynthesis,23
Th1 and Th2 cell differentiation,88
Th17 cell differentiation,104
Thermogenesis,231
Thiamine metabolism,15
Thyroid cancer,37
Thyroid hormone signaling pathway,120
Thyroid hormone synthesis,74
Tight junction,167
Toll-like receptor signaling pathway,100
Toxoplasmosis,110
Transcriptional misregulation in cancer,223
Tryptophan metabolism,52
Tuberculosis,180
Type I diabetes mellitus,69
Type II diabetes mellitus,48
Tyrosine metabolism,40
Ubiquinone and other terpenoid-quinone biosynthesis,11
Ubiquitin mediated proteolysis,144
VEGF signaling pathway,58
"Valine, leucine and isoleucine degradation",57
Various types of N-glycan biosynthesis,40
Vascular smooth muscle contraction,143
Vasopressin-regulated water reabsorption,43
Viral carcinogenesis,227
Viral myocarditis,87
Viral protein interaction with cytokine and cytokine receptor,95
Vitamin B6 metabolism,9
Vitamin digestion and absorption,24
Wnt signaling pathway,168
Yersinia infection,134
alpha-Linolenic acid metabolism,25
beta-Alanine metabolism,31
cAMP signaling pathway,215
cGMP-PKG signaling pathway,173
mRNA surveillance pathway,102
mTOR signaling pathway,156
p53 signaling pathway,72
