Pathway,Count
Increased Lean Body Mass (MP:0003960),284
Decreased Erythrocyte Cell Number (MP:0002875),170
Embryonic Lethality Prior To Organogenesis (MP:0013292),510
Abnormal Uterus Morphology (MP:0001120),162
Abnormal Bone Structure (MP:0003795),222
Decreased Circulating Glucose Level (MP:0005560),204
Abnormal Auditory Brainstem Response (MP:0004738),309
Embryonic Lethality Prior To Tooth Bud Stage (MP:0013293),311
Enlarged Spleen (MP:0000691),360
Developmental Dysplasia (MPATH:64),50
Enlarged Heart (MP:0000274),427
Hyperactivity (MP:0001399),614
Enlarged Urinary Bladder (MP:0011874),83
Decreased Hemoglobin Content (MP:0002874),156
"Preweaning Lethality, Complete Penetrance (MP:0011100)",1785
Increased Blood Urea Nitrogen Level (MP:0005565),141
Decreased Bone Mineral Content (MP:0010124),320
Improved Glucose Tolerance (MP:0005292),116
Abnormal Response To Tactile Stimuli (MP:0005316),20
Decreased Circulating Serum Albumin Level (MP:0005419),185
Small Epididymis (MP:0004930),10
Small Kidney (MP:0002989),183
Increased Leukocyte Cell Number (MP:0000218),178
"Preweaning Lethality, Incomplete Penetrance (MP:0011110)",801
Abnormal Skin Morphology (MP:0002060),446
Cataract (MP:0001304),299
Increased Heart Weight (MP:0002833),253
Abnormal Heart Morphology (MP:0000266),462
Decreased Mean Corpuscular Hemoglobin (MP:0005562),176
Decreased Circulating Total Protein Level (MP:0005567),109
Persistence Of Hyaloid Vascular System (MP:0001289),160
Increased Neutrophil Cell Number (MP:0000219),169
Enlarged Ovary (MP:0004832),29
Decreased Thigmotaxis (MP:0020870),219
Abnormal Heart Looping (MP:0000269),16
Increased Circulating Bilirubin Level (MP:0005344),145
Hemorrhage (MP:0001914),60
Increased Circulating Free Fatty Acids Level (MP:0001554),34
Abnormal Retina Outer Nuclear Layer Morphology (MP:0003731),62
Decreased Body Length (MP:0001258),258
Increased Circulating Serum Albumin Level (MP:0002965),58
Enlarged Gallbladder (MP:0009342),17
Increased Memory-Marker NK Cell Number (MP:0013427),9
Increased Thigmotaxis (MP:0002797),40
Decreased Grip Strength (MP:0010053),347
Increased Monocyte Cell Number (MP:0000220),107
Absent Testes (MP:0006415),6
Abnormal Pancreas Morphology (MP:0001944),45
Increased Large Unstained Cell Number (MP:0012362),33
Abnormal Lymph Node Morphology (MP:0002339),161
Increased Bone Mineral Density (MP:0000062),109
Enlarged Kidney (MP:0003068),146
Lordosis (MP:0000162),10
