Pathway,Count
CPC001 HA1E 24H-hemado-10.0,46
CPC001 HA1E 24H-ici-89406-10.0,56
CPC001 HA1E 24H-n-benzylnaltrindole hydrochloride-10.0,101
CPC001 HA1E 24H-cilnidipine-10.0,50
CPC001 HA1E 24H-norketamine hydrochloride-10.0,53
CPC001 HA1E 24H-sdz 21009-10.0,13
CPC001 HA1E 24H-brefeldin a-10.0,211
CPC001 HA1E 24H-trichostatin a-10.0,200
CPC001 HA1E 24H-geldanamycin-10.0,166
CPC001 HA1E 24H-vinblastine sulfate-10.0,175
CPC001 HA1E 24H-taxol-10.0,116
CPC001 HA1E 24H-dpn-10.0,18
CPC001 HA1E 24H-genistin-10.0,98
CPC001 HA1E 24H-cyclosporine-10.0,133
CPC001 HA1E 24H-estradiol valerate-10.0,90
CPC001 HA1E 24H-lfm-a12-10.0,79
CPC001 HA1E 24H-ro 60-0175-10.0,39
CPC001 HA1E 24H-kf 38789-10.0,94
CPC001 HA1E 24H-lobelanidine hydrochloride-10.0,60
CPC001 HA1E 24H-fluticasone propionate-10.0,58
CPC001 HA1E 24H-rimcazole dihydrochloride-10.0,20
CPC001 HA1E 24H-clobetasol propionate-10.0,54
CPC001 HA1E 24H-ginsenoside-rc-10.0,62
CPC001 HA1E 24H-bw-b 70c-10.0,57
CPC001 HA1E 24H-wortmannin-10.0,100
CPC001 HA1E 24H-pd 166793-10.0,62
CPC001 HA1E 24H-fr 139317-10.0,54
CPC001 HA1E 24H-u 18666a-10.0,62
CPC001 HA1E 24H-sdz nkt 343-10.0,56
CPC001 HA1E 24H-naltrindole hydrochloride-10.0,49
CPC001 HA1E 24H-tenidap-10.0,43
CPC001 HA1E 24H-sarmentogenin-10.0,256
CPC001 HA1E 24H-ntncb hydrochloride-10.0,45
CPC001 HA1E 24H-ebpc-10.0,45
"CPC001 HA1E 24H-l-732,138-10.0",65
CPC001 HA1E 24H-ro 08-2750-10.0,146
CPC001 HA1E 24H-gr 32191 hydrochloride-10.0,46
CPC001 HA1E 24H-o-2050-10.0,45
CPC001 HA1E 24H-rottlerin ncgc00025228-11-10.0,177
CPC001 HA1E 24H-jak3 inhibitor vi-10.0,240
CPC001 HA1E 24H-zk 164015-10.0,49
CPC001 HA1E 24H-isoeugenitol-10.0,54
CPC001 HA1E 24H-r(-)-n-allylnorapomorphine-10.0,47
CPC001 HA1E 24H-angiogenesis inhibitor-10.0,71
CPC001 HA1E 24H-mibefradil dihydrochloride-10.0,42
CPC001 HA1E 24H-ic 261-10.0,116
CPC001 HA1E 24H-benzo[a]pyrene-10.0,52
CPC001 HA1E 24H-cdc-10.0,58
CPC001 HA1E 24H-gbr 13069 dihydrochloride-10.0,26
CPC001 HA1E 24H-gr 127935 hydrochloride-10.0,112
CPC001 HA1E 24H-dichlorobenzamil-10.0,110
CPC001 HA1E 24H-cyclosporin a-10.0,68
CPC001 HA1E 24H-cosmosiin-10.0,62
CPC001 HA1E 24H-syrosingopine-10.0,43
"CPC001 HA1E 24H-ly-165,163-10.0",47
CPC001 HA1E 24H-ag 556-10.0,62
CPC001 HA1E 24H-fit-10.0,107
CPC001 HA1E 24H-am 404-10.0,39
CPC001 HA1E 24H-digoxin-10.0,269
CPC001 HA1E 24H-arecaidine propargyl ester tosylate-10.0,49
CPC001 HA1E 24H-sb 269970 hydrochloride-10.0,58
CPC001 HA1E 24H-levcromakalim-10.0,43
CPC001 HA1E 24H-resveratrol-10.0,88
CPC001 HA1E 24H-pdgf receptor tyrosine kinase inhibitor i-10.0,103
CPC001 HA1E 24H-h 89 dihydrochloride-10.0,71
