Pathway,Count
SCF-SKBR3,159
TNFA-SKBR3,153
MSP-SKBR3,158
IFNA-SKBR3,138
PDGFBB-SKBR3,155
EPR-SKBR3,156
IL1-MCF10A,146
EPG-SKBR3,162
EGF-SKBR3,153
IL1-SKBR3,164
MCSF-MDAMB231,148
HGF-MDAMB231,151
GAS6-MDAMB231,145
EPG-MDAMB231,162
IL1-MDAMB231,152
HGF-MCF7,159
BTC-MCF10A,161
AR-BT20,162
HBEGF-BT20,157
EPG-MCF7,146
IFNA-BT20,137
IL6-MCF7,157
AR-SKBR3,150
IL4-MCF7,156
PDGFBB-MDAMB231,160
BNGF-BT20,155
TGFA-MCF7,158
IL4-HS578T,149
TNFA-MCF10A,149
IFNG-MCF7,132
HBEGF-SKBR3,152
IFNA-MDAMB231,148
MCSF-MCF7,148
HRG-SKBR3,157
GDNF-MCF7,142
HBEGF-HS578T,154
KGF-MCF7,149
HRG-MCF7,160
BTC-MCF7,155
IL1-HS578T,148
IGF1-MCF7,172
GAS6-MCF7,167
INS-SKBR3,160
EPR-MCF10A,170
BFGF-MCF7,138
FGF1-MCF7,145
FGF1-HS578T,146
IFNG-MCF10A,138
HGF-HS578T,160
EPG-BT20,157
GAS6-BT20,164
EGF-MCF10A,160
IL6-SKBR3,144
BNGF-HS578T,154
EGF-BT20,157
BTC-HS578T,154
IFNG-HS578T,138
EPG-MCF10A,153
TGFA-MCF10A,160
PDGFBB-BT20,151
TNFA-MCF7,159
EGF-HS578T,159
TGFA-HS578T,152
IL17-MCF7,149
PDGFBB-HS578T,159
BFGF-HS578T,155
MSP-HS578T,161
BTC-MDAMB231,160
IFNG-MDAMB231,131
IL1-BT20,146
GAS6-HS578T,159
IL1-MCF7,153
HRG-BT20,152
IL4-MDAMB231,140
EGF-MCF7,146
HGF-BT20,160
IFNA-HS578T,149
IL17-BT20,132
MCSF-SKBR3,166
MCSF-HS578T,175
TNFA-HS578T,164
IGF2-SKBR3,182
IGF2-BT20,130
BTC-SKBR3,151
IFNG-BT20,136
EGF-MDAMB231,156
TNFA-BT20,152
IFNG-SKBR3,135
BTC-BT20,144
IFNA-MCF7,143
HRG-MDAMB231,145
TGFA-BT20,157
EPR-BT20,166
BFGF-BT20,157
TGFA-SKBR3,149
TNFA-MDAMB231,153
