Pathway,Count
estradiol mouse uterus GSE23072 ligand:77,181
Interleukin-1 beta mouse embryonic fibroblasts from IRAK-4 kinase deficient mutants GDS2641 ligand:59,269
interleukin-12 mouse CD8 T cells GSE72791 ligand:236,168
17beta-estradiol mouse uterus GDS1058 ligand:37,363
Interleukin-13 human Breast cancer - MCF10CA1a cell line (pLKO-shSCR) GSE57677 ligand:242,324
interleukin 28B human hepatocyte GDS4390 ligand:183,329
interleukin 28B human hepatocyte GDS4390 ligand:189,399
TGF-beta human Panc-1 cells GDS4106 ligand:16,314
estradiol human MCF-7 cells GDS4052 ligand:268,358
estradiol human MCF-7 cells GSE23610 ligand:131,359
TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:256,350
TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:257,303
angiotensin II mouse suprarenal aorta GSE17901 ligand:262,370
angiotensin II mouse suprarenal aorta GSE17901 ligand:261,338
angiotensin II mouse suprarenal aorta GSE17901 ligand:260,372
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:69,311
nterferon-&Icirc;&plusmn; human keratinocyte GDS4601 ligand:176,397
Interleukin-13 (IL-13) human airway epithelial cells (AECs) GDS4981 ligand:72,326
interleukin-1 rat chondrocyte GDS2472 ligand:228,262
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:65,362
Interleukin-8 (IL-8) human immature dendritic cells GDS4567 ligand:74,285
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:67,300
Interleukin-1 beta mouse embryonic fibroblasts GDS2641 ligand:58,246
insulin-like growth factor I (IGF-I) human MCF-7 cells GSE26834 ligand:136,263
growth hormone mouse 3T3-F442A adipocytes GDS1489 ligand:12,278
growth hormone mouse 3T3-F442A adipocytes GDS1489 ligand:10,196
growth hormone mouse 3T3-F442A adipocytes GDS1489 ligand:11,246
interleukin-17A human keratinocyte GDS4601 ligand:185,333
neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:22,243
neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:21,346
neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:20,320
TGF-beta1 mouse renal mesangial MES-13 cells GDS1892 ligand:15,314
estradiol human MCF7cells GSE33287 ligand:82,311
estradiol human MCF7cells GSE33287 ligand:81,266
estradiol human MCF-7 breast cancer cells GDS3283 ligand:43,433
estradiol (E2) mouse uterine tissue GSE61921 ligand:289,392
estradiol (E2) mouse uterine tissue GSE61921 ligand:288,328
estrogen mouse left lung from ovariectomized animals GDS960 ligand:51,298
estradiol mouse hematopoietic stem cells (HSCs) GSE52711 ligand:97,280
Interleukin-13 human Breast cancer - MCF10CA1a cell line (pLKO-shIL13RA2) GSE57677 ligand:243,264
interleukin-4 human PBMC GSE59184 ligand:146,315
interleukin-4 human PBMC GSE59184 ligand:147,251
17beta-estradiol mouse vagina GSE6931 ligand:88,361
interleukin-6 human prostate fibroblasts GSE68164 ligand:238,295
17beta-estradiol mouse thymus GSE2889 ligand:154,163
estrogen human MCF-7 cells GSE11324 ligand:89,529
17beta-estradiol rat ischemic cerebral cortex GDS2311 ligand:263,385
TGF-beta human A549 epithelial cells GDS3710 ligand:254,307
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:70,303
