Pathway,Count
African Trypanosomiasis,40
Burkitts Lymphoma,10
Crohns Disease,12
Cushings Syndrome,7
Ewings Sarcoma,17
Graves Disease,17
Hodgkins Lymphoma,11
Kaposi Sarcoma,35
Parkinsons Disease,16
Refetoff Syndrome,5
Tourettes Disorder,71
Waldenstroms Macroglobulinemia WM,23
Wilms Tumor,17
Wolff Parkinson White Syndrome WPW,11
Zellweger Syndrome,17
Zollinger Ellison Syndrome,13
Abdominal Distension,17
Abstinence From Alcohol,24
Acetaminophen Overdose,26
Acne Vulgaris AV,7
Acquired Immunodeficiency Syndrome AIDS,31
Acromegaly,32
Acute Abdominal Visceral Spasm,5
Acute Coronary Syndrome ACS,19
Acute Glomerulonephritis AGN,12
Acute Intermittent Porphyria AIP,43
Acute Lymphoblastic Leukemia ALL,15
Acute Myeloid Leukemia AML,5
Adrenal Cortical Carcinoma,8
Aggressive Systemic Mastocytosis ASM,13
Allergic Rhinitis,18
Amblyopia,12
Amebiasis,12
Amyotrophic Lateral Sclerosis ALS,24
Anaphylactic Shock,32
Androgenetic Alopecia,13
Anemia,34
Anesthetic,30
Angioedema,16
Anterior Uveitis,5
Anthrax,5
Anticoagulent,11
Aphthous Ulcers,18
Ascariasis,5
Aspergillosis,10
Asthma,6
Astrocytoma,11
Attention Deficit Hyperactivity Disorder ADHD,12
Backache,12
Benign Prostatic Hyperplasia BPH,16
Bile Acid Synthesis Disorders,17
Bile Stimulation,8
Bipolar Disorder,9
Bladder Cancer,146
Bloating,9
Brainstem Glioma,11
Breast Cancer,104
Bronchitis,5
Bulimia Nervosa,30
Bursitis,42
Carcinoid Tumors,12
Cardiac Arrest,32
Cardiomyopathy,6
Caudal Epidural Block,12
Celiac Disease,19
Cerebral Vasospasm,31
Cerebrovascular Insufficiency,17
Cervical Cancer,15
Chest Congestion,8
Chicken Pox,6
Chlamydia,20
Cholera,5
Chronic Eosinophilic Leukemia CEL,68
Chronic Lymphocytic Leukemia CLL,10
Chronic Myeloid Leukemia CML,23
Chronic Myelomonocytic Leukemia CMMoL,34
Chronic Obstructive Pulmonary Disease COPD,5
Chronic Renal Failure,12
Chronic Stable Angina,13
Chronic Venous Insufficiency CVI,5
Claudication,13
Colitis,16
Colorectal Cancer,104
Congenital Adrenal Hyperplasia,31
Congenital Heart Defects,15
Congestive Heart Failure,19
Conjunctivitis,18
Contact Dermatitis,5
Coronary Artery Disease CAD,13
Coronary Heart Disease,5
Cough Suppressant,26
Cutaneous T Cell Lymphoma CTCL,10
Cutaneous Candidiasis,5
Cutaneous Mast Cell Tumors,5
Cyclitis,26
Cycloplegia,12
Cystic Hydatid Disease,8
Dandruff,10
Deep Vein Thrombosis DVT,6
Depression,6
Dermatitis,6
Dermatitis Herpetiformis DH,11
Dermatofibrosarcoma Protuberans DFSP,68
Dermatomyositis,31
Dermatosis,8
Diabetes Mellitus,7
Diabetic Nephropathy,16
Diarrhea,7
Diphtheria,20
Dizziness,12
Drowsiness,8
Duodenal Ulcer Disease,20
Dyschromia,17
Dysthymic Disorder,12
Ear Infections,20
Eczema,5
Emphysema,5
Endocrine Adenoma,13
Endometriosis,5
Enteritis,83
Ependymoma,11
Epicondylitis,31
Epilepsy,5
Erectile Dysfunction,10
Erythrasma,20
Esophageal Candidiasis,9
Esophageal Varices,5
Exercise Induced Bronchoconstriction EIB,18
Fatigue,8
Fescue Toxicosis,6
Fever,88
Fibromyalgia,5
Follicular Lymphoma,18
Fungal Infection,17
Gastric Adenocarcinoma,104
Gastroesophageal Reflux Disease GERD,13
Gastrointestinal Parasites,5
Gastrointestinal Roundworms,5
Gastrointestinal Stromal Tumors GIST,68
General Anaesthetic,17
Generalized Anxiety Disorder GAD,7
Genitial Herpes,6
Genitourinary Tract Infections,20
Gestational Choriocarcinoma,106
Gestational Trophoblastic Disease GTD,17
Giardiasis,10
Glaucoma,5
Glioblastoma,11
Goiter,17
Gonorrhea,20
Gout,27
Gram Positive Bacterial Infections,43
Hairy Cell Leukemia,21
Head And Neck Squamous Cell Carcinoma HNSCC,21
Headache,8
Heart Attack,62
Heavy Leg Syndrome,5
Hemorrhagic Cystitis,17
Hemorrhoids,14
Hepatic Cirrhosis,12
Hepatic Encephalopathy HE,5
Hepatic Injury,26
Hepatocellular Carcinoma HCC,85
Hookworm,5
Human Immunodeficiency Virus HIV 1,5
Hydatidiform Mole,106
Hyperaldosteronism,40
Hypereosinophilic Syndrome HES,68
Hyperglycemia,8
Hyperprolactinemia,32
Hyperthyroidism,6
Hypertriglyceridemia,30
Hyperuricemia,12
Hypoactive Sexual Desire Disorder,6
Hypocalcemia,10
Hypoglycemia,17
Hypokalemia,40
Hypoparathyroidism,10
Hypothyroidism,8
Ichthyosis Vulgaris,12
Idiopathic Pulmonary Fibrosis IPF,22
Indigestion,8
Inflammatory Bowel Disease,5
Influenza A Virus Infection,7
Insomnia,6
Iritis,26
Iron Overload,11
Irritability,69
Itching,39
Joint Inflammation,5
Kidney Stones,27
Labor Induction,8
Left Ventricular Systolic Dysfunction LVSD,20
Leishmaniasis,5
Leprosy,11
Listeria,20
Local Anesthetic,13
Lumbar Epidural Block,12
Lupus,83
Lymphangioleiomyomatosis,57
Malaria,5
Malignant Hyperthermia MH,9
Mantle Cell Lymphoma MCL,14
Mastocytoma,14
Medullary Thyroid Cancer MTC,16
Medulloblastoma,11
Melanoma,18
Meningitis,5
Menstrual Pain,7
Mesothelioma,14
Mouth Inflammation,25
Multiple Myeloma,84
Multiple Sclerosis,13
Muscle Pain,88
Muscle Relaxant,5
Mycosis,16
Mydriasis,12
Myelodysplastic Diseases MDS,34
Myelofibrosis,6
Myeloma,35
Myocardial Perfusion Imaging MPI,5
Myxedema Coma,9
Narcolepsy,6
Nephrotic Syndrome,12
Neuroblastoma,10
Neuroendocrine Tumors Of Pancreatic Origin PNET,41
Nicotinism,7
Non Hodgkin Lymphoma NHL,11
Non Small Cell Lung Cancer NSCLC,10
Obesity,6
Obsessive Compulsive Disorder OCD,17
Onchocerciasis,40
Oropharyngeal Candidiasis,35
Osteoporosis,11
Otitis,5
Ovarian Cancer,146
Pancreatic Cancer,104
Panic Disorders,30
Parenchymal Neurocysticercosis,8
Pelvic Inflammatory Disease,10
Peptic Ulcer Disease PUD,25
Percutaneous Coronary Intervention PCI,5
Peripheral T Cell Lymphoma PTCL,14
Peripheral Nerve Block,12
Peripheral Neuropathy,21
Peroxisomal Disorders,17
Pharyngitis,7
Pheochromocytoma,12
Pinworm,5
Plague,5
Pneumonia,10
Poison Antidote,6
Polycystic Ovary Syndrom PCOS,15
Polycythemia Vera,12
Postpartum Hemorrhage PPH,5
Premature Ejaculation PE,5
Premenstrual Syndrome,21
Preservative,24
Primary Dysmenorrhea PD,63
Primary Peritoneal Cancer PPC,9
Prostate Cancer,6
Psoriasis,17
