Pathway,Count
Healthy Kupffer Cells 1 Seidman Et Al. 2020,522
Ly6c Hi And Lo Recruited Macrophages 2 Seidman Et Al. 2020,791
Ly6c Hi Recruited Macrophages 3 Seidman Et Al. 2020,250
NASH Kupffer Cells 4 Seidman Et Al. 2020,277
CCR2+IL1B+ Infiltrating Macrophages 1 Culemann Et Al. 2019,355
CX3CR1+ Lining Macrophages 2 Culemann Et Al. 2019,296
RETNLA+ Interstitial Macrophages 3 Culemann Et Al. 2019,251
MHCII+ Interstitial Macrophages 4 Culemann Et Al. 2019,65
CCR2+ARG1+ Infiltrating Macrophages 5 Culemann Et Al. 2019,304
MHCII High Dendritic Cells 6 Culemann Et Al. 2019,159
STMN1+ Proliferating Cells 7 Culemann Et Al. 2019,673
Erythroid Progenitors 1 Paul Et Al. 2015,276
Erythroid Progenitors 2 Paul Et Al. 2015,135
Erythroid Progenitors 3 Paul Et Al. 2015,90
Erythroid Progenitors 4 Paul Et Al. 2015,33
Erythroid Progenitors 5 Paul Et Al. 2015,117
Erythroid Progenitors 6 Paul Et Al. 2015,66
Erythroid Progenitors 7 Paul Et Al. 2015,120
Erythroid Progenitors 8 Paul Et Al. 2015,191
Neutrophil 9 Paul Et Al. 2015,127
Monocyte 10 Paul Et Al. 2015,43
DC 11 Paul Et Al. 2015,271
Basophil 12 Paul Et Al. 2015,50
Basophil 13 Paul Et Al. 2015,215
Monocyte 14 Paul Et Al. 2015,50
Monocyte 15 Paul Et Al. 2015,38
Neutrophil 16 Paul Et Al. 2015,52
Neutrophil 17 Paul Et Al. 2015,126
Eosinophil 18 Paul Et Al. 2015,610
Lymphoid 19 Paul Et Al. 2015,277
Microglia 1 Lavin Et Al. 2014,537
Kupffer Cells & Spleen MΦ 2 Lavin Et Al. 2014,262
Kupffer Cells & Spleen & Lung MΦ 3 Lavin Et Al. 2014,425
Lung MΦ 4 Lavin Et Al. 2014,223
Lung & Peritoneal MΦ 5 Lavin Et Al. 2014,166
Peritoneal MΦ 6 Lavin Et Al. 2014,243
Ileal & Colonic MΦ 7 Lavin Et Al. 2014,233
Monocytes 8 Lavin Et Al. 2014,214
Shared 9 Lavin Et Al. 2014,178
Shared 10 Lavin Et Al. 2014,191
Shared 11 Lavin Et Al. 2014,110
Yolk Sac 1 Matcovitch-Natan Et Al. 2016,313
Early Microglia E1 2 Matcovitch-Natan Et Al. 2016,729
Early Microglia E2 3 Matcovitch-Natan Et Al. 2016,449
Pre-microglia P1 4 Matcovitch-Natan Et Al. 2016,214
Pre-microglia P2 5 Matcovitch-Natan Et Al. 2016,312
Mature Microglia A1 6 Matcovitch-Natan Et Al. 2016,358
Mature Microglia A2 7 Matcovitch-Natan Et Al. 2016,361
Resident AM #1 1 Mould Et Al. 2019,25
Resident AM #2 2 Mould Et Al. 2019,26
Recruited AM Day 3 #1 3 Mould Et Al. 2019,22
Recruited AM Day 3 #2 4 Mould Et Al. 2019,28
Recruited AM Day 6 5 Mould Et Al. 2019,29
Day 1 post-MI 1 Mouton Et Al. 2018,470
Day 3 post-MI 2 Mouton Et Al. 2018,1067
Day 7 post-MI 3 Mouton Et Al. 2018,1704
Progenitor 1 1 Thion Et Al. 2018,896
Progenitor 2 2 Thion Et Al. 2018,1467
Progenitor 3 3 Thion Et Al. 2018,1330
Embryonic 1 4 Thion Et Al. 2018,762
Embryonic 2 5 Thion Et Al. 2018,1507
Adult 1 6 Thion Et Al. 2018,1623
Adult 2 7 Thion Et Al. 2018,740
Spleen 1 Gautier Et Al. 2012,83
Lung 2 Gautier Et Al. 2012,90
Peritoneal 3 Gautier Et Al. 2012,87
Microglia 4 Gautier Et Al. 2012,42
AM Differentiation 1 Misharin Et Al. 2017,2957
Infiltrating Monocytes 2 Misharin Et Al. 2017,2283
Monocyte-derived 3 Misharin Et Al. 2017,1407
Early Fibrosis 4 Misharin Et Al. 2017,1797
Late Fibrosis 5 Misharin Et Al. 2017,2113
