Pathway,Count
v-Myb GSE2815 mcf7:76,148
trans-retinoic acid + hydrocorti GSE32161 mcf7:20,276
CDH11 siRNA 96 hrs GSE53668 mcf7:297,296
RON and MSP overexpression GSE52567 mcf7:480,347
cisplatin GSE28274 mcf7:48,346
transfection with siRNA targeting metastasis suppressor ARGHDIB GSE53668 mcf7:259,173
transfection with siRNA targeting metastasis suppressor ARGHDIB GSE53668 mcf7:258,140
cysteine GSE62673 mcf7:167,300
"ICI-182,780(Fulvestrant) GSE35428 mcf7:338",438
PTTG1 siRNA GSE48928 mcf7:346,316
"ICI-182,780(Fulvestrant) GSE35428 mcf7:334",411
estradiol GSE11506 mcf7:60,302
estradiol GSE11506 mcf7:61,259
KISS1 siRNA 48 hrs GSE53668 mcf7:290,354
cycloheximide GSE8597 mcf7:55,280
Neuregulin (NRG) 3 hrs GSE69540 mcf7:205,249
Neuregulin (NRG) 6 hrs GSE69540 mcf7:206,288
estradiol GSE33287 mcf7:328,334
Ferulic acid GSE23610 mcf7:464,264
CDH2 siRNA 96 hrs GSE53668 mcf7:296,197
TNFa 90 min + 14-3-3 overexpress GSE37139 mcf7:438,313
dimethyloxalylglycine GDS2759 mcf7:105,228
triptolide GSE28662 mcf7:291,566
induction of expression of nuclear LIM-only protein 4 (LMO4) GDS2788 mcf7:106,287
NMS-E973 GSE19638 mcf7:144,348
cyclin D1 siRNA + E2 24 hrs GSE48989 mcf7:345,373
TNFa 20 min GSE37139 mcf7:435,402
RRM1 siRNA 48 hrs GSE53668 mcf7:288,394
gefitinib GSE48652 mcf7:270,270
estradiol GSE11352 mcf7:64,324
estradiol GSE11352 mcf7:63,292
estradiol GSE11352 mcf7:62,210
SPDEF siRNA GSE48928 mcf7:347,310
knockdownofESR1 GSE18431 mcf7:326,301
Doxorubicin GSE13477 mcf7:8,280
Irinotecan (SN-38) GSE19638 mcf7:145,371
Tanespimycin (17-AAG) GSE19638 mcf7:140,390
argyrin A GDS3367 mcf7:108,390
argyrin A GDS3367 mcf7:109,341
AM580 GSE42619 mcf7:275,284
NFKB1 siRNA GSE31912 mcf7:133,289
4-hydroxytamoxifen GSE35428 mcf7:333,248
c-Myb GSE2815 mcf7:75,127
1nM E2 + 40nM endoxifen 24 hours GSE27375 mcf7:496,320
transfection with siRNA targeting metastasis suppressor CDH1 GSE53668 mcf7:244,160
estradiol GSE23610 mcf7:462,241
