Pathway,Count
MP:0000003 abnormal adipose tissue morphology,16
MP:0000005 increased brown adipose tissue amount,30
MP:0000008 increased white adipose tissue amount,32
MP:0000010 abnormal abdominal fat pad morphology,18
MP:0000013 abnormal adipose tissue distribution,12
MP:0000015 abnormal ear pigmentation,8
MP:0000017 big ears,4
MP:0000018 small ears,19
MP:0000022 abnormal ear shape,5
MP:0000023 abnormal ear position,11
MP:0000024 lowered ear position,17
MP:0000026 abnormal inner ear morphology,43
MP:0000029 abnormal malleus morphology,23
MP:0000030 abnormal tympanic ring morphology,16
MP:0000031 abnormal cochlea morphology,51
MP:0000032 cochlear degeneration,5
MP:0000033 absent scala media,4
MP:0000034 abnormal inner ear vestibule morphology,24
MP:0000035 abnormal membranous labyrinth morphology,12
MP:0000036 absent semicircular canals,10
MP:0000037 abnormal lateral semicircular canal morphology,10
MP:0000039 abnormal otic capsule morphology,9
MP:0000040 absent middle ear ossicles,3
MP:0000041 absent endolymphatic duct,6
MP:0000042 abnormal organ of Corti morphology,41
MP:0000043 organ of Corti degeneration,45
MP:0000044 absent organ of Corti,4
MP:0000048 abnormal stria vascularis morphology,26
MP:0000049 abnormal middle ear morphology,28
MP:0000060 delayed bone ossification,76
MP:0000061 fragile skeleton,23
MP:0000062 increased bone mineral density,106
MP:0000063 decreased bone mineral density,244
MP:0000064 failure of secondary bone resorption,4
MP:0000065 abnormal bone marrow cavity morphology,18
MP:0000066 osteoporosis,42
MP:0000067 osteopetrosis,29
MP:0000069 kyphoscoliosis,17
MP:0000071 axial skeleton hypoplasia,3
MP:0000074 abnormal neurocranium morphology,75
MP:0000075 absent neurocranium,4
MP:0000077 abnormal interparietal bone morphology,14
MP:0000078 abnormal supraoccipital bone morphology,11
MP:0000079 abnormal basioccipital bone morphology,17
MP:0000080 abnormal exoccipital bone morphology,7
MP:0000081 premature suture closure,10
MP:0000084 abnormal fontanelle morphology,14
MP:0000085 large anterior fontanelle,5
MP:0000087 absent mandible,16
MP:0000088 short mandible,56
MP:0000091 short premaxilla,12
MP:0000097 short maxilla,35
MP:0000098 abnormal vomer bone morphology,4
MP:0000102 abnormal nasal bone morphology,24
MP:0000104 abnormal sphenoid bone morphology,8
MP:0000106 abnormal basisphenoid bone morphology,19
MP:0000107 abnormal frontal bone morphology,39
MP:0000108 midline facial cleft,13
MP:0000109 abnormal parietal bone morphology,28
MP:0000111 cleft palate,125
MP:0000116 abnormal tooth development,31
MP:0000118 arrest of tooth development,5
