Pathway,Count
MORF ATRX,211
MORF ATOX1,80
MORF BCL2,222
MORF BNIP1,190
MORF BAG5,57
MORF BCL2L11,188
MORF BECN1,101
MORF BRCA1,264
MORF BUB1,52
MORF BUB3,276
MORF CTBP1,168
MORF CCNF,77
MORF CCNI,88
MORF DNMT1,117
MORF ERCC2,102
MORF ESPL1,61
MORF FDXR,226
MORF FEN1,65
MORF GPX4,54
MORF HAT1,174
MORF HDAC1,254
MORF HDAC2,277
MORF MDM2,282
MORF MT4,246
MORF MSH2,61
MORF MSH3,245
MORF NF1,169
MORF PRDX3,84
MORF PCNA,83
MORF PSMC1,190
MORF PSMC2,117
MORF PSMF1,164
MORF PRKDC,190
MORF RAD21,182
MORF RAD23A,345
MORF RAD23B,179
MORF RAD51L3,392
MORF RAD54L,105
MORF RFC1,110
MORF RFC4,150
MORF RFC5,76
MORF RPA1,61
MORF RPA2,191
MORF RRM1,102
MORF STK17A,171
MORF SMC1L1,62
MORF SP3,80
MORF SOD1,277
MORF TERF1,65
MORF TERF2IP,112
MORF TFDP2,231
MORF UNG,76
MORF MYC,79
MORF XPC,62
MORF XRCC5,234
MORF AATF,205
MORF ACP1,210
MORF ACTG1,138
MORF ANP32B,197
MORF AP2M1,217
MORF AP3D1,128
MORF ARAF1,78
MORF ARL3,307
MORF ATF2,332
MORF BMI1,80
MORF BMPR2,53
MORF BUB1B,66
MORF CAMK4,294
MORF CASP10,117
MORF CASP2,103
MORF CD8A,127
MORF CDC10,143
MORF CDC16,73
MORF CDC2L5,140
MORF CDH4,140
MORF CDK2,71
MORF CNTN1,108
MORF CSNK1D,70
MORF CSNK2B,287
MORF CTSB,190
MORF CUL1,71
MORF DAP,78
MORF DAP3,193
MORF DCC,113
MORF DDB1,241
MORF DDX11,156
MORF DEAF1,56
MORF DEK,262
MORF DMPK,176
MORF EI24,142
MORF EIF3S2,244
MORF EIF3S6,121
MORF EIF4A2,137
MORF EIF4E,84
MORF EPHA7,140
MORF ERCC4,326
MORF ERH,114
MORF ESR1,172
MORF ETV3,64
MORF FANCG,166
MORF FBL,139
MORF FLT1,126
MORF FOSL1,409
MORF FRK,111
MORF FSHR,282
MORF G22P1,171
MORF GMPS,53
MORF GNB1,303
MORF GSPT1,49
MORF HEAB,81
MORF IFNA1,207
MORF IKBKG,137
MORF IL13,233
MORF IL16,242
MORF IL4,196
MORF IL9,94
MORF ITGA2,57
MORF JAG1,94
MORF JAK3,96
MORF JUND,64
MORF KDR,95
MORF LCAT,134
MORF LMO1,50
MORF LTK,147
MORF MAGEA8,263
MORF MAGEA9,428
MORF MAP2K2,131
MORF MAP2K7,185
MORF MAP3K14,121
MORF MBD4,86
MORF MLLT10,305
MORF MTA1,102
MORF MYL3,71
MORF MYST2,68
MORF NME2,154
MORF NOS2A,291
MORF NPM1,162
MORF ORC1L,69
MORF PAPSS1,101
MORF PAX7,269
MORF PDCD1,73
MORF PDPK1,74
MORF PHB,123
MORF PML,145
MORF PPP1CA,169
MORF PPP1CC,164
MORF PPP2CA,127
MORF PPP2R4,50
MORF PPP2R5B,175
MORF PPP2R5E,82
MORF PPP5C,90
MORF PPP6C,103
MORF PRKACA,111
MORF PRKAG1,219
MORF PRKAR1A,142
MORF PRKCA,183
MORF PTEN,85
MORF PTPN11,108
MORF PTPN9,61
MORF PTPRB,257
MORF PTPRR,103
MORF RAB11A,59
MORF RAB1A,194
MORF RAB3A,89
MORF RAB5A,97
MORF RAB6A,67
MORF RAC1,211
MORF RAF1,110
MORF RAGE,148
MORF RAN,268
MORF RAP1A,139
MORF RBBP8,213
MORF RBM8A,85
MORF REV3L,57
MORF RUNX1,150
MORF SART1,63
MORF SKP1A,202
MORF SNRP70,61
MORF SS18,61
MORF SUPT3H,332
MORF THPO,129
MORF THRA,54
MORF TNFRSF25,268
MORF TNFRSF6,169
MORF TPR,144
MORF TPT1,102
MORF TTN,51
MORF UBE2A,49
MORF UBE2I,238
MORF UBE2N,94
MORF USP5,50
MORF WNT1,107
MORF ZNF10,54
GCM ATM,27
GCM BNIP1,78
GCM BAG5,38
GCM BCL2L1,35
GCM BECN1,68
GCM ERBB2IP,64
GCM GSTA4,67
GCM HDAC1,38
GCM PSME1,85
GCM RAD21,37
GCM SIRT2,43
GCM TINF2,40
GCM ACTG1,124
GCM AIP,40
GCM ANP32B,36
GCM APEX1,114
GCM AQP4,45
GCM BMPR2,84
GCM CALM1,109
GCM CASP2,27
GCM CBFB,70
GCM CDH5,35
GCM CHUK,72
GCM CRKL,64
GCM CSNK1A1,36
GCM CSNK1D,32
GCM CSNK2B,99
GCM DDX11,44
GCM DDX5,65
GCM DEAF1,28
GCM DENR,49
GCM DFFA,129
GCM DLG1,78
GCM DPF2,32
GCM ERCC4,29
GCM FANCC,124
GCM FANCL,24
GCM FCGR2B,38
