Pathway,Count
GLI1 UP.V1 DN,29
GLI1 UP.V1 UP,27
E2F1 UP.V1 DN,193
E2F1 UP.V1 UP,189
EGFR UP.V1 DN,196
EGFR UP.V1 UP,193
ERB2 UP.V1 DN,197
ERB2 UP.V1 UP,191
GCNP SHH UP EARLY.V1 DN,169
GCNP SHH UP EARLY.V1 UP,174
GCNP SHH UP LATE.V1 DN,180
GCNP SHH UP LATE.V1 UP,183
RAPA EARLY UP.V1 DN,191
RAPA EARLY UP.V1 UP,183
HINATA NFKB IMMU INF,17
HINATA NFKB MATRIX,10
CYCLIN D1 KE .V1 DN,194
CYCLIN D1 KE .V1 UP,190
CYCLIN D1 UP.V1 DN,191
CYCLIN D1 UP.V1 UP,188
CSR EARLY UP.V1 DN,154
CSR EARLY UP.V1 UP,164
CSR LATE UP.V1 DN,170
CSR LATE UP.V1 UP,172
AKT UP MTOR DN.V1 DN,183
AKT UP MTOR DN.V1 UP,184
AKT UP.V1 DN,187
AKT UP.V1 UP,172
MTOR UP.V1 DN,184
MTOR UP.V1 UP,170
PIGF UP.V1 DN,194
PIGF UP.V1 UP,191
VEGF A UP.V1 DN,193
VEGF A UP.V1 UP,196
BCAT GDS748 DN,47
BCAT GDS748 UP,48
BCAT.100 UP.V1 DN,45
BCAT.100 UP.V1 UP,49
ATF2 S UP.V1 DN,187
ATF2 S UP.V1 UP,193
ATF2 UP.V1 DN,187
ATF2 UP.V1 UP,192
WNT UP.V1 DN,170
WNT UP.V1 UP,180
ATM DN.V1 DN,149
ATM DN.V1 UP,146
P53 DN.V2 DN,145
P53 DN.V2 UP,148
RELA DN.V1 DN,141
RELA DN.V1 UP,149
P53 DN.V1 DN,192
P53 DN.V1 UP,194
BCAT BILD ET AL DN,46
BCAT BILD ET AL UP,49
E2F3 UP.V1 DN,183
E2F3 UP.V1 UP,196
MYC UP.V1 DN,182
MYC UP.V1 UP,186
SRC UP.V1 DN,179
SRC UP.V1 UP,188
SNF5 DN.V1 DN,164
SNF5 DN.V1 UP,177
CAMP UP.V1 DN,200
CAMP UP.V1 UP,200
LTE2 UP.V1 DN,196
LTE2 UP.V1 UP,190
MEK UP.V1 DN,196
MEK UP.V1 UP,196
RAF UP.V1 DN,194
RAF UP.V1 UP,196
PRC1 BMI UP.V1 DN,192
PRC1 BMI UP.V1 UP,190
PRC2 EDD UP.V1 DN,194
PRC2 EDD UP.V1 UP,193
PRC2 EZH2 UP.V1 DN,194
PRC2 EZH2 UP.V1 UP,195
PRC2 SUZ12 UP.V1 DN,191
PRC2 SUZ12 UP.V1 UP,194
JNK DN.V1 DN,191
JNK DN.V1 UP,192
BRCA1 DN.V1 DN,143
BRCA1 DN.V1 UP,141
CTIP DN.V1 DN,141
CTIP DN.V1 UP,138
PKCA DN.V1 DN,167
PKCA DN.V1 UP,170
MTOR UP.N4.V1 DN,193
MTOR UP.N4.V1 UP,196
PTEN DN.V2 DN,144
PTEN DN.V2 UP,143
DCA UP.V1 DN,193
DCA UP.V1 UP,191
ESC J1 UP EARLY.V1 DN,179
ESC J1 UP EARLY.V1 UP,183
ESC J1 UP LATE.V1 DN,186
ESC J1 UP LATE.V1 UP,191
ESC V6.5 UP EARLY.V1 DN,172
ESC V6.5 UP EARLY.V1 UP,170
ESC V6.5 UP LATE.V1 DN,186
ESC V6.5 UP LATE.V1 UP,190
ALK DN.V1 DN,148
ALK DN.V1 UP,145
BMI1 DN MEL18 DN.V1 DN,147
BMI1 DN MEL18 DN.V1 UP,145
BMI1 DN.V1 DN,144
BMI1 DN.V1 UP,147
MEL18 DN.V1 DN,148
MEL18 DN.V1 UP,141
PTEN DN.V1 DN,187
PTEN DN.V1 UP,191
NOTCH DN.V1 DN,189
NOTCH DN.V1 UP,193
EIF4E DN,100
EIF4E UP,100
CRX DN.V1 DN,134
CRX DN.V1 UP,136
CRX NRL DN.V1 DN,130
CRX NRL DN.V1 UP,140
NRL DN.V1 DN,134
NRL DN.V1 UP,136
RB DN.V1 DN,126
RB DN.V1 UP,137
RB P107 DN.V1 DN,128
RB P107 DN.V1 UP,140
RB P130 DN.V1 DN,139
RB P130 DN.V1 UP,133
CAHOY ASTROCYTIC,100
CAHOY ASTROGLIAL,100
CAHOY NEURONAL,100
CAHOY OLIGODENDROCUTIC,100
RPS14 DN.V1 DN,187
RPS14 DN.V1 UP,192
IL15 UP.V1 DN,190
IL15 UP.V1 UP,192
IL2 UP.V1 DN,196
IL2 UP.V1 UP,192
IL21 UP.V1 DN,187
IL21 UP.V1 UP,193
PDGF ERK DN.V1 DN,149
PDGF ERK DN.V1 UP,147
PDGF UP.V1 DN,142
PDGF UP.V1 UP,146
TGFB UP.V1 DN,192
TGFB UP.V1 UP,192
YAP1 DN,48
YAP1 UP,47
SIRNA EIF4GI DN,99
SIRNA EIF4GI UP,95
HOXA9 DN.V1 DN,195
HOXA9 DN.V1 UP,194
SINGH KRAS DEPENDENCY SIGNATURE ,20
STK33 DN,289
STK33 NOMO DN,292
STK33 NOMO UP,294
STK33 SKM DN,288
STK33 SKM UP,290
STK33 UP,293
KRAS.AMP.LUNG UP.V1 DN,146
KRAS.AMP.LUNG UP.V1 UP,144
KRAS.DF.V1 DN,194
KRAS.DF.V1 UP,193
TBK1.DF DN,287
