Pathway,Count
(S)-Methylmalonate Semialdehyde,10
"1,2-Diacyl-sn-glycerol",39
1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine,17
1-Acyl-sn-glycero-3-phosphocholine,23
1-Acyl-sn-glycero-3-phosphoethanolamine,21
1-Acyl-sn-glycerol 3-Phosphate,10
1-Acylglycerol,5
1-Organyl-2-lyso-sn-glycero-3-phosphocholine,21
1-Phosphatidyl-D-myo-inositol,35
1-Radyl-2-acyl-sn-glycero-3-phosphocholine,20
11-Deoxycorticosterone,7
11-cis-Retinol,5
"11beta-Hydroxyandrost-4-ene-3,17-dione",6
12(13)-EpOME,6
15S-HpETE,8
17alpha-Hydroxyprogesterone,6
"1D-myo-Inositol 1,3,4,5-Tetrakisphosphate",8
2-Methoxy-17beta-estradiol,18
2-Methoxy-estradiol-17beta 3-Glucuronide,17
2-Methoxyestrone,18
2-Methoxyestrone 3-Glucuronide,17
2-Phospho-D-glycerate,7
"3',5' Cyclic AMP",9
"3',5' Cyclic GMP",12
"3,4-Dihydroxymandelaldehyde",8
"3,4-Dihydroxyphenylglycol",6
3-Aminopropionaldehyde,6
3-Dehydroxycarnitine,5
3-Mercaptopyruvic Acid,6
3-Methyl Pyruvic Acid,9
3-Methylbut-2-enoyl-CoA,6
3-Oxohexanoyl-CoA,7
3-Oxooctanoyl-CoA,5
3-Oxotetradecanoyl-CoA,5
3-Phospho-D-glyceroyl Dihydrogen Phosphate,5
3-Phosphoglyceric Acid,6
3-Sulfino-alanine,5
"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al",5
"3alpha,7alpha-Dihydroxy-5beta-cholestanoic Acid",6
4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol,24
4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone,10
4-Aminobutyraldehyde,5
4-Hydroxyphenylpyruvic Acid,5
4a-Carbinolamine Tetrahydrobiopterin,5
"5,10-Methenyltetrahydrofolate",6
5-Hydroxyindoleacetaldehyde,7
5-Hydroxyindoleacetic Acid,6
5S-HpETE,5
"5alpha-Pregnane-3,20-dione",5
6R-Tetrahydrofolic Acid,19
9(10)-EpOME,6
9-cis-Retinal,7
ADP,134
AMP,64
ATP,199
Acetaldehyde,14
Acetic Acid,18
Acetoacetyl-CoA,9
Acetyl-CoA,35
"Adenosine 3',5'-Bisphosphate",15
Aflatoxin B1,5
"Aflatoxin B1exo-8,9-epoxide-GSH",19
Alanine,7
Androstenedione,12
Androsterone,18
