Pathway,Count
MCF7,397
T3M4,290
U20S,458
HSG,276
HL60,1914
U118,144
GM1600,407
GM2313,301
PANC1,337
SF295,173
HCC2998,335
HCT116,574
IOSE80,80
MALME 3M,366
SKOV3,238
HEK 293T,529
RS11846,360
RPMI 8226,452
OVCAR3,128
CCRT CEM,2130
OVCAR5,180
OVCAR4,212
OVCAR8,242
SAOS2,228
SF268,116
HCT15,226
GM2493,253
HELA,162
K562,639
MOLT4,426
NCVADR RES,225
UACC257,196
huh-7,414
COLO205,421
U251,108
A361,205
MD MB231,150
A204,694
T24,88
UACC62,232
MDA MB435,621
SN12C,221
SNB75,231
HT29,456
DU145,143
SHSYSY+RA,351
HEK293,546
A172,423
HS578T,176
HEK 293 T-rex    ,773
RL7,521
HOP92,228
IGROV1,255
LOX IMVI,192
NCI H226,587
RXF393,135
TK10,148
HT1080,380
786,76
SHSYSY-RA,584
ACHN,237
ZR75 1,440
SKMEL28,436
UO31,82
U87,352
NCI H322M,253
SR,325
SNB19,183
M14,192
JURKAT,374
DLD1,183
SF539,142
A549,129
astrocytes,309
LN18,383
EKVX,219
GM2345,259
SKMEL5,354
CAKI1,93
A498,142
KM12,179
NCI 460,187
U138,284
GM133,336
HEPG2,374
NCI H23,414
SKMEL2,216
ALVA31,560
GM97,753
SW620,315
HOP62,118
LNCAP,429
ACC3,325
