Pathway,Count
ascorbic acid-1610,100
mianserin-1385,100
PF-00875133-00-5967,100
thalidomide-5990,100
carbenoxolone-3353,100
trimethadione-4086,100
diphenylpyraline-2205,100
ribavirin-6521,100
prilocaine-2314,100
tyloxapol-3074,100
thiethylperazine-5756,100
naltrexone-2047,100
Prestwick-1084-6767,100
ribostamycin-3444,100
netilmicin-7302,100
vorinostat-1000,100
seneciphylline-2797,100
clindamycin-7172,100
syrosingopine-2753,100
prochlorperazine-4439,100
dipivefrine-2744,100
fenofibrate-7432,100
fenofibrate-2401,100
pentoxifylline-1444,100
tiabendazole-2479,100
pentetic acid-4669,100
amikacin-1618,100
bumetanide-7440,100
equilin-3377,100
sulpiride-1467,100
chlortetracycline-2042,100
bambuterol-3199,100
ganciclovir-3368,100
4-hydroxyphenazone-1497,100
PHA-00767505E-6596,100
PHA-00767505E-6591,100
cefaclor-2483,100
kawain-2337,100
probenecid-4185,100
alclometasone-2532,100
ethisterone-2326,100
hyoscyamine-2108,100
PF-00562151-00-6907,100
etifenin-2477,100
wortmannin-869,100
dexpanthenol-1802,100
famprofazone-3928,100
phenelzine-2357,100
promazine-6028,100
trichostatin A-3868,100
securinine-3470,100
tamoxifen-6768,100
vincamine-2367,100
meticrane-7282,100
mercaptopurine-667,100
dexibuprofen-6471,100
tetrandrine-7178,100
thioguanosine-4989,100
valproic acid-1665,100
tetrandrine-5821,100
piroxicam-2089,100
Prestwick-864-2994,100
thiethylperazine-3576,100
mefexamide-7478,100
chlorcyclizine-4367,100
ornidazole-5064,100
oxytetracycline-5772,100
nalbuphine-2225,100
phenindione-2868,100
fulvestrant-1146,100
zardaverine-7347,100
isopropamide iodide-7133,100
cefoxitin-3477,100
nicardipine-1600,100
LY-294002-6198,100
coralyne-1298,100
imipenem-5997,100
zimeldine-1930,100
trichostatin A-992,100
etofenamate-7327,100
atropine methonitrate-7253,100
cicloheximide-2723,100
mefloquine-2210,100
bephenium hydroxynaphthoate-6466,100
roxarsone-5470,100
dehydrocholic acid-1523,100
mephenytoin-6158,100
coralyne-2652,100
moracizine-2959,100
decamethonium bromide-7353,100
diazoxide-1368,100
paclitaxel-6720,100
CP-320650-01-4382,100
amiloride-3990,100
carbamazepine-919,100
N6-methyladenosine-2626,100
pilocarpine-3300,100
(+)-chelidonine-1786,100
PNU-0230031-3632,100
spironolactone-2226,100
sulfabenzamide-4979,100
diethylstilbestrol-3812,100
BCB000040-7488,100
adrenosterone-6486,100
metoclopramide-2353,100
acacetin-3767,100
piperacillin-3763,100
thapsigargin-7100,100
ciclopirox-5023,100
alpha-estradiol-122,100
novobiocin-342,100
thapsigargin-7103,100
blebbistatin-954,100
calcium pantothenate-4189,100
bemegride-6668,100
fluphenazine-1237,100
finasteride-3641,100
monastrol-596,100
LY-294002-6186,100
cinoxacin-6257,100
oxybutynin-7126,100
puromycin-5310,100
solasodine-4305,100
chenodeoxycholic acid-2402,100
sulfametoxydiazine-2712,100
7-aminocephalosporanic acid-4242,100
haloperidol-1539,100
lorglumide-6456,100
Prestwick-559-1728,100
Prestwick-664-4275,100
sulfadimethoxine-3441,100
BCB000038-7520,100
cefmetazole-6086,100
idoxuridine-1899,100
indapamide-4335,100
pronetalol-2902,100
foliosidine-3636,100
beta-escin-3807,100
desoxycortone-6476,100
lomefloxacin-4281,100
alpha-estradiol-6169,100
sulfasalazine-204,100
betonicine-3642,100
fusidic acid-5353,100
deferoxamine-4317,100
amitriptyline-167,100
PNU-0251126-3692,100
aciclovir-5643,100
mepenzolate bromide-3748,100
CP-944629-7497,100
perphenazine-5698,100
tanespimycin-1206,100
pyrimethamine-4779,100
promazine-3833,100
LY-294002-6987,100
chloropyramine-3011,100
hydroflumethiazide-7259,100
azacyclonol-1520,100
clebopride-2646,100
estradiol-2653,100
tropicamide-3619,100
tamoxifen-2050,100
methazolamide-3474,100
helveticoside-3770,100
naftidrofuryl-6687,100
equilin-5255,100
calcium folinate-4725,100
arachidonic acid-441,100
arachidonic acid-443,100
pyrimethamine-4194,100
colecalciferol-2436,100
nocodazole-2076,100
semustine-7545,100
semustine-7540,100
clotrimazole-3166,100
trichostatin A-5441,100
aztreonam-2118,100
flunisolide-3828,100
lidocaine-1999,100
tolmetin-3347,100
tridihexethyl-5067,100
trichostatin A-4344,100
pirenzepine-5872,100
Prestwick-674-4738,100
Prestwick-1082-3530,100
mexiletine-3862,100
3-acetamidocoumarin-2941,100
sulfaguanidine-4839,100
nifenazone-6016,100
levodopa-1472,100
perhexiline-5501,100
prednisolone-5526,100
cefsulodin-3328,100
noscapine-2745,100
butyl hydroxybenzoate-4647,100
ticarcillin-5829,100
prochlorperazine-2675,100
brompheniramine-4131,100
apigenin-3257,100
eucatropine-2556,100
oxamic acid-439,100
paromomycin-4420,100
pheniramine-1992,100
calmidazolium-906,100
mebhydrolin-4795,100
tretinoin-390,100
flunixin-3713,100
isoniazid-7197,100
dydrogesterone-4254,100
meclofenoxate-3405,100
sulfanilamide-3449,100
trazodone-7452,100
nalbuphine-7177,100
phenformin-2312,100
"""2,6-dimethylpiperidine""-3806",100
aminophenazone-2222,100
bisoprolol-5348,100
hydrastinine-5075,100
corynanthine-4227,100
prasterone-5019,100
tetraethylenepentamine-574,100
nizatidine-3047,100
cortisone-7416,100
liothyronine-3324,100
bacampicillin-4417,100
theobromine-3334,100
trichostatin A-6579,100
gallamine triethiodide-1375,100
diprophylline-5063,100
androsterone-5696,100
(-)-atenolol-5325,100
estradiol-6957,100
diclofenac-445,100
cefoxitin-7148,100
conessine-4191,100
trifluoperazine-5584,100
docosahexaenoic acid ethyl ester-881,100
amylocaine-1991,100
ribostamycin-2705,100
pivmecillinam-7312,100
minocycline-1135,100
butoconazole-2427,100
bergenin-2726,100
harmol-2900,100
oxolinic acid-5519,100
zardaverine-2926,100
5707885-6390,100
fluvastatin-3370,100
sulfanilamide-6810,100
lobeline-5784,100
chlorphenesin-2279,100
troglitazone-1012,100
doxazosin-3024,100
(-)-isoprenaline-4495,100
bicuculline-2139,100
tanespimycin-6985,100
cyclobenzaprine-1332,100
benzydamine-5811,100
liothyronine-2984,100
amiprilose-3339,100
benserazide-6722,100
novobiocin-576,100
