Pathway,Count
PMC102186 F9,7
PMC1064894 F3,11
PMC1069621 F5,6
PMC1083688 F2,5
PMC1087229 F8,6
PMC1087506 F8,7
PMC1124928 F4,6
PMC1140402 F2,5
PMC1143566 F2,5
PMC114459 F1,5
PMC1174965 F4,6
PMC1175050 F1,7
PMC1183194 F4,12
PMC1183194 F5,16
PMC1183194 F6,12
PMC1186734 F6,59
PMC1193534 F1,13
PMC1199368 F5,13
PMC1201250 F7,10
PMC1215521 F7,6
PMC1234333 F7,18
PMC1235815 F7,7
PMC1236696 F1,7
PMC1236698 F2,8
PMC1236700 F2,13
PMC123677 F3,10
PMC1237009 F1,9
PMC1280267 F7,5
PMC128142 F1,5
PMC1287678 F9,5
PMC128926 F2,5
PMC1297590 F2,6
PMC1297640 F1,16
PMC1304643 F2,7
PMC1312313 F8,9
PMC1323499 F1,5
PMC1327675 F3,29
PMC1327682 F3,8
PMC133602 F6,5
PMC1350949 F7,5
PMC1361361 F7,5
PMC1369209 F3,5
PMC137069 F1,5
PMC1375233 F2,13
PMC1375233 F5,12
PMC1380241 F1,5
PMC1383482 F1,5
PMC1383550 F2,7
PMC1383660 F6,6
PMC1386115 F3,8
PMC138687 F1,6
PMC138693 F2,5
PMC139100 F8,6
PMC139401 F2,7
PMC139433 F2,5
PMC1395315 F1,16
PMC1395315 F5,8
PMC140043 F8,6
PMC140192 F7,5
PMC140507 F1,5
PMC1410746 F3,9
PMC1413813 F8,5
PMC1415320 F6,7
PMC1420312 F5,45
PMC1421301 F1,6
PMC1431703 F5,10
PMC1431720 F7,8
PMC1435944 F6,29
PMC1436036 F12,19
PMC1440308 F6,6
PMC1440308 F7,9
PMC1447421 F10,5
PMC1479092 F1,8
PMC1479345 F3,18
PMC1479345 F4,22
PMC1479345 F5,9
PMC1479345 F6,15
PMC1479345 F7,5
PMC1480599 F7,11
PMC1482580 F4,7
PMC1482699 F5,29
PMC1487177 F7,5
PMC149906 F5,5
PMC1501017 F2,7
PMC1501125 F1,8
PMC1502028 F4,5
PMC1502396 F1,9
PMC1502453 F5,8
PMC1502529 F6,23
PMC150381 F2,5
PMC1508148 F1,13
PMC151358 F5,6
PMC1522081 F7,5
PMC1525002 F4,6
PMC1526546 F1,5
PMC153613 F4,7
PMC1551980 F1,5
PMC1551980 F4,10
PMC155294 F4,14
PMC1553448 F7,11
PMC155638 F1,6
PMC1557712 F2,11
PMC1557825 F4,31
PMC1559555 F1,11
PMC1564158 F2,6
PMC156764 F1,6
PMC1570177 F1,9
PMC1571066 F2,7
PMC1571327 F6,7
PMC1573858 F1,5
PMC1592643 F3,18
PMC1594921 F5,23
PMC1594921 F6,27
PMC1599906 F3,15
PMC1599931 F1,5
PMC1601944 F1,5
PMC1601946 F1,6
PMC1603666 F9,5
PMC1609340 F1,14
PMC1617297 F2,34
PMC1622797 F5,9
PMC1635984 F3,28
PMC1636849 F8,5
PMC164216 F5,6
PMC1664647 F1,5
PMC1665458 F7,9
PMC1681468 F5,5
PMC1681473 F1b,19
PMC1681476 F1,6
PMC1682009 F1,5
PMC1682017 F4,5
PMC1683566 F5,48
PMC1698511 F3,10
PMC1698524 F5,5
PMC1698527 F10,6
PMC1698952 F4,7
PMC1705513 F1,41
PMC1716201 F1,8
PMC1716221 F1,6
PMC17314 F1,7
PMC1751079 F1,16
PMC1754372 F2,6
PMC1756898 F1,7
PMC175791 F10,7
PMC1761701 F10,5
PMC1763171 F2,6
PMC1766780 F2,7
PMC1768457 F1,7
PMC1769518 F1,5
PMC1769521 F2,9
PMC1773546 F3,5
PMC1774101 F4,5
PMC1774275 F5,7
PMC1779520 F3,18
PMC1779567 F6,25
PMC1779900 F6,6
PMC1781062 F1,7
PMC1781473 F3,5
PMC1781924 F1,9
PMC1782125 F2,7
PMC1782267 F1,5
PMC1782438 F2,8
PMC1782589 F2,6
PMC1783068 F1,7
PMC1783401 F6,7
PMC1785270 F6,5
PMC1785339 F4,5
PMC1797633 F1,5
PMC1804347 F4,10
PMC1817784 F2,6
PMC182218 F2,6
PMC1828071 F1a,16
PMC1828071 F2,11
PMC1828075 F2,5
PMC1828403 F1,15
PMC1828869 F2,7
PMC1832150 F1,5
PMC183833 F2,6
PMC1838573 F1,9
PMC1839882 F9,7
PMC1839891 F10,5
PMC1850774 F5,5
