Pathway,Count
PMC102186 Mb2400926009,6
PMC1064894 Ar1469-3,10
PMC1069621 Zmb0080549030005,5
PMC1087229 Zmk0050531440008,5
PMC1087506 1465-9921-6-26-8,6
PMC1174965 Ar1741-4,5
PMC1175050 Ar1784-1,6
PMC1183194 1471-2407-5-74-4,11
PMC1183194 1471-2407-5-74-5,15
PMC1183194 1471-2407-5-74-6,11
PMC1186734 Pgen.0010016.G006,51
PMC1193534 Pgen.0010027.G001,12
PMC1199368 AJHGv76p780fg5,10
PMC1201250 Zii0080550480007,9
PMC1215521 1465-9921-6-89-7,5
PMC1234333 Zmb0180553510007,17
PMC1235815 Zjv0200569250007,6
PMC1236696 JCI0526322.f1,6
PMC1236698 JCI0526390.f2,7
PMC1236700 JCI0526471.f2,12
PMC123677 Pq0627021003,8
PMC1237009 Nihms4349F1,7
PMC1297590 Ar1842-2,5
PMC1297640 Gb-2005-6-11-236-1,14
PMC1304643 biophysj00043000F02 HT,5
PMC1312313 1471-2164-6-151-8,8
PMC1327675 1477-7827-3-70-3,26
PMC1327682 1471-2105-6-308-3,6
PMC1375233 Nek010F2,12
PMC1375233 Nek010F5,11
PMC1383550 7600967F2,5
PMC1383660 Bic280I006,5
PMC1386115 JCI0627883.f3,7
PMC138687 Bcr301-1,5
PMC139100 Cdf680F8,5
PMC139401 Gb-2002-3-8-Reviews3011-2,6
PMC1395315 1476-511X-5-1-1,13
PMC1395315 1476-511X-5-1-5,7
PMC140043 Cdg004F8,5
PMC1410746 Bcr1356-3,8
PMC1415320 Zmk0040676050006,6
PMC1420312 1471-2407-6-54-5,42
PMC1421301 5FF1,5
PMC1431703 Gb-2006-7-1-R6-5,9
PMC1431720 Gb-2006-7-2-R11-7,6
PMC1435944 1471-2105-7-166-6,25
PMC1436036 Nihms7964F12,17
PMC1440308 1742-4682-3-13-7,7
PMC1479092 Nihms-10426-0001,5
PMC1479345 1476-511X-5-10-3,17
PMC1479345 1476-511X-5-10-4,18
PMC1479345 1476-511X-5-10-5,8
PMC1479345 1476-511X-5-10-6,14
PMC1480599 Ppat.0020059.G007,10
PMC1482580 Zpq0240625140004,6
PMC1482699 1471-2164-7-102-5,28
PMC1501017 1465-9921-7-53-2,6
PMC1501125 Neo0702 0099 Fig001,6
PMC1502396 Neo0502 0099 Fig001,8
PMC1502453 Zpq0250625570005,7
PMC1502529 Zpq0260626410006,22
PMC1508148 1465-9921-7-60-1,11
PMC151358 Pq0438011005,5
PMC153613 Pq0830960004,6
PMC1551980 Nihms4840F4,9
PMC155294 45009-8F4 F4TT,13
PMC1553448 1471-2164-7-92-7,10
PMC155638 1476-4598-2-23-1,5
PMC1557712 Bcr1411-2,9
PMC1557825 Gkl583F4,28
PMC1559555 AJHGv79p586fg1,9
PMC156764 Cdg267F1,5
PMC1570177 Pcbi.0020120.G001,8
PMC1571066 Joa0202-0093-F2,6
PMC1571327 Joa0205-0001-F6,6
PMC1592643 Zpq0400636720003,16
PMC1594921 Zii0100662210005,22
PMC1594921 Zii0100662210006,26
PMC1599906 Zpq0360634000003,13
PMC1601946 Neo0808 0677 Fig001,5
PMC1609340 Rstb20051808F01,13
PMC1617297 Zjv0200682980002,30
PMC1622797 Zpq0360633940005,8
PMC1635984 1471-2164-7-279-3,26
PMC164216 Cm0330012005,5
PMC1665458 1476-4598-5-64-7,8
PMC1681473 Msb4100039-F1B,18
PMC1681476 Msb4100044-F1,5
PMC1683566 1471-2105-7-S2-S16-5,44
PMC1698511 Zmr0040621400003,9
PMC1698527 Zmb0240664380010,5
PMC1698952 Nihms13324F4,6
PMC1705513 403 2006 707 Fig1 HTML,29
PMC1716201 JCI0728281.f1,7
PMC1716221 JCI0730862.f1,5
PMC1751079 Cc5055-1,15
PMC1754372 Ar9381.F2,5
PMC1756898 Pgen.0020188.G001,6
PMC175791 Cdg401F10,6
PMC1766780 Ar28290.F2,6
PMC1768457 Ht1297.F1,5
PMC1769521 Nihms3229F2,8
PMC1774275 Gt52704.F5,6
PMC1779520 Gb-2006-7-5-R42-3,17
PMC1779567 Gb-2006-7-7-R54-6,22
PMC1779900 Nihms15523F6,5
PMC1781062 1471-213X-7-2-1,6
PMC1781924 Nihms14516F1,8
PMC1782125 Imm0115-0001-F2,6
PMC1782438 Imm0111-0368-F2,7
PMC1782589 Imm0113-0281-F2,5
PMC1783068 Imm0110-0411-F1,6
PMC1783401 Zpq0510645370006,6
PMC1804347 JCI0731139.f4,9
PMC1817784 Tjp0574-0041-F2,5
PMC182218 JCI0319687.f2,5
PMC1828071 Nihms16392F1A,15
PMC1828071 Nihms16392F2,10
PMC1828403 Zii0010763600001,14
PMC1828869 Nihms-14552-0002,6
PMC183833 1471-2474-4-16-2,5
PMC1838573 Nihms-12454-0001,8
PMC1839882 Nihms14908F9,6
PMC1851054 Zpq0090755020006,7
PMC1851929 Nihms18962F8,5
PMC1851974 1476-4598-6-24-2,5
PMC1852210 Zh80070710350001,18
PMC185249 1465-9921-4-5-4,5
PMC1855985 Pone.0000426.G001,26
PMC1856251 Gt73262.F3,53
PMC1857267 JCI0731422.f2,6
PMC1860037 Gt83121.F1,5
PMC186326 45789-11F7 C4TT,5
PMC1867237 Jh0923297003,7
PMC1869627 Mol13 1P001F2,16
PMC1876599 Nrs05004.F3,10
PMC1884140 1741-7007-5-19-11,5
PMC1885811 1471-2105-8-168-4,5
PMC1892100 1471-2105-8-S3-S3-1,7
PMC1892626 RIU009002 0047 Fig003,6
PMC1894940 Nihms19214F5,6
PMC1894978 1471-2164-8-158-5,12
PMC1895816 Zh80120697150002,6
PMC1896000 Gb-2007-8-4-R49-3,5
PMC1899305 AJRCMB361114f7,7
PMC1899986 Zmb0100767460008,5
PMC1904333 JCI0732701.f2,5
PMC1904449 1546-0096-5-13-3,13
PMC1905066 Cei0113-0353-F5,6
PMC1905845 Nihms21617F6,5
PMC1924866 1471-2105-8-217-5,29
PMC1924866 1471-2105-8-217-6,25
PMC1929113 1471-2407-7-109-6,8
PMC1933372 Zjv0140793810003,7
PMC1934395 Pgen.0030120.G002,6
PMC1934514 Nihms20598F2,5
PMC1934514 Nihms20598F4,5
PMC1936363 Tcrm0204-435-01,5
PMC1937523 Zpq0280769460003,7
PMC193774 Jb1831362003,7
PMC1940051 PPAR2007-71323.002,5
PMC1948012 1476-4598-6-46-10,5
PMC1951379 Zjv0160794660006,8
PMC1952644 JCI0733135.f1,5
PMC1959234 1471-2407-7-152-1,5
PMC196255 67858-09F1A L1TT,5
PMC1963416 Nihms26757F1,5
PMC1964512 JCI0732077.f3,30
PMC1964795 Nihms26012F5,5
PMC1971124 Pbio.0050248.G004,12
PMC1974879 Nihms25800F1,10
PMC1978064 Nihms25712F4,12
PMC1988867 Zjh0100774110007,19
PMC1992444 Nihms29760F3,5
PMC1993906 Nihms21050F16,5
PMC1994616 JCI0731809.f1,6
PMC1995566 Nihms21116F7,5
PMC1998884 335 2007 9011 Fig1 HTML,5
PMC2013861 0707140F4,5
PMC2045624 JCI0733976.f1,5
PMC2063509 Nihms-31284-F0003,6
PMC2063513 Pone.0001187.G006,6
PMC2063755 Jcb1720973F01,13
PMC2066195 JCI0732285.f10,5
PMC2071927 Nihms30932F2,10
PMC2075270 Tjp0582-1289-F1,7
PMC2077852 Nihms32806F3,7
PMC2077853 Nihms20501F9,5
PMC2080907 Jcb1790717F08,9
PMC2082051 Nihms30361F5,13
PMC2082128 Nihms-30582-F0007,6
PMC2083698 Nihms31045F6,10
PMC2089068 1475-2859-6-30-3,8
PMC2089068 1475-2859-6-30-4,9
PMC209413 JCI0113863.f1,6
PMC209477 JCI0114660.f2,5
PMC2100342 Joa0209-0585-F3,7
PMC2106361 1471-2091-8-S1-S10-1,15
PMC2121320 Nrs05010.F2,5
PMC2134838 Nihms-30692-F0002,6
PMC2136409 Nihms34093F7,5
PMC2136409 Nihms34093F8A,10
PMC2148057 1471-2407-7-181-5,33
PMC2148057 1471-2407-7-181-8,7
PMC2148066 1471-2164-8-361-6,16
PMC2150790 0106148F9,5
PMC2151384 Tjp0579-0643-F2,9
PMC2151969 10616 2007 9092 Fig5 HTML,14
PMC2153436 Nihms35807F4,35
PMC2168342 Zii0120770400007,56
PMC2169177 Zmb0230771550010,7
PMC2174913 Nihms36367F2,8
PMC2175514 1471-2172-8-26-5,12
PMC2175514 1471-2172-8-26-9,14
PMC2176131 AJRCMB38195f7,5
PMC2180215 JCB0006032.f1,8
PMC2192627 Nihms35817F1,7
PMC2194118 20011866F6,7
PMC2194763 1471-2210-7-11-5,61
PMC2196458 0102130F7,5
PMC2198843 0107116F1,5
PMC2203613 Nihms35403F10,17
PMC2206598 Zpq0520788150004,7
PMC2212135 Pone.0001535.G006,5
PMC2212359 JEM980326.f5,5
PMC2212850 20051395F2,11
PMC2213034 20042085F8,5
PMC2213224 20051027F8,5
PMC2214701 JCI0833612.f3,6
PMC2215765 Mol14 5P0346F1,5
PMC2219351 Cei0150-0294-F1,6
PMC2224586 Zjv0020801380003,14
PMC2225459 PPAR2008-176275.002,5
PMC2228275 1475-2867-7-18-3,8
PMC2233890 Nihms38769F4,6
PMC2234434 1471-2164-8-455-3,12
PMC2235195 Nihms37999F1,6
PMC2238720 Nihms23139F2,5
PMC2238789 10048 2007 116 Fig2 HTML,5
PMC2238789 10048 2007 116 Fig3 HTML,31
