Pathway,Count
CALM3,172
PTPN11,168
CDK1,659
SPP382,145
HMT1,175
PCNA,146
DIPA,134
HTA2,172
XRCC6,141
BCL2,121
CALM1,359
HGS,122
C1ORF103,122
RVB2,159
RVB1,145
AGP1,189
IMD3,207
EEF1A1,185
CREB1,124
TRXA,199
TDH3,121
HHT1,166
RIF1,157
RNR2,158
RNR1,124
HNRNPA1,130
UBA1,144
PWP2,131
LYN,197
NFKBIA,134
SFN,173
RPL7A,193
YWHAZ,500
YWHAQ,188
YWHAH,177
YWHAB,812
YWHAG,428
YWHAE,215
RRP5,159
RSC4,144
ITGB1,129
TSGA14,137
YKE2,157
COPS6,147
COPS5,132
DYNLL1,183
EIF1B,159
SSA1,2314
SSA3,312
SSA2,2163
NFKB1,305
NFKB2,184
SAC1,136
SAM50,137
BMS1,134
SSZ1,645
FOS,173
MAPK3,326
MAPK1,406
MAPK8,352
MAPK9,222
SLYD,131
NEDD4,141
URA2,415
VHL,314
GIM3,205
CYS4,149
RFC1,128
HSP60,159
231403,288
ABL1,351
HRR25,126
HNRNPK,188
FAS3,152
AAR2,140
SUA7,146
EWSR1,215
ERG11,121
HSC82,477
EEF1G,124
RPL5,207
RPL3,166
RPLV,133
RPLS,122
RPLQ,139
RPLL,159
RPLF,184
RPLD,223
RPLB,366
RPLC,154
RPLA,136
CAMK2A,160
JAK2,159
JAK1,136
PRKDC,296
HSPA1A,145
RB1,209
DNAK,370
UBQLN4,171
FLNA,135
NAF1,216
TUB2,255
TUB1,254
TUBB,125
HDAC1,346
HDAC3,164
HDAC2,214
KAP123,153
MAP3K14,166
LCK,196
SSB1,3026
SSB2,1156
GRIN1,149
RPL20A,184
PHLDA3,129
SMAD9,129
SMAD4,221
SMAD1,162
SMAD2,370
SMAD3,328
YDJ1,733
APP,247
APC,150
SRRM2,166
PRKACA,440
PRKACB,174
EFT1,147
INSR,202
RPA2,162
H2AFX,172
CAV1,125
PMP3,156
PFD1,362
HSP12,139
CLPP,131
CLPB,132
PSA1,434
MEPCE,165
MTOR,138
VMA2,491
PPP2R1A,146
ARRB1,263
TAF6,124
TAF2,180
TAF1,138
TAF9,122
KAR2,144
PRKG1,121
PDGFRB,140
ECM4,303
MAPK14,552
MAPK10,182
MAPK13,139
SKP1,190
HIST1H3A,122
HSP104,360
ACT1,216
JUN,211
PIN1,145
GSK3B,696
UBB,135
UBC,540
DBP5,149
PIK3R1,301
PTPN6,173
ARRB2,323
EIF2C1,174
EIF2C2,156
SDHA,127
DLG4,409
APJ1,147
HHF1,305
PAB1,162
RPS0A,160
SGK1,135
HSP42,373
XPO1,124
HDAC4,127
RHOA,139
ECM10,492
TRAF2,279
TRAF6,550
ASF1,145
MAP3K3,227
MAP3K1,184
MAP3K7,168
TP53,502
HAP2,128
GCN1,165
GCN5,229
MDFI,163
DNM1,129
GABARAP,479
NCK1,244
TEF1,703
SEC27,126
CSNK2A2,289
CSNK2A1,564
SP1,195
RAC1,249
VCL,121
CHD3,132
ADH1,202
GRIN2B,219
ARX1,143
PTK2,163
UBE2I,212
RUVBL1,147
RUVBL2,161
BRCA1,216
SMURF1,131
SMURF2,124
PLK1,166
HSP78,746
MCC,292
MDM2,197
CRK,215
CSNK1E,195
RPS6KA3,375
TGFBR1,216
RPOC,130
RPOB,174
KAT5,126
SCJ1,180
RPP0,258
IRS1,157
RLF2,148
CCDC85B,136
SIS1,507
CCT8,232
CCT2,193
CCT3,202
CCT6,138
CCT4,218
CTNNB1,337
ATN1,124
EP300,357
MED19,127
RAF1,166
SSE1,1780
SSE2,249
ACTB,339
CDC42,205
GFA1,124
PRS,152
TCP1,139
PRKAB1,223
NUP116,122
NCOR1,142
EPB41,172
ATG12,165
GLC7,154
MCM2,129
SQSTM1,165
ATXN1,194
HTB1,245
RNPS1,157
CASP3,193
CASP8,130
AKT1,355
GND1,123
RTN1,123
LSM1,154
RPL27A,147
BTK,128
