Pathway,Count
SR 142948 Up,145
SR 142948 Down,142
UK 356618 Up,145
UK 356618 Down,147
JW 480 Up,143
JW 480 Down,141
ML-265 Up,145
ML-265 Down,146
PF-04418948 Up,147
PF-04418948 Down,147
Ezatiostat Up,145
Ezatiostat Down,146
Nitisinone Up,144
Nitisinone Down,146
"4,4-Dichlorobenzil Up",143
"4,4-Dichlorobenzil Down",147
Pentadecanoyl EA Up,148
Pentadecanoyl EA Down,145
Ascomycin Up,147
Ascomycin Down,141
SSR 69071 Up,149
SSR 69071 Down,144
UPF 648 Up,146
UPF 648 Down,140
Fumagillin Up,145
Fumagillin Down,147
GSK343 Up,149
GSK343 Down,148
Torcetrapib Up,145
Torcetrapib Down,149
ONX 0914 Up,149
ONX 0914 Down,144
Balicatib Up,148
Balicatib Down,145
Alvimopan Up,144
Alvimopan Down,147
BCATc-In2 Up,145
BCATc-In2 Down,146
BACE1 Up,146
BACE1 Down,149
Tiplaxtinin Up,148
Tiplaxtinin Down,144
Trihydroxyisoflavone Up,147
Trihydroxyisoflavone Down,145
GSK4112 Up,146
GSK4112 Down,143
EIPA Up,149
EIPA Down,145
MLN4924 Up,148
MLN4924 Down,146
Blonanserin Up,146
Blonanserin Down,145
DY 131 Up,144
DY 131 Down,146
LOMEGUATRIB Up,144
LOMEGUATRIB Down,145
HMB-Val-Ser-Leu-VE Up,146
HMB-Val-Ser-Leu-VE Down,146
Cetrorelix Up,144
Cetrorelix Down,144
SCH 530348 Up,148
SCH 530348 Down,146
PF 04447943 Up,147
PF 04447943 Down,141
PF-8380 Up,146
PF-8380 Down,148
ACA Up,141
ACA Down,148
4EGI-1 Up,147
4EGI-1 Down,148
Undecanoic Acid Up,143
Undecanoic Acid Down,147
Kb NB 142-70 Up,149
Kb NB 142-70 Down,147
LPA2 An1 Up,145
LPA2 An1 Down,148
Sildenafil Up,144
Sildenafil Down,144
CGP77675 Up,148
CGP77675 Down,145
PF 4800567 Up,145
PF 4800567 Down,146
AK 7 Up,142
AK 7 Down,143
CID-2745687 Up,147
CID-2745687 Down,148
GSK2578215 Up,146
GSK2578215 Down,149
Ticagrelor Up,145
Ticagrelor Down,146
Cytosporone B Up,145
Cytosporone B Down,145
Vidofludimus Up,145
Vidofludimus Down,143
AZD1152-HQPA Up,148
AZD1152-HQPA Down,146
BMS309403 Up,148
BMS309403 Down,148
XCT 790 Up,146
XCT 790 Down,147
SR 3335 Up,145
SR 3335 Down,141
Cysmethynil Up,148
Cysmethynil Down,145
SP2509 Up,149
SP2509 Down,143
BMS 754807 Up,147
BMS 754807 Down,147
BX 471 Up,144
BX 471 Down,147
LUBIPROSTONE Up,146
LUBIPROSTONE Down,146
CAY10550 Up,147
CAY10550 Down,144
ICG-001 Up,145
ICG-001 Down,148
AT 406 Up,146
AT 406 Down,145
AGN 190299 Up,146
AGN 190299 Down,144
MF63 Up,143
MF63 Down,146
"2,4-Dichlorophenol Up",146
"2,4-Dichlorophenol Down",141
Ingenol-3-angelate Up,148
Ingenol-3-angelate Down,147
UNC2250 Up,148
UNC2250 Down,148
3-Hydroxyflavone Up,146
3-Hydroxyflavone Down,143
HPGDS-In1 Up,142
HPGDS-In1 Down,141
Ac-YVAD-CHO Up,143
Ac-YVAD-CHO Down,147
Ko143 Up,145
Ko143 Down,142
AS 1517499 Up,146
AS 1517499 Down,145
Anamorelin Up,147
Anamorelin Down,139
KH7 Up,147
KH7 Down,144
R-848 Up,147
R-848 Down,142
BMS 303141 Up,146
BMS 303141 Down,147
a-Naphthoflavone Up,147
a-Naphthoflavone Down,148
3-Benzotriazol-propionic Acid Up,146
3-Benzotriazol-propionic Acid Down,148
APD668 Up,144
APD668 Down,146
MPI-0479605-HCL Up,145
MPI-0479605-HCL Down,144
NVP-BEP800 Up,146
NVP-BEP800 Down,148
L-Cysteine Up,146
L-Cysteine Down,144
"3,5-Dichlorosalicylic Acid Up",150
"3,5-Dichlorosalicylic Acid Down",145
Necrostatin 2 Up,144
Necrostatin 2 Down,148
MLS0315771 Up,145
MLS0315771 Down,145
BBL003126 Up,148
BBL003126 Down,144
NSC43673 Up,143
NSC43673 Down,148
Actonel Up,144
Actonel Down,143
MI-3 Up,146
MI-3 Down,149
SAR020106 Up,147
SAR020106 Down,146
TAK-875 Up,140
TAK-875 Down,146
Bromfenac Up,143
Bromfenac Down,145
Parecoxib Up,141
Parecoxib Down,146
4-Nitropiazthiole Up,146
4-Nitropiazthiole Down,143
Compound-1a Up,144
Compound-1a Down,145
Basimglurant Up,143
Basimglurant Down,144
Huperzine A Up,147
Huperzine A Down,145
MI-773 Up,148
MI-773 Down,145
BLZ-945 Up,145
BLZ-945 Down,144
NSC735380 Up,145
NSC735380 Down,146
Ralfinamide Up,144
Ralfinamide Down,146
HY-50713 Up,146
HY-50713 Down,145
Tafamidis Up,145
Tafamidis Down,144
Benethamine Up,143
Benethamine Down,139
Senicapoc Up,142
Senicapoc Down,147
Glycyrrhizic Acid Up,144
Glycyrrhizic Acid Down,146
Tofacitinib Up,146
Tofacitinib Down,144
CB-839 Up,143
CB-839 Down,147
LY2801653 Up,147
LY2801653 Down,143
(4-Chlorobenzyl)pyridine Up,145
(4-Chlorobenzyl)pyridine Down,148
RRD-251 Up,141
RRD-251 Down,147
Avosentan Up,146
Avosentan Down,147
ML365 Up,149
ML365 Down,148
HFI-142 Up,147
HFI-142 Down,148
Ethiprole Up,146
Ethiprole Down,145
CHEMBL217125 Up,146
CHEMBL217125 Down,145
Tirofiban Up,149
Tirofiban Down,149
YK-4-279 Up,146
YK-4-279 Down,147
AA92593 Up,147
AA92593 Down,135
Dapagliflozin Up,140
Dapagliflozin Down,149
Aliskiren Up,148
Aliskiren Down,145
FMK Up,143
FMK Down,146
Chlorsulfuron Up,145
Chlorsulfuron Down,147
3-Benzyloxyaniline Up,143
3-Benzyloxyaniline Down,146
STX-0119 Up,148
STX-0119 Down,142
Dicyclohexylamine Up,147
Dicyclohexylamine Down,139
Mildronate Up,147
Mildronate Down,146
Sunitinib Up,148
Sunitinib Down,147
FIPI HCl Up,148
FIPI HCl Down,145
VUF11207 Up,144
VUF11207 Down,147
(RS)-PPG Up,146
(RS)-PPG Down,145
AM966 Up,147
AM966 Down,147
XEN 103 Up,146
XEN 103 Down,146
Ibutilide Up,145
Ibutilide Down,143
Glufosinate Up,149
Glufosinate Down,146
4-Aminobenzohydrazide Up,145
4-Aminobenzohydrazide Down,146
LCL161 Up,148
LCL161 Down,143
Bromopyruvic Acid Up,147
Bromopyruvic Acid Down,146
VPC23019 Up,143
VPC23019 Down,147
7-Hydroxycoumarine Up,145
7-Hydroxycoumarine Down,145
AK-54059 Up,147
AK-54059 Down,145
HhAntag Up,145
HhAntag Down,146
CHEMBL2172374 Up,145
CHEMBL2172374 Down,148
"1,4-DHNA Up",148
"1,4-DHNA Down",147
NSC19883 Up,147
NSC19883 Down,143
Tasimelteon Up,145
Tasimelteon Down,141
RN486 Up,148
RN486 Down,147
Ruxolitinib Up,145
Ruxolitinib Down,145
"7,3,4-THIF Up",143
"7,3,4-THIF Down",147
PAP-1 Up,143
PAP-1 Down,148
p-Tolylboronic Acid Up,146
p-Tolylboronic Acid Down,144
A-317491 Up,147
A-317491 Down,143
Org25543 Up,146
Org25543 Down,143
CBIO Up,147
CBIO Down,144
Thymidine Up,147
Thymidine Down,144
CHCA Up,146
CHCA Down,143
Marimastat Up,147
Marimastat Down,146
RO495 Up,146
RO495 Down,147
Abiraterone1 Up,145
Abiraterone1 Down,144
Pimavanserin Up,144
Pimavanserin Down,139
Tetrindole Up,148
Tetrindole Down,146
BW 723C86 Up,144
BW 723C86 Down,143
CP 94253 Up,145
CP 94253 Down,145
Isoproterenol Up,146
Isoproterenol Down,148
"L-168,049 Up",146
"L-168,049 Down",148
GW 3965 Up,146
GW 3965 Down,143
CB 13 Up,144
CB 13 Down,145
Telotristat Up,144
Telotristat Down,149
Tropicamide Up,141
Tropicamide Down,144
(S)-(-)-Pindolol Up,147
(S)-(-)-Pindolol Down,144
SB 218795 Up,144
SB 218795 Down,143
Acifran Up,145
Acifran Down,145
QX 314 Up,145
QX 314 Down,144
AC-7954 Up,145
AC-7954 Down,146
ZJ 43 Up,139
ZJ 43 Down,147
CyPPA Up,145
CyPPA Down,145
LY 487379 Up,142
LY 487379 Down,148
W-13 HCl Up,148
W-13 HCl Down,145
Cilostamide Up,147
Cilostamide Down,143
Pirenzepine Up,285
Pirenzepine Down,279
PP 1 Up,149
PP 1 Down,149
SB 334867 Up,144
SB 334867 Down,146
4-Methylhistamine Up,147
4-Methylhistamine Down,148
CGS 35066 Up,147
CGS 35066 Down,145
LY 364947 Up,145
LY 364947 Down,150
A 803467 Up,145
A 803467 Down,149
Metyrapone Up,137
Metyrapone Down,146
Binospirone Up,146
Binospirone Down,145
RS 67333 Up,148
RS 67333 Down,143
SKF 89976A Up,142
SKF 89976A Down,143
Milrinone Up,145
Milrinone Down,145
NSC 23766 Up,143
NSC 23766 Down,142
TPCA-1 Up,147
TPCA-1 Down,147
SB 225002 Up,147
SB 225002 Down,144
TCS PIM-1 1 Up,147
TCS PIM-1 1 Down,145
ARL 17477 Up,148
ARL 17477 Down,145
GBR 12909 Up,148
GBR 12909 Down,147
ZD 7288 Up,148
ZD 7288 Down,145
Genistein Up,148
Genistein Down,144
Terazosin Up,147
Terazosin Down,147
NS 3763 Up,144
NS 3763 Down,147
JTE 013 Up,146
JTE 013 Down,148
PD 176252 Up,145
PD 176252 Down,149
MRS 1754 Up,144
MRS 1754 Down,148
Desipramine Up,148
Desipramine Down,140
NDT 9513727 Up,147
NDT 9513727 Down,146
Clozapine Up,149
Clozapine Down,147
L-741 Up,148
L-741 Down,147
AM 630 Up,145
AM 630 Down,148
SC 560 Up,147
SC 560 Down,146
SR 27897 Up,142
SR 27897 Down,145
Anagrelide Up,146
Anagrelide Down,145
NSC 87877 Up,146
NSC 87877 Down,145
NFPS Up,141
NFPS Down,145
Nafamostat Up,142
Nafamostat Down,146
BIX 01294 Up,144
BIX 01294 Down,144
BD 1008 Up,145
BD 1008 Down,143
BMY 7378 Up,147
BMY 7378 Down,147
BRL 54443 Up,145
BRL 54443 Down,145
SB 216763 Up,145
SB 216763 Down,148
PD 160170 Up,142
PD 160170 Down,141
Zonisamide Up,144
Zonisamide Down,148
NU 7026 Up,148
NU 7026 Down,145
Ziprasidone Up,143
Ziprasidone Down,147
(Z)-Pugnac Up,147
(Z)-Pugnac Down,147
Dipyridamole Up,146
Dipyridamole Down,143
ZM 241385 Up,146
ZM 241385 Down,140
MK 886 Up,149
MK 886 Down,147
Fenoldopam Up,149
Fenoldopam Down,146
Raloxifene Up,146
Raloxifene Down,146
IBC 293 Up,148
IBC 293 Down,144
WAY 170523 Up,146
WAY 170523 Down,147
HC 030031 Up,147
HC 030031 Down,147
PHA 767491 Up,139
PHA 767491 Down,143
Anastrozole Up,143
Anastrozole Down,146
SR 11237 Up,142
SR 11237 Down,148
FR 180204 Up,140
FR 180204 Down,148
IU1 Up,145
IU1 Down,145
Olanzapine Up,141
Olanzapine Down,143
PF-514273 Up,145
PF-514273 Down,141
Veliparib Up,147
Veliparib Down,133
ML-323 Up,146
ML-323 Down,139
PF-543 Up,150
PF-543 Down,140
CPI-203 Up,144
CPI-203 Down,148
GSK-923295 Up,149
GSK-923295 Down,148
Tamibarotene Up,142
Tamibarotene Down,147
Pitolisant Up,143
Pitolisant Down,146
HC 067047 Up,145
HC 067047 Down,145
Bicifadine Up,144
Bicifadine Down,145
Tacrine Up,147
Tacrine Down,144
CHEMBL570596 Up,140
CHEMBL570596 Down,142
PF-3758309 Up,142
PF-3758309 Down,146
TCS ERK 11E Up,148
TCS ERK 11E Down,148
GSK2606414 Up,146
GSK2606414 Down,145
Ro 48-8071 Up,148
Ro 48-8071 Down,140
KU 55933 Up,146
KU 55933 Down,143
XAV 939 Up,145
XAV 939 Down,141
Probenecid Up,145
Probenecid Down,144
Bosutinib Up,149
Bosutinib Down,148
Eptifibatide Up,147
Eptifibatide Down,144
Cyclopamine Up,148
Cyclopamine Down,145
BEC Up,146
BEC Down,142
MLN 8237 Up,148
MLN 8237 Down,144
Fevipiprant Up,141
Fevipiprant Down,147
Histamine Up,145
Histamine Down,148
A 1120 Up,146
A 1120 Down,147
TMN 355 Up,148
TMN 355 Down,146
TC-N 22A Up,146
TC-N 22A Down,145
CHEMBL2041153 Up,145
CHEMBL2041153 Down,143
BX 912 Up,148
BX 912 Down,147
GSK2334470 Up,148
GSK2334470 Down,148
TR-14035 Up,144
TR-14035 Down,143
AZ 628 Up,145
AZ 628 Down,149
Quizartinib Up,148
Quizartinib Down,147
Dopamine Up,146
Dopamine Down,147
"7,8-Dihydroxyflavone Up",144
"7,8-Dihydroxyflavone Down",145
VU 0364739 Up,148
VU 0364739 Down,148
Febuxostat Up,143
Febuxostat Down,147
TOFA Up,146
TOFA Down,145
CAY10683 Up,144
CAY10683 Down,145
G-1 Up,147
G-1 Down,148
(S)-Selisistat Up,144
(S)-Selisistat Down,145
BMS-5 Up,143
BMS-5 Down,148
LY2584702 Up,146
LY2584702 Down,144
GSK 650394 Up,149
GSK 650394 Down,141
Rotigotine Up,146
Rotigotine Down,146
RWJ 50271 Up,144
RWJ 50271 Down,149
4mu8C Up,147
4mu8C Down,147
AUDA Up,145
AUDA Down,145
10074-G5 Up,143
10074-G5 Down,143
3-Deazaneplanocin A Up,144
3-Deazaneplanocin A Down,141
MG-132 Up,148
MG-132 Down,144
KPT-330 Up,148
KPT-330 Down,143
Tizanidine Up,142
Tizanidine Down,145
HX 531 Up,140
HX 531 Down,144
TC-O 9311 Up,146
TC-O 9311 Down,144
Paliperidone Up,150
Paliperidone Down,141
Forodesine Up,148
Forodesine Down,141
LY411575 Up,145
LY411575 Down,148
Esmolol Up,146
Esmolol Down,144
P005091 Up,145
P005091 Down,145
Acamprosate Up,146
Acamprosate Down,144
UNC 0638 Up,148
UNC 0638 Down,143
Olvance Up,147
Olvance Down,144
Encorafenib Up,145
Encorafenib Down,149
Fingolimod Up,146
Fingolimod Down,142
Actinonin Up,140
Actinonin Down,147
Eltrombopag Up,147
Eltrombopag Down,147
LY 344864 Up,146
LY 344864 Down,146
UK 383367 Up,143
UK 383367 Down,147
AZD4547 Up,148
AZD4547 Down,146
Atglistatin Up,145
Atglistatin Down,147
IRAK-1-4 Inhibitor I Up,146
IRAK-1-4 Inhibitor I Down,144
Tolvaptan Up,148
Tolvaptan Down,144
Zebularine Up,146
Zebularine Down,147
Aripiprazole Up,143
Aripiprazole Down,147
Mirabegron Up,146
Mirabegron Down,144
Rifaximin Up,149
Rifaximin Down,143
Pictilisib Up,147
Pictilisib Down,148
Acetazolamide Up,143
Acetazolamide Down,148
Vilazodone Up,148
Vilazodone Down,146
UNC1215 Up,147
UNC1215 Down,146
NMS-873 Up,147
NMS-873 Down,149
CAL-101 Up,145
CAL-101 Down,146
Dasatinib Up,147
Dasatinib Down,149
Yohimbine Up,144
Yohimbine Down,145
Momelotinib Up,147
Momelotinib Down,146
Fluorescein Up,148
Fluorescein Down,147
Enzalutamide Up,148
Enzalutamide Down,144
GNF-5 Up,147
GNF-5 Down,147
BAY 57-1293 Up,147
BAY 57-1293 Down,149
Tideglusib Up,146
Tideglusib Down,144
BS-181 Up,145
BS-181 Down,147
Terbinafine Up,145
Terbinafine Down,150
Repaglinide Up,145
Repaglinide Down,146
Tubastatin A Up,148
Tubastatin A Down,140
BBL023172 Up,144
BBL023172 Down,146
HJC0350 Up,148
HJC0350 Down,147
Quetiapine Up,146
Quetiapine Down,145
Sotrastaurin Up,147
Sotrastaurin Down,146
VE-821 Up,149
VE-821 Down,149
Tranexamic Acid Up,144
Tranexamic Acid Down,145
TGX-221 Up,144
TGX-221 Down,144
Alogliptin Up,143
Alogliptin Down,146
Palbociclib Up,149
Palbociclib Down,148
Benzbromarone Up,144
Benzbromarone Down,147
Fedratinib Up,147
Fedratinib Down,146
Torasemide Up,147
Torasemide Down,142
Isotretinoin Up,145
Isotretinoin Down,137
Nolatrexed Up,149
Nolatrexed Down,135
mL347 Up,145
mL347 Down,147
H-Arg(NO2)-OH Up,145
H-Arg(NO2)-OH Down,146
Triclabendazole Up,147
Triclabendazole Down,149
Mubritinib Up,146
Mubritinib Down,146
MK-1775 Up,146
MK-1775 Down,142
Racecadotril Up,147
Racecadotril Down,143
Alectinib Up,142
Alectinib Down,148
Metolazone Up,148
Metolazone Down,141
Acitretin Up,146
Acitretin Down,147
mL167 Up,144
mL167 Down,148
Ivacaftor Up,141
Ivacaftor Down,147
Pomalidomide Up,147
Pomalidomide Down,146
Meloxicam Up,147
Meloxicam Down,147
Lapatinib Up,149
Lapatinib Down,148
D-(+)-Glucose Up,144
