Pathway,Count
17-betaestradiol Oviduct epithelial cell line 1 nM GSE67207 down,497
17-betaestradiol Oviduct epithelial cell line 1 nM GSE67207 up,496
"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) Primary B cell 30 nM 24 hr GSE80953 down",494
"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) Primary B cell 30 nM 24 hr GSE80953 up",495
"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) Primary B cell 30 nM 4 hr GSE80953 down",491
"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) Primary B cell 30 nM 4 hr GSE80953 up",496
"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) Primary B cell 30 nM 8 hr GSE80953 down",497
"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) Primary B cell 30 nM 8 hr GSE80953 up",488
4-hydroxytamoxifen Embrionic stem cells 0.1 uM 0 hrs GSE84953 down,497
4-hydroxytamoxifen Embrionic stem cells 0.1 uM 0 hrs GSE84953 up,496
4-hydroxytamoxifen Embrionic stem cells 0.1 uM 4 hrs GSE84953 down,498
4-hydroxytamoxifen Embrionic stem cells 0.1 uM 4 hrs GSE84953 up,496
4-hydroxytamoxifen Embrionic stem cells 0.1 uM 8 hrs GSE84953 down,497
4-hydroxytamoxifen Embrionic stem cells 0.1 uM 8 hrs GSE84953 up,498
4-hydroxytamoxifen Oviduct epithelial cell line 100 nM GSE67207 down,498
4-hydroxytamoxifen Oviduct epithelial cell line 100 nM GSE67207 up,497
4 Skin Biopsy (Non-Lesion) 16hrs GSE47944 down,497
4 Skin Biopsy (Non-Lesion) 16hrs GSE47944 up,497
5-Azacytidine-CdR HEK 293T GSE62591 down,498
5-Azacytidine-CdR HEK 293T GSE62591 up,498
5-Azacytidine JJN3 24hr-10nM GSE56623 down,498
5-Azacytidine JJN3 24hr-10nM GSE56623 up,497
5-Azacytidine JJN3 4hr-10nM GSE56623 down,496
5-Azacytidine JJN3 4hr-10nM GSE56623 up,495
5-Azacytidine U266 24hr-10nM GSE56623 down,498
5-Azacytidine U266 24hr-10nM GSE56623 up,497
5-Azacytidine U266 4hr-10nM GSE56623 down,497
5-Azacytidine U266 4hr-10nM GSE56623 up,497
ABCA4 RPE/choroid knockout GSE63772 down,499
ABCA4 RPE/choroid knockout GSE63772 up,498
ABCA4 Retina knockout GSE63772 down,499
ABCA4 Retina knockout GSE63772 up,498
ADAR E861A Fetal Liver Mutant GSE58917 down,497
ADAR E861A Fetal Liver Mutant GSE58917 up,498
ADAR Fetal liver Knockout GSE71042 down,497
ADAR Fetal liver Knockout GSE71042 up,497
AE9aMeis2 Bone marrow GSE81329 down,496
AE9aMeis2 Bone marrow GSE81329 up,499
AEMeis2 Bone marrow GSE81329 down,498
AEMeis2 Bone marrow GSE81329 up,499
ALS (Familial) Whole lumbar Spinal Cord GSE52946 down,494
