Pathway,Count
11-beta-hydroxylase deficiency,22
15q13.3 microdeletion syndrome,16
16p11.2 deletion syndrome,41
17-alpha-hydroxylase deficiency,21
17-beta hydroxysteroid dehydrogenase 3 deficiency,5
17q21.31 microdeletion syndrome,17
1q21.1 microdeletion syndrome,22
2-Hydroxyglutaric aciduria,32
2-Methylacetoacetyl CoA thiolase deficiency,93
2-methylbutyryl-CoA dehydrogenase deficiency,7
21-hydroxylase deficiency,150
22q11.2 deletion syndrome,116
22q11.2 duplication syndrome,48
22q13.3 deletion syndrome,39
2q37 deletion syndrome,36
3 Methylcrotonyl-CoA carboxylase 1 deficiency,9
3 methylglutaconic aciduria type I,24
3 methylglutaconic aciduria type IV,12
3 methylglutaconic aciduria type V,13
3-Hydroxyisobutyric aciduria,8
3-beta-hydroxysteroid dehydrogenase deficiency,19
3p deletion syndrome,70
46 XX testicular disorder of sex development,52
47 XXX syndrome,13
47 XYY syndrome,14
49 XXXXY syndrome,31
5-Nucleotidase syndrome,65
5q- syndrome,163
6 alpha mercaptopurine sensitivity,7
6-pyruvoyl-tetrahydropterin synthase deficiency,6
8p23.1 duplication syndrome,8
ABCD syndrome,26
ACDC,47
ACTH deficiency,109
ACTH resistance,28
ACTH-independent macronodular adrenal hyperplasia,51
ADULT syndrome,13
AGAT deficiency,10
AIDS Dementia Complex,107
AIDS dysmorphic syndrome,10
AL amyloidosis,110
ALK+ histiocytosis,32
APUDoma,21
ATR-X syndrome,52
Aarskog syndrome,17
Abdominal aortic aneurysm,105
Abdominal cystic lymphangioma,5
Abdominal obesity metabolic syndrome,13
Aberrant subclavian artery,35
Abetalipoproteinemia,73
Abidi X-linked mental retardation syndrome,14
Ablepharon macrostomia syndrome,5
Abrikosov's tumor,12
Absence of Tibia,9
Absence of gluteal muscle,7
Absent T lymphocytes,100
Absent corpus callosum cataract immunodeficiency,20
Acanthamoeba infection,145
Acanthocytosis,156
Acanthoma,52
Acanthosis nigricans,162
Acardia,12
Acatalasemia,31
Aceruloplasminemia,41
Acetyl CoA acetyltransferase 2 deficiency,57
Acetyl-carnitine deficiency,144
Achalasia,270
Achard syndrome,6
Acheiropody,6
Achondrogenesis,27
Achondroplasia,248
Achromatopsia 3,138
Achromatopsia incomplete X-linked,23
Acinic cell carcinoma,108
Acoustic neuroma,154
Acquired Von Willebrand syndrome,80
Acquired agranulocytosis,7
Acquired angioedema,29
Acquired hemophilia,151
Acral lentiginous melanoma,90
Acrodermatitis,118
Acrodysostosis,23
Acrofacial dysostosis Rodriguez type,5
Acrogeria Gottron type,5
Acromegaly,100
Acromesomelic dysplasia,18
Acromesomelic dysplasia Hunter Thompson type,18
Acromesomelic dysplasia Maroteaux type,8
Acromicric dysplasia,18
Acroosteolysis dominant type,6
Acroosteolysis with osteoporosis and changes in skull and mandible,30
Acrospiroma,45
Actinic cheilitis,78
Actinomycosis,164
Acute articular rheumatism,123
Acute biphenotypic leukemia,252
