Pathway,Count
2-LTR Circle Formation R-HSA-164843,8
GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,26
ABC Transporter Disorders R-HSA-5619084,77
ABC Transporters In Lipid Homeostasis R-HSA-1369062,18
ABC-family Proteins Mediated Transport R-HSA-382556,102
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,131
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592,25
ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170,22
AKT Phosphorylates Targets In Cytosol R-HSA-198323,14
AKT Phosphorylates Targets In Nucleus R-HSA-198693,10
ALK Mutants Bind TKIs R-HSA-9700645,12
AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680,8
APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337,14
APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,26
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,87
APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,24
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,67
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,75
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,73
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,73
APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway R-HSA-5649702,7
APOBEC3G Mediated Resistance To HIV-1 R-HSA-180689,6
ARMS-mediated Activation R-HSA-170984,7
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,27
ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,9
ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,11
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,54
AURKA Activation By TPX2 R-HSA-8854518,72
Abacavir ADME R-HSA-2161522,10
Abacavir Metabolism R-HSA-2161541,5
Abacavir Transmembrane Transport R-HSA-2161517,5
Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787,17
