Pathway,Count
cebpa 22442349 pbmc lof human gpl570 gds4407 up,438
egr1 20019881 retina lof mouse gpl1261 gds3607 down,176
hnf1b 16297991 hek293 embryonic gof mouse gpl96 gds1499 down,103
nfe2l2 23639809 whole esophagus lof mouse gpl7202 gse39629 up,881
nfe2l2 2383093 whole skin gof mouse gpl1261 gse35160 up,99
gata4 21746915 heart lof mouse gpl6246 gds3931 down,255
cdx2 21402776 jejunum epithelium lof mouse gpl11044 gse24633 up,118
tcf3 21972416 linnegflt3poscd127posly6dneg bone marrow lof mouse gpl1261 gse27402 up,288
znf217 22593193 mda mb 231 gof human gpl570 gse35511 up,922
cdkn1b 00000000 mouse embryonic fibroblast mef lof mouse gpl6246 gse27672 down,254
hsf1 00000000 tcell lof mouse gpl1261 gse41005 up,406
stat3 00000000 a549 lof human gpl571 gse42979 down,146
yy2 20215434 hela lof human gpl570 gds3788 down,296
rbm15 22490678 hematopoietic stem cell lof mouse gpl8321 gds4315 down,237
foxa1 21151129 mcfdash7 lof human gpl10558 gse25315 up,1313
nfe2l2 15173550 liver lof mouse gpl81 gds514 down,71
dlx4 00000000 mcfdash7 gof human gpl201 gse21657 up,366
wt1 17420277 e11dot5 urogenital ridge lof mouse gpl1524 gds2747 up,3848
sox4 16636670 acc3 lof human gpl96 gds2193 down,135
glis2 17618285 kidney lof mouse gpl2897 gds2817 down,395
cdkn1b 18180298 3t3 lof mouse gpl1261 gse9161 up,607
srf 17591768 igmpos igdpos b cells lof mouse gpl339 gds2805 up,74
myc 17159920 cancer cell lines lof human gpl570 gds2526 up,156
esr1 21299862 mcf7 lof human gpl570 gds4065 up,666
znf263 19887448 helas3 lof human gpl6884 gse19146 up,261
hnf4a 21852396 wao9 lof human gpl570 gds3926 up,683
e2f1 21245101 mmtv-myc lof mouse gpl8321 gds4094 down,133
nfe2l2 20133372 lung lof mouse gpl1261 gds3622 up,1535
stat3 18500982 mesc gof mouse gpl83 gds3446 up,84
esr1 21713035 mcf7 lof human gpl570 gds4061 down,452
tcf12 20154672 cd4pos cd8pos thymocytes thymus lof mouse gpl6246 gse19923 up,168
spi1 17041602 preleukemic hscs lof mouse gpl1261 gds2411 up,226
nobox 18509161 newborn ovary lof mouse gpl1261 gds3254 up,478
emx2 20962046 e10dot5 urogenital epithelium lof mouse gpl1261 gds3173 down,269
esr1 21713035 mcf7 lof human gpl570 gds4061 up,335
rnf2 20123906 mouse embryonic stem cell lof mouse gpl1261 gse19076 up,662
klf9 17379758 jejunum lof mouse gpl339 gds2703 down,192
e2f1 21245101 mmtv-myc lof mouse gpl8321 gds4094 up,355
bcl11b 18199763 brain lof mouse gpl1261 gds3178 down,729
stat3 18070348 alveolar type 2 epithelial lof mouse gpl1261 gds3106 down,376
zfpm2 19411579 heart lof mouse gpl1261 gds3659 up,882
ahr 19454665 epidermal langerhans cell lof mouse gpl339 gds3575 up,148
bcor 22012066 cn aml lof human gpl570 gds4280 up,365
zfx 17448993 embryonic stem cell lof mouse gpl1261 gds2718 down,1165
znf263 19887448 helas3 lof human gpl6884 gse19146 down,223
pdx1 22135308 duodenum lof mouse gpl1261 gds4348 down,419
stat3 18500982 mesc gof mouse gpl83 gds3446 down,45
srf 20709909 hematopoietic stem cell lof mouse gpl1261 gds3732 up,212
gata4 16914500 e9dot5 atrioventricular canal lof mouse gpl1261 gds3663 down,489
cdx2 20696899 caco2 lof human gpl570 gse22572 up,1499
gata1 15895080 e12dot5 liver megakaryocyte lof mouse gpl1261 gds1316 down,545
tcf3 20154672 cd4pos cd8pos thymocytes thymus lof mouse gpl6246 gse19923 up,56
ctnnb1 21914722 ls174t lof human gpl570 gds4386 up,3013
tcof1 15522210 neuroblastoma gof mouse gpl339 gds998 up,738
e2f2 21245101 mmtv-myc lof mouse gpl8321 gds4094 up,129
znf148 21828133 erythroblast lof human gpl571 gse31092 up,591
eomes 23431145 e14dot5 neocortex lof mouse gpl6246 gse43387 up,216
yy1 22711985 skeletal muscle lof mouse gpl8321 gse39009 up,3857
bmi1 17452456 medulloblastoma lof human gpl570 gds2724 down,20
sin3a 22783022 mcf7 lof human gpl570 gds4388 up,4976
tcf3 20154672 cd4pos cd8pos thymocytes thymus lof mouse gpl6246 gse19923 down,107
rbm15 22490678 hematopoietic stem cell lof mouse gpl8321 gds4315 up,412
foxa2 20483781 p15 lung lof mouse gpl1261 gse19204 down,340
ar 21330406 lncap lof human gpl570 gds4113 up,1105
creb1 22108299 heart left ventricle lof mouse gpl1261 gds3660 up,972
aire 21746930 treg cd8pos cd28low lof mouse gpl6246 gds4373 up,57
nfe2l2 22586274 liver lof mouse gpl4134 gse35124 down,288
esr1 21299862 mcf7 lof human gpl570 gds4065 down,534
eomes 23431145 e14dot5 neocortex lof mouse gpl6246 gse43387 down,169
hsf1 19179333 rko colon carcinoma lof human gpl6244 gse12762 up,514
mist1 22510200 pancreas c57bl6 lof mouse gpl6246 gds4341 up,788
znf217 22593193 mda mb 231 gof human gpl570 gse35511 down,917
foxa2 20483781 p15 lung lof mouse gpl1261 gse19204 up,566
irf6 17041601 skin lof mouse gpl1261 gds2359 up,178
tp63 16885358 squamous epithelia lof human gpl570 gds2088 down,88
smarcc2 00000000 e12dot5 embryonic cortex lof mouse gpl6887 gse45629 up,879
hnf4a 00000000 small intestine lof mouse gpl339 gds1915 up,67
sirt3 21397863 brown adipose lof mouse gpl1261 gds4058 up,177
zbtb7b 19734230 cd8 p14 memory lof mouse gpl1261 gds3566 down,188
nrf1 22586274 liver lof mouse gpl4134 gse35124 up,2685
ctcf 18614575 oocyte lof mouse gpl1261 gse11664 up,25
creb1 18801183 k562 lof human gpl570 gds3487 down,103
rnf2 20805357 megakaryocytic l8057 lof mouse gpl1261 gse33659 up,2762
erg 19359602 huvec lof human gpl570 gds3557 down,1038
elk1 23426362 lncap lof human gpl570 gse34589 up,164
nfe2l2 18059474 liver lof mouse gpl1261 gds3406 down,105
bmi1 17452456 medulloblastoma lof human gpl570 gds2724 up,7126
esrra 19901197 kidney lof mouse gpl1261 gse16623 down,496
stat3 00000000 a549 lof human gpl571 gse42979 up,129
nrf1 22586274 liver lof mouse gpl4134 gse35124 down,109
lhx8 18509161 newborn ovary lof mouse gpl1261 gds3254 up,2045
lmo4 17452977 mcf7 lof human gpl570 gds2789 down,144
tardbp 19910924 hek293e lof human gpl570 gds3730 up,5400
stat5b 18687707 colon lof mouse gpl5759 gds3385 up,138
irf1 17409403 nih3t3 gof mouse gpl81 gds2752 down,96
yy1 20215434 hela lof human gpl570 gds3788 up,857
nfe2l2 18059474 liver lof mouse gpl1261 gds3406 up,260
ezh2 22267199 heart lof mouse gpl6246 gds4309 up,358
pou5f1 20526341 human embryonic stem cells hesc lof human gpl6947 gse21135 up,612
ppard 23093780 pancreatic beta cells lof mouse gpl1261 gds4320 down,527
gata1 15860665 megakaryocytes lof mouse gpl1261 gds1245 up,4921
rara 21299862 mcf7 lof human  gds4065 up,692
znf148 21828133 erythroblast lof human gpl571 gse31092 down,519
klf9 17379758 jejunum lof mouse gpl339 gds2703 up,164
glis3 19805515 embryonic pancreas lof mouse gpl1261 gds3812 up,3
