Pathway,Count
NR3C1 KO MOUSE GSE23724 CREEDSID GENE 3014 UP,213
MEF2D KD MOUSE GSE47150 CREEDSID GENE 366 UP,281
KCNIP3 KO MOUSE GSE16874 CREEDSID GENE 1031 UP,245
RUNX1 KO MOUSE GSE2592 CREEDSID GENE 277 UP,274
OVOL1 KO MOUSE GSE55072 CREEDSID GENE 2617 UP,270
RARA KD HUMAN GSE26298 CREEDSID GENE 69 UP,290
TCF12 KO MOUSE GSE27402 CREEDSID GENE 2168 UP,315
MYB KD HUMAN GSE49286 CREEDSID GENE 1835 UP,333
MYOD1 MUT MOUSE GSE6487 CREEDSID GENE 1178 UP,229
ZNF207 OE HUMAN GSE9951 CREEDSID GENE 1581 UP,206
SOX2 DEFICIENCY HUMAN GSE42937 CREEDSID GENE 347 UP,322
TFAP2C KO MOUSE GSE45941 CREEDSID GENE 1488 UP,185
CREM KO MOUSE GSE29592 CREEDSID GENE 2558 UP,244
SOX3 KO MOUSE GSE53760 CREEDSID GENE 1668 UP,343
PPARG V290M DOMNEG MOUSE GSE11870 CREEDSID GENE 1726 UP,312
KLF1 KO MOUSE GSE36427 CREEDSID GENE 1562 UP,311
NR2C2 KD HUMAN GSE16219 CREEDSID GENE 2628 UP,208
ESR2 KO MOUSE GSE9371 CREEDSID GENE 2431 UP,156
PGR KO MOUSE GSE39920 CREEDSID GENE 3080 UP,313
STAT1 KO MOUSE GSE38375 CREEDSID GENE 2476 UP,232
ZXDC DEPLET MOUSE GSE45417 CREEDSID GENE 1257 UP,241
KLF3 KO MOUSE GSE35592 CREEDSID GENE 2672 UP,337
VAX2 KO MOUSE GSE19626 CREEDSID GENE 2371 UP,226
MECOM KD HUMAN GSE16238 CREEDSID GENE 2341 UP,300
SATB2 OE MOUSE GSE17490 CREEDSID GENE 2227 UP,129
PLAGL2 DEFICIENCY MOUSE GSE9123 CREEDSID GENE 166 UP,242
MYBL1 KO MOUSE GSE28025 CREEDSID GENE 377 UP,161
MECP2 KO MOUSE GSE8720 CREEDSID GENE 2415 UP,261
HSF1 KD HUMAN GSE12762 CREEDSID GENE 2142 UP,271
SRF MUT MOUSE GSE1948 CREEDSID GENE 1399 UP,367
SRF KO MOUSE GSE23556 CREEDSID GENE 175 UP,246
GTF2B KD HUMAN GSE50588 CREEDSID GENE 2798 UP,320
IRF6 KO MOUSE GSE5800 CREEDSID GENE 153 UP,253
FOXP3 INDUCTION MOUSE GSE35543 CREEDSID GENE 3036 UP,167
SPDEF KD HUMAN GSE40985 CREEDSID GENE 2606 UP,350
GATA4 KO MOUSE GSE52317 CREEDSID GENE 356 UP,238
KLF9 DEFICIENCY MOUSE GSE6443 CREEDSID GENE 674 UP,320
SOX7 OE HUMAN GSE10809 CREEDSID GENE 150 UP,243
ZNF658 KD HUMAN GSE59385 CREEDSID GENE 2923 UP,323
NCOA2 KO MOUSE GSE41558 CREEDSID GENE 3047 UP,231
GATA3 OE MOUSE GSE12999 CREEDSID GENE 2531 UP,4
XBP1 OE HUMAN GSE8562 CREEDSID GENE 87 UP,320
MYC MYC  VS WT MOUSE GSE55272 CREEDSID GENE 1817 UP,235
SRF KD HUMAN GSE22606 CREEDSID GENE 2323 UP,296
NR3C1 KD HUMAN GSE50588 CREEDSID GENE 2808 UP,283
XBP1 KO MOUSE GSE52857 CREEDSID GENE 2765 UP,143
ADNP DEFICIENCY  NULL MUTATION MOUSE GSE4068 CREEDSID GENE 719 UP,180
ARID3A OE MOUSE GSE56853 CREEDSID GENE 1339 UP,350
