Pathway,Count
AATF mouse,6
ABL1 human,10
AHR human,22
AHR mouse,22
APC human,12
APEX1 human,7
APEX1 mouse,8
AR human,93
AR mouse,13
ARID3A human,6
ARNT human,20
ARNT mouse,7
ARNTL human,6
ARNTL mouse,12
ASCL1 human,7
ASCL1 mouse,9
ATF1 human,24
ATF2 human,32
ATF2 mouse,16
ATF3 human,16
ATF3 mouse,8
ATF4 human,35
ATF4 mouse,13
ATF5 human,8
ATF6 human,14
ATM human,22
BCL11B mouse,9
BCL3 mouse,15
BCL6 human,17
BCL6 mouse,18
BMI1 mouse,12
BRCA1 human,57
BRCA1 mouse,8
BTF3 human,9
CDX1 human,8
CDX2 human,32
CDX2 mouse,13
CEBPA human,51
CEBPA mouse,24
CEBPB human,60
CEBPB mouse,42
CEBPD human,17
CEBPE human,7
CEBPZ human,6
CIITA human,31
CITED2 mouse,11
CLOCK human,14
CLOCK mouse,15
CREB1 human,90
CREB1 mouse,31
CREB5 human,12
CREBBP human,25
CREBBP mouse,41
CREM human,25
CRX mouse,11
CTCF human,30
CTCF mouse,7
CTNNB1 human,22
CTNNB1 mouse,62
CUX1 human,8
CUX1 mouse,13
DACH1 mouse,7
DDIT3 human,18
DLX2 mouse,6
DLX3 mouse,6
DLX5 mouse,9
DMTF1 mouse,8
DNMT1 human,31
DNMT3A human,9
DNMT3A mouse,8
E2F1 human,134
E2F1 mouse,49
E2F3 human,13
E2F3 mouse,7
E2F4 human,23
E2F4 mouse,10
E2F6 human,7
EBF1 mouse,9
EGR1 human,88
EGR1 mouse,71
EGR2 human,9
EGR2 mouse,14
EHMT2 mouse,6
ELF1 human,9
ELF1 mouse,12
ELF3 human,9
ELK1 human,20
ELK1 mouse,7
EOMES mouse,6
EP300 human,56
EP300 mouse,60
EPAS1 human,10
EPAS1 mouse,13
ERCC2 human,8
ERG human,27
ERG mouse,8
ESR1 human,76
ESR1 mouse,29
ESR2 human,19
ESR2 mouse,17
ESRRA human,9
ESRRA mouse,8
ETS1 human,79
ETS1 mouse,59
ETS2 human,32
ETS2 mouse,26
ETV2 mouse,6
ETV4 human,22
ETV4 mouse,15
ETV5 mouse,6
EWSR1 human,9
EZH2 human,40
EZH2 mouse,14
FLI1 human,24
FLI1 mouse,13
FOS human,57
