Pathway,Count
AAK1,744
ACVR2A,701
ACVR2B,690
AKT1,877
AKT2,867
AKT3,847
ALK2,678
ALK4,709
ALPHAK3,751
AMPKA1,812
AMPKA2,802
ANKRD3,871
ASK1,872
ATM,764
ATR,791
AURA,792
AURB,806
AURC,808
BCKDK,779
BIKE,774
BMPR1A,670
BMPR1B,674
BMPR2,740
BRAF,823
BRSK1,792
BRSK2,795
BUB1,832
CAMK1A,847
CAMK1B,827
CAMK1D,810
CAMK1G,874
CAMK2A,736
CAMK2B,747
CAMK2D,731
CAMK2G,730
CAMK4,850
CAMKK1,804
CAMKK2,836
CAMLCK,825
CDC7,748
CDK10,681
CDK12,696
CDK13,720
CDK14,679
CDK16,702
CDK17,663
CDK18,671
CDK19,679
CDK1,717
CDK2,698
CDK3,711
CDK4,717
CDK5,721
CDK6,732
CDK7,685
CDK8,689
CDK9,711
CDKL1,769
CDKL5,758
CHAK1,819
CHAK2,784
CHK1,743
CHK2,839
CK1A2,813
CK1A,740
CK1D,753
CK1E,775
CK1G1,763
CK1G2,724
CK1G3,756
CK2A1,694
CK2A2,672
CLK1,723
CLK2,662
CLK3,652
CLK4,728
COT,738
CRIK,809
DAPK1,837
DAPK2,832
DAPK3,845
DCAMKL1,794
DCAMKL2,854
DLK,843
DMPK1,898
DNAPK,777
DRAK1,864
DSTYK,728
DYRK1A,664
DYRK1B,660
DYRK2,649
DYRK3,678
DYRK4,660
EEF2K,849
ERK1,691
ERK2,712
ERK5,734
ERK7,728
FAM20C,696
GAK,764
GCK,820
GCN2,778
GRK1,706
GRK2,697
GRK3,690
GRK4,700
GRK5,711
GRK6,672
GRK7,692
GSK3A,717
GSK3B,742
HASPIN,781
HGK,841
HIPK1,626
HIPK2,637
HIPK3,654
HIPK4,652
HPK1,872
HRI,807
HUNK,804
ICK,704
IKKA,746
IKKB,754
IKKE,773
IRAK1,836
IRAK4,919
IRE1,855
IRE2,870
JNK1,752
JNK2,715
JNK3,724
KHS1,840
KHS2,868
KIS,724
LATS1,802
LATS2,733
LKB1,796
LOK,953
LRRK2,895
MAK,685
MAP3K15,860
MAPKAPK2,742
MAPKAPK3,783
MAPKAPK5,763
MARK1,774
MARK2,771
MARK3,777
MARK4,758
MASTL,776
MEK1,838
MEK2,854
MEK5,956
MEKK1,854
MEKK2,856
MEKK3,838
MEKK6,916
MELK,830
MINK,826
MLK1,826
MLK2,770
MLK3,818
MLK4,826
MNK1,875
MNK2,891
MOK,709
MOS,697
MPSK1,743
MRCKA,834
MRCKB,877
MSK1,796
MSK2,796
MST1,804
MST2,786
MST3,969
MST4,953
MTOR,736
MYLK4,845
MYO3A,839
MYO3B,859
NDR1,765
NDR2,759
NEK11,890
NEK1,871
NEK2,876
NEK3,832
NEK4,862
NEK5,854
NEK6,794
NEK7,765
NEK8,918
NEK9,838
NIK,916
NIM1,803
NLK,725
NUAK1,817
NUAK2,858
OSR1,808
P38A,705
P38B,669
P38D,687
P38G,682
P70S6KB,827
P70S6K,823
P90RSK,791
PAK1,796
PAK2,817
PAK3,799
PAK4,787
PAK5,801
PAK6,812
PASK,785
PBK,766
PDHK1,791
PDHK4,795
PDK1,892
PERK,811
PHKG1,883
PHKG2,912
PIM1,780
PIM2,807
PIM3,770
PINK1,755
PKACA,804
PKACB,787
PKACG,824
PKCA,923
PKCB,927
PKCD,935
PKCE,979
PKCG,924
PKCH,958
PKCI,948
PKCT,942
PKCZ,880
PKG1,829
PKG2,888
PKN1,894
PKN2,939
PKN3,889
PKR,935
PLK1,764
PLK2,712
PLK3,732
PLK4,809
PRKD1,761
PRKD2,792
PRKD3,813
PRKX,780
PRP4,706
PRPK,744
QIK,836
QSK,774
RAF1,786
RIPK1,822
RIPK2,901
RIPK3,839
ROCK1,881
ROCK2,847
RSK2,819
RSK3,803
RSK4,801
SBK,744
SGK1,832
SGK3,844
SIK,803
SKMLCK,808
SLK,916
SMG1,801
SMMLCK,907
SNRK,841
SRPK1,641
SRPK2,665
SRPK3,674
SSTK,826
STK33,812
STLK3,813
TAK1,847
TAO1,922
TAO2,935
TAO3,874
TBK1,756
TGFBR1,682
TGFBR2,763
TLK1,761
TLK2,740
TNIK,851
TSSK1,820
TSSK2,832
TTBK1,818
TTBK2,817
TTK,799
ULK1,800
ULK2,823
VRK1,882
VRK2,794
WNK1,882
WNK3,799
WNK4,881
YANK2,865
YANK3,825
YSK1,926
YSK4,800
ZAK,861
