Pathway,Count
adult adrenal,301
adult colon,301
adult esophagus,301
adult frontal cortex,301
adult gallbladder,301
adult heart,301
adult kidney,301
adult liver,301
adult lung,301
adult ovary,301
adult pancreas,301
adult prostate,301
adult rectum,301
adult retina,301
adult spinal cord,301
adult testis,301
adult urinary bladder,301
b cells,301
cd4 cells,301
cd8 cells,301
fetal brain,301
fetal gut,301
fetal heart,301
fetal liver,301
fetal ovary,301
fetal testis,301
monocytes,301
nk cells,301
placenta,301
platelets,301
